peak,freq_mhz,odmr_nearest_freq_mhz,odmr_freq_error_mhz,live_signal_mean_adc,live_signal_std_adc,live_signal_sem_adc,batch_signal_adc,odmr_signal_interp_adc,live_minus_batch_adc,live_minus_odmr_adc,batch_minus_odmr_adc,live_ref_mean_adc,live_ref_std_adc,batch_ref_adc,odmr_ref_interp_adc,live_ref_minus_batch_ref_adc,live_ref_minus_odmr_ref_adc,live_signal_over_ref_mean,batch_signal_over_ref,odmr_signal_over_ref_interp
peak_01,2763.023746575854,2762.999938201905,0.02380837394912305,6735.264566855284,2.26726162402442,0.10571161829707572,6734.757029984411,6743.3826627982935,0.5075368708730821,-8.118095943009394,-8.625632813882476,6739.827463281955,1.8185298400332723,6739.269760369226,6748.064519469557,0.5577029127289279,-8.23705618760232,0.9993230093106268,0.9993303828834168,0.9993061926634288
peak_02,2772.8847172577803,2772.9999343872073,-0.11521712942703743,6738.668263989203,1.7765628380983978,0.08283266943339071,6738.541117767521,6742.705930545641,0.12714622168186906,-4.0376665564381256,-4.164812778119995,6744.184888772756,1.6749623502321909,6743.825474523948,6747.398755947703,0.35941424880729755,-3.213867174947154,0.9991820292389992,0.9992164155528062,0.9993044985820758
peak_03,2798.771433818544,2798.9999244689943,-0.2284906504501123,6748.939837775469,2.099525415565659,0.097890877251886,6750.248199712687,6757.951452108801,-1.3083619372182511,-9.011614333332545,-7.703252396114294,6750.4387789621405,2.024611601163306,6750.841285875846,6757.414715476679,-0.4025069137051105,-6.975936514538262,0.9997779653723923,0.9999121463328727,1.0000794292868977
peak_04,2810.3174267559225,2809.9999202728272,0.31750648309525786,6753.700137779056,2.156823409451662,0.1005624099919471,6755.223915701317,6756.125506247126,-1.5237779222616155,-2.425368468070701,-0.9015905458090856,6754.177486707482,2.0223558038584906,6756.221702784486,6757.47115346946,-2.044216077004421,-3.2936667619778746,0.999929335178013,0.9998523158168777,0.9998008652657522
peak_05,2834.976420536601,2834.999910736084,-0.0234901994831489,6754.200047286279,1.808968300102121,0.08434358188997675,6755.131523367057,6762.621086404312,-0.9314760807774292,-8.42103911803315,-7.489563037255721,6753.656510536338,1.8197769858682944,6753.54498273069,6760.4984640258235,0.11152780564771092,-6.841953489485604,1.0000804951726672,1.0002349196815041,1.0003139742416605
peak_06,2847.168405411039,2846.999906158447,0.16849925259202791,6757.749302745814,1.7680142122659264,0.08243408769875936,6757.682966042118,6760.910887680464,0.06633670369592437,-3.161584934649909,-3.2279216383458333,6757.463843368226,1.7357850767505085,6757.2813995782,6761.141614608847,0.18244379002589994,-3.677771240621041,1.0000422575623873,1.0000594272223062,0.999965874560609
peak_07,2869.1346751194783,2868.9998977661135,0.1347773533648251,6734.23503748882,3.4817547477152937,0.1623376521679026,6734.593643977137,6735.119793133516,-0.3586064883165818,-0.8847556446962699,-0.5261491563796881,6736.781607155435,3.001438336169254,6736.940180945686,6739.568037270688,-0.15857379025055707,-2.786430115253097,0.9996219836776168,0.9996516909894516,0.9993399808247988
peak_08,2875.5616379295775,2875.999895095825,-0.43825716624769484,6742.209098640382,2.267250649164121,0.10571110659157577,6742.696763150654,6740.366231117197,-0.487664510272225,1.842867523185305,2.33053203345753,6745.814608061758,2.1463764464083077,6746.246084604334,6743.593803417596,-0.43147654257609247,2.2208046441619445,0.9994655278341937,0.9994738820065013,0.9995213869051893
peak_09,2874.991358913494,2874.999895477295,-0.008536563801044394,6739.25840416696,1.9924846739327151,0.09290007693936954,6739.060369227007,6731.716290068028,0.19803493995277677,7.542114098931961,7.344079158979184,6742.463197978447,1.7401596101642087,6742.941522755753,6736.851129122194,-0.47832477730571554,5.612068856253245,0.9995247118902967,0.9994244123998929,0.9992377983488504
peak_10,2886.5838794260317,2886.999890899658,-0.4160114736264404,6742.142286538974,1.648039916691722,0.07684025732434985,6740.857937769356,6742.866135430343,1.284348769618191,-0.7238488913690162,-2.008197660987207,6746.588799726507,1.7192753099140468,6744.637760185836,6747.813145593249,1.9510395406714451,-1.2243458667417144,0.999340939524504,0.9994395811085968,0.999266872087865
