peak,live_freq_mhz,batch_freq_mhz,plan_freq_mhz,live_minus_batch_mhz,live_minus_plan_mhz
peak_01,2763.023746575854,2763.023746575854,2763.023746575854,0.0,0.0
peak_02,2772.8847172577803,2772.8847172577803,2772.8847172577803,0.0,0.0
peak_03,2798.771433818544,2798.771433818544,2798.771433818544,0.0,0.0
peak_04,2810.3174267559225,2810.3174267559225,2810.3174267559225,0.0,0.0
peak_05,2834.976420536601,2834.976420536601,2834.976420536601,0.0,0.0
peak_06,2847.168405411039,2847.168405411039,2847.168405411039,0.0,0.0
peak_07,2869.1346751194783,2869.1346751194783,2869.1346751194783,0.0,0.0
peak_08,2875.5616379295775,2875.5616379295775,2875.5616379295775,0.0,0.0
peak_09,2874.991358913494,2874.991358913494,2874.991358913494,0.0,0.0
peak_10,2886.5838794260317,2886.5838794260317,2886.5838794260317,0.0,0.0
peak_11,2906.489025610305,2906.489025610305,2906.489025610305,0.0,0.0
peak_12,2917.9233134642295,2917.9233134642295,2917.9233134642295,0.0,0.0
peak_13,2936.577714585426,2936.577714585426,2936.577714585426,0.0,0.0
peak_14,2949.797683060056,2949.797683060056,2949.797683060056,0.0,0.0
peak_15,2969.4552021316945,2969.4552021316945,2969.4552021316945,0.0,0.0
peak_16,2979.576898157969,2979.576898157969,2979.576898157969,0.0,0.0
