peak,live_freq_mhz,batch_freq_mhz,plan_freq_mhz,live_minus_batch_mhz,live_minus_plan_mhz
peak_01,2628.999989318848,2628.999989318848,2761.7113035310185,0.0,-132.7113142121707
peak_02,2631.9999881744384,2631.9999881744384,2772.6879698155763,0.0,-140.68798164113787
peak_03,2762.999938201905,2762.999938201905,2797.450205912609,0.0,-34.45026771070388
peak_04,2769.9999355316163,2769.9999355316163,2811.3507133089897,0.0,-41.35077777737342
peak_05,2800.9999237060547,2800.9999237060547,2835.6169730582556,0.0,-34.617049352200866
peak_06,2806.999921417236,2806.999921417236,2847.3235522003256,0.0,-40.32363078308981
peak_07,2837.999909591675,2837.999909591675,2869.873307104618,0.0,-31.87339751294303
peak_08,2842.9999076843264,2842.9999076843264,2875.2831957289436,0.0,-32.283288044617166
peak_09,2877.999894332886,2877.999894332886,2878.2464555126694,0.0,-0.24656117978338443
peak_10,2881.9998928070067,2881.9998928070067,2882.6602247144688,0.0,-0.6603319074620231
peak_11,2877.999894332886,2877.999894332886,2903.2404914056815,0.0,-25.24059707279548
peak_12,2881.9998928070067,2881.9998928070067,2920.320177561276,0.0,-38.32028475426932
peak_13,2940.999870300293,2940.999870300293,2938.2330693716226,0.0,2.7668009286703636
peak_14,2946.9998680114745,2946.9998680114745,2949.598342859764,0.0,-2.5984748482896975
peak_15,2971.9998584747314,2971.9998584747314,2970.2004720774653,0.0,1.799386397266062
peak_16,2978.9998558044435,2978.9998558044435,2980.0625914904035,0.0,-1.0627356859599786
