peak,live_freq_mhz,batch_freq_mhz,plan_freq_mhz,live_minus_batch_mhz,live_minus_plan_mhz
peak_01,2760.72576030142,2760.72576030142,2760.72576030142,0.0,0.0
peak_02,2770.895524993663,2770.895524993663,2770.895524993663,0.0,0.0
peak_03,2795.0484601431444,2795.0484601431444,2795.0484601431444,0.0,0.0
peak_04,2809.130334972895,2809.130334972895,2809.130334972895,0.0,0.0
peak_05,2835.646166060501,2835.646166060501,2835.646166060501,0.0,0.0
peak_06,2848.440712988967,2848.440712988967,2848.440712988967,0.0,0.0
peak_07,2869.536838632013,2869.536838632013,2869.536838632013,0.0,0.0
peak_08,2875.6582910668617,2875.6582910668617,2875.6582910668617,0.0,0.0
peak_09,2878.3643674869863,2878.3643674869863,2878.3643674869863,0.0,0.0
peak_10,2883.596371615771,2883.596371615771,2883.596371615771,0.0,0.0
peak_11,2903.7557615760916,2903.7557615760916,2903.7557615760916,0.0,0.0
peak_12,2919.3889163774065,2919.3889163774065,2919.3889163774065,0.0,0.0
peak_13,2940.971487730424,2940.971487730424,2940.971487730424,0.0,0.0
peak_14,2951.846287785168,2951.846287785168,2951.846287785168,0.0,0.0
peak_15,2971.576580393432,2971.576580393432,2971.576580393432,0.0,0.0
peak_16,2981.050801869367,2981.050801869367,2981.050801869367,0.0,0.0
