peak,live_freq_mhz,batch_freq_mhz,plan_freq_mhz,live_minus_batch_mhz,live_minus_plan_mhz
peak_01,2761.046953401915,2761.046953401915,2761.046953401915,0.0,0.0
peak_02,2770.8251583855417,2770.8251583855417,2770.8251583855417,0.0,0.0
peak_03,2795.312051893592,2795.312051893592,2795.312051893592,0.0,0.0
peak_04,2808.5186871777005,2808.5186871777005,2808.5186871777005,0.0,0.0
peak_05,2837.375472970574,2837.375472970574,2837.375472970574,0.0,0.0
peak_06,2847.650130088857,2847.650130088857,2847.650130088857,0.0,0.0
peak_07,2869.8511424612852,2869.8511424612852,2869.8511424612852,0.0,0.0
peak_08,2875.439021555861,2875.439021555861,2875.439021555861,0.0,0.0
peak_09,2878.3342436182443,2878.3342436182443,2878.3342436182443,0.0,0.0
peak_10,2883.7033008671056,2883.7033008671056,2883.7033008671056,0.0,0.0
peak_11,2905.9813736176466,2905.9813736176466,2905.9813736176466,0.0,0.0
peak_12,2916.498672346169,2916.498672346169,2916.498672346169,0.0,0.0
peak_13,2941.04035730575,2941.04035730575,2941.04035730575,0.0,0.0
peak_14,2951.9287545419756,2951.9287545419756,2951.9287545419756,0.0,0.0
peak_15,2971.6450693577135,2971.6450693577135,2971.6450693577135,0.0,0.0
peak_16,2981.5453483473857,2981.5453483473857,2981.5453483473857,0.0,0.0
