peak,live_freq_mhz,batch_freq_mhz,plan_freq_mhz,live_minus_batch_mhz,live_minus_plan_mhz
peak_01,2760.96493746281,2760.96493746281,2760.96493746281,0.0,0.0
peak_02,2770.909518893602,2770.909518893602,2770.909518893602,0.0,0.0
peak_03,2795.4324569012415,2795.4324569012415,2795.4324569012415,0.0,0.0
peak_04,2808.1955026617425,2808.1955026617425,2808.1955026617425,0.0,0.0
peak_05,2836.617769197206,2836.617769197206,2836.617769197206,0.0,0.0
peak_06,2848.4576994736053,2848.4576994736053,2848.4576994736053,0.0,0.0
peak_07,2869.646383882836,2869.646383882836,2869.646383882836,0.0,0.0
peak_08,2875.590593073553,2875.590593073553,2875.590593073553,0.0,0.0
peak_09,2878.342163348192,2878.342163348192,2878.342163348192,0.0,0.0
peak_10,2883.570455898972,2883.570455898972,2883.570455898972,0.0,0.0
peak_11,2904.5145846439805,2904.5145846439805,2904.5145846439805,0.0,0.0
peak_12,2917.884768340296,2917.884768340296,2917.884768340296,0.0,0.0
peak_13,2940.819060608843,2940.819060608843,2940.819060608843,0.0,0.0
peak_14,2951.9849146323695,2951.9849146323695,2951.9849146323695,0.0,0.0
peak_15,2971.1957013612896,2971.1957013612896,2971.1957013612896,0.0,0.0
peak_16,2982.0507592467216,2982.0507592467216,2982.0507592467216,0.0,0.0
