peak,freq_mhz,odmr_nearest_freq_mhz,odmr_freq_error_mhz,live_signal_mean_adc,live_signal_std_adc,live_signal_sem_adc,batch_signal_adc,odmr_signal_interp_adc,live_minus_batch_adc,live_minus_odmr_adc,batch_minus_odmr_adc,live_ref_mean_adc,live_ref_std_adc,batch_ref_adc,odmr_ref_interp_adc,live_ref_minus_batch_ref_adc,live_ref_minus_odmr_ref_adc,live_signal_over_ref_mean,batch_signal_over_ref,odmr_signal_over_ref_interp
peak_01,2760.7880638953143,2761.000123214722,-0.21205931940767186,6646.089820359529,3.69725148151815,0.1922109519448243,6651.726495399945,6658.390948519705,-5.6366750404158665,-12.301128160175722,-6.664453119759855,6653.56598392934,3.729269691023747,6661.257231714399,6661.953914549951,-7.6912477850582945,-8.38793062061086,0.9988763897881859,0.9985692286031115,0.9994651770222449
peak_02,2771.0401505838204,2771.0001308441165,0.04001973970389372,6645.990797870187,3.417107669456073,0.17764696865424395,6652.767457285203,6655.777010217113,-6.776659415016184,-9.786212346925822,-3.0095529319096386,6654.422237872864,3.5671806007762763,6659.361605587309,6660.659950998494,-4.939367714445325,-6.237713125630762,0.9987329849410447,0.9990097927259914,0.9992668983528201
peak_03,2794.697758206831,2794.500148773194,0.1976094336373535,6658.935164799852,3.526722415876285,0.18334556796833987,6666.771206100804,6677.977401347005,-7.8360413009522745,-19.042236547153152,-11.206195246200878,6663.735955825924,3.4950603398927926,6669.874123544335,6674.440877562296,-6.138167718410841,-10.704921736371944,0.9992795803058426,0.9995347862064476,1.0005298606804052
peak_04,2808.832503090681,2809.0001598358153,-0.16765674513453632,6664.269083776597,3.5513078036211065,0.1846237014158446,6670.749212947398,6677.320172595637,-6.480129170800865,-13.05108881904016,-6.570959648239295,6667.778986798334,3.5873581581458027,6675.329166794021,6675.755253253949,-7.550179995687358,-7.976266455615587,0.9994736237778461,0.999313898426252,1.0002344183215712
peak_05,2835.1423657187092,2835.0001796722413,0.1421860464679412,6664.747921606999,3.6082870676127587,0.18758591229809,6670.425966622856,6678.704659965991,-5.678045015857606,-13.95673835899197,-8.278693343134364,6667.32572083775,3.528207217417274,6673.55242075985,6675.531666982055,-6.226699922100124,-8.205946144305017,0.9996133800916764,0.9995315157595424,1.0004753168949267
peak_06,2848.511176238007,2848.500189971924,0.010986266082909424,6667.129312688915,3.605740829686087,0.1874535396915172,6673.536346547667,6677.5524463734355,-6.407033858751674,-10.423133684520508,-4.016099825768833,6669.45274110327,3.606664882677004,6676.438773420547,6675.527713943265,-6.986032317277022,-6.074972839995098,0.9996516501191977,0.9995652731985749,1.0003033067222449
peak_07,2869.6670653401284,2869.5002059936523,0.16685934647603062,6639.130018314307,3.8259528682119917,0.19890181843759652,6644.626475532597,6644.689320676055,-5.496457218290743,-5.5593023617484505,-0.06284514345770731,6645.115037999916,3.8353710926742144,6653.725002292386,6649.7667972913605,-8.609964292470067,-4.65175929144425,0.9990993545333257,0.9986325664561349,0.9992364429054303
peak_08,2875.25420908737,2875.5002105712892,-0.24600148391937182,6641.480895484536,3.3739763561030935,0.17540467844497679,6649.71115627961,6649.343249693425,-8.230260795074173,-7.8623542088889735,0.36790658618519956,6650.163625642178,3.4210012773073895,6658.332897270532,6655.1359319552,-8.169271628354181,-4.972306313022273,0.9986943806558362,0.998705120166873,0.9991295921945093
peak_09,2878.191024855937,2878.000212478638,0.190812377299153,6625.933522422842,4.195209614872153,0.21809856259806001,6632.903262829721,6638.389340269609,-6.969740406879282,-12.455817846767786,-5.486077439888504,6637.290153069442,4.070278268396323,6645.240338356207,6645.126636570925,-7.9501852867651905,-7.836483501483599,0.9982889716373213,0.9981434718838871,0.9989861297354007
peak_10,2883.537100748341,2883.500216674805,0.03688407353592993,6618.42227102779,3.5664357720167152,0.18541016704331045,6626.693804444173,6626.420432789708,-8.271533416383136,-7.9981617619178,0.2733716544653362,6633.230553324207,3.456477201141207,6639.513610661124,6639.165070662193,-6.283057336917409,-5.934517337986108,0.997767569807291,0.9980691648562379,0.9980803854495496
