peak,live_freq_mhz,batch_freq_mhz,plan_freq_mhz,live_minus_batch_mhz,live_minus_plan_mhz
peak_01,2760.7880638953143,2760.7880638953143,2760.7880638953143,0.0,0.0
peak_02,2771.0401505838204,2771.0401505838204,2771.0401505838204,0.0,0.0
peak_03,2794.697758206831,2794.697758206831,2794.697758206831,0.0,0.0
peak_04,2808.832503090681,2808.832503090681,2808.832503090681,0.0,0.0
peak_05,2835.1423657187092,2835.1423657187092,2835.1423657187092,0.0,0.0
peak_06,2848.511176238007,2848.511176238007,2848.511176238007,0.0,0.0
peak_07,2869.6670653401284,2869.6670653401284,2869.6670653401284,0.0,0.0
peak_08,2875.25420908737,2875.25420908737,2875.25420908737,0.0,0.0
peak_09,2878.191024855937,2878.191024855937,2878.191024855937,0.0,0.0
peak_10,2883.537100748341,2883.537100748341,2883.537100748341,0.0,0.0
peak_11,2904.201336871197,2904.201336871197,2904.201336871197,0.0,0.0
peak_12,2917.6424100180584,2917.6424100180584,2917.6424100180584,0.0,0.0
peak_13,2939.5787513348605,2939.5787513348605,2939.5787513348605,0.0,0.0
peak_14,2952.213355300979,2952.213355300979,2952.213355300979,0.0,0.0
peak_15,2971.0913047644817,2971.0913047644817,2971.0913047644817,0.0,0.0
peak_16,2981.18418080653,2981.18418080653,2981.18418080653,0.0,0.0
