peak,live_freq_mhz,batch_freq_mhz,plan_freq_mhz,live_minus_batch_mhz,live_minus_plan_mhz
peak_01,2760.3589311849933,2760.3589311849933,2760.3589311849933,0.0,0.0
peak_02,2771.7156174885536,2771.7156174885536,2771.7156174885536,0.0,0.0
peak_03,2796.692286647528,2796.692286647528,2796.692286647528,0.0,0.0
peak_04,2807.9434431398813,2807.9434431398813,2807.9434431398813,0.0,0.0
peak_05,2835.2033361704134,2835.2033361704134,2835.2033361704134,0.0,0.0
peak_06,2848.9401769154256,2848.9401769154256,2848.9401769154256,0.0,0.0
peak_07,2870.0106303873113,2870.0106303873113,2870.0106303873113,0.0,0.0
peak_08,2875.2157550151646,2875.2157550151646,2875.2157550151646,0.0,0.0
peak_09,2878.4761798803843,2878.4761798803843,2878.4761798803843,0.0,0.0
peak_10,2883.3311140962264,2883.3311140962264,2883.3311140962264,0.0,0.0
peak_11,2902.6721491136855,2902.6721491136855,2902.6721491136855,0.0,0.0
peak_12,2920.456227835481,2920.456227835481,2920.456227835481,0.0,0.0
peak_13,2939.3505508301823,2939.3505508301823,2939.3505508301823,0.0,0.0
peak_14,2953.0109209419034,2953.0109209419034,2953.0109209419034,0.0,0.0
peak_15,2970.9323677571024,2970.9323677571024,2970.9323677571024,0.0,0.0
peak_16,2981.535605734461,2981.535605734461,2981.535605734461,0.0,0.0
