peak,live_freq_mhz,batch_freq_mhz,plan_freq_mhz,live_minus_batch_mhz,live_minus_plan_mhz
peak_01,2762.671418712508,2628.999989318848,2762.671418712508,133.67142939366022,0.0
peak_02,2773.075474633431,2631.9999881744384,2773.075474633431,141.0754864589926,0.0
peak_03,2798.9022125534307,2762.999938201905,2798.9022125534307,35.90227435152565,0.0
peak_04,2810.9657133588876,2769.9999355316163,2810.9657133588876,40.96577782727127,0.0
peak_05,2833.8466877211163,2800.9999237060547,2833.8466877211163,32.84676401506158,0.0
peak_06,2848.422884930072,2806.999921417236,2848.422884930072,41.422963512836304,0.0
peak_07,2868.515868094016,2837.999909591675,2868.515868094016,30.51595850234071,0.0
peak_08,2876.1984223420127,2842.9999076843264,2876.1984223420127,33.198514657686246,0.0
peak_09,2877.7602375500505,2877.999894332886,2877.7602375500505,-0.23965678283548186,0.0
peak_10,2883.6581710797777,2881.9998928070067,2883.6581710797777,1.6582782727709855,0.0
peak_11,2904.116348521747,2877.999894332886,2904.116348521747,26.1164541888611,0.0
peak_12,2920.254112408896,2881.9998928070067,2920.254112408896,38.25421960188942,0.0
peak_13,2936.314225033459,2940.999870300293,2936.314225033459,-4.685645266833944,0.0
peak_14,2951.045900650814,2946.9998680114745,2951.045900650814,4.046032639339501,0.0
peak_15,2969.56297525156,2971.9998584747314,2969.56297525156,-2.4368832231712076,0.0
peak_16,2979.580085241289,2978.9998558044435,2979.580085241289,0.5802294368454568,0.0
