save_id,timestamp_epoch_s,block_index,frequency_minus_mhz,frequency_plus_mhz,intensity_minus,intensity_plus,delta_B_projection_mT,delta_B_projection_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,measurement_axis_x,measurement_axis_y,measurement_axis_z,sensitivity_norm_mhz_per_mT,slope_denom_abs,transition_index
000000,0.006916349993844,1,2754.16989994428,2760.9999687194827,0.8774873984982678,0.8923621220505253,-0.009350103399927923,-9.350103399927923,-0.5226898145066236,-7.551990481085349,-5.488047805982653,0.05590203574761032,0.8076905845922052,0.5869504936196704,28.069735528679107,0.05667534450513835,0
000000,0.006916349993844,2,2794.6325865621557,2800.9999534606936,0.8217892364987589,0.8237672910467148,-0.0005594548480925749,-0.559454848092575,0.4590344336276437,0.05714458588355545,-0.3146611067523781,-0.8205030936682234,-0.10214333842737482,0.5624423629988993,28.153507701650295,0.1255858501614559,1
000000,0.006916349993844,3,2822.6276449371826,2828.999942779541,0.9134173282562633,0.9301296188322048,-0.013473118079203204,-13.473118079203203,-0.7320192007916007,-10.116638602127672,8.868070932269598,0.05433183294975561,0.7508758212208859,-0.6582047956633104,28.169631306879268,0.044033854116981345,2
000000,0.006916349993844,4,2860.99993057251,2867.4401563384067,0.9402715541606359,0.9346950003871927,0.005496758103613388,5.496758103613388,-4.220423743531203,-0.5313644507456217,-3.48138261257813,-0.7678023416669609,-0.09666869829987974,-0.6333519771025732,27.517417441499084,0.03686817131432452,3
000000,0.006916349993844,5,2885.486537108773,2891.9999187469484,0.9372671511283237,0.9454286980622036,-0.008282311442216306,-8.282311442216306,-7.1026926937399955,0.9229813926173883,-4.158911476942217,0.8575737272491832,-0.11144007310722465,0.5021438164886628,27.58692816281401,0.03572050425725028,4
000000,0.006916349993844,6,2921.1422226070613,2927.999905014038,0.9334523513211904,0.9301622333188688,0.0034558280769264697,3.4558280769264695,0.191419530490022,-3.0127899314958477,1.682023510328416,0.055390351090690224,-0.8717997146939527,0.4867208301126968,28.18188688715913,0.03378230497750529,5
000000,0.006916349993844,7,2943.8048712605782,2949.9998966217045,0.8237928806170134,0.8304314526731591,-0.0019304433653049946,-1.9304433653049946,-1.5517166964597218,0.19675668153154827,1.1314034156086383,0.8038136338770876,-0.10192305304976522,-0.5860847492046914,28.158091317345114,0.1221277611108414,6
000000,0.006916349993844,8,2978.9998855590825,2985.2694445342363,0.8782066875505765,0.8693754911229149,0.004661947939574361,4.661947939574361,0.2547227967566627,-3.83447070170796,-2.6392630270318556,0.05463870469130958,-0.8225039728903644,-0.5661288073656229,28.070013848878666,0.06748534902709638,7
000001,0.1070773999963421,1,2754.16989994428,2760.9999687194827,0.872936831554991,0.8967053046506086,-0.014940625976791857,-14.940625976791857,-0.8352114074462937,-12.067402929368502,-8.76940779206485,0.05590203574761032,0.8076905845922052,0.5869504936196704,28.069735528679107,0.05667534450513835,0
000001,0.1070773999963421,2,2794.6325865621557,2800.9999534606936,0.8302307551862094,0.8211813399075713,0.0025594538104425388,2.559453810442539,-2.100039769569026,-0.26143115674926626,1.4395452491318383,-0.8205030936682234,-0.10214333842737482,0.5624423629988993,28.153507701650295,0.1255858501614559,1
000001,0.1070773999963421,3,2822.6276449371826,2828.999942779541,0.9142649816767863,0.9245472008320478,-0.008289321692056003,-8.289321692056003,-0.45037404143957227,-6.2242512328866555,5.456071290507167,0.05433183294975561,0.7508758212208859,-0.6582047956633104,28.169631306879268,0.044033854116981345,2
000001,0.1070773999963421,4,2860.99993057251,2867.4401563384067,0.9317245929373543,0.9416112542155946,-0.009745191691268858,-9.74519169126886,7.4823810005496405,0.9420549954777642,6.1721364249087,-0.7678023416669609,-0.09666869829987974,-0.6333519771025732,27.517417441499084,0.03686817131432452,3
000001,0.1070773999963421,5,2885.486537108773,2891.9999187469484,0.9349528461065546,0.9383902887802757,-0.003488305712040861,-3.488305712040861,-2.991479331259497,0.38873704357018285,-1.7516311433234002,0.8575737272491832,-0.11144007310722465,0.5021438164886628,27.58692816281401,0.03572050425725028,4
000001,0.1070773999963421,6,2921.1422226070613,2927.999905014038,0.9353810890520828,0.9328627309093984,0.002645197762238749,2.645197762238749,0.14651843275471244,-2.306082654428823,1.2874728506490918,0.055390351090690224,-0.8717997146939527,0.4867208301126968,28.18188688715913,0.03378230497750529,5
000001,0.1070773999963421,7,2943.8048712605782,2949.9998966217045,0.8157206838372248,0.8352447601971174,-0.0056774443892310495,-5.6774443892310495,-4.563607205642892,0.5786624656706881,3.3274635709860623,0.8038136338770876,-0.10192305304976522,-0.5860847492046914,28.158091317345114,0.1221277611108414,6
000001,0.1070773999963421,8,2978.9998855590825,2985.2694445342363,0.8818791615898078,0.8643244385611285,0.009267057473323187,9.267057473323186,0.5063400166422992,-7.622191588811663,-5.246348195161138,0.05463870469130958,-0.8225039728903644,-0.5661288073656229,28.070013848878666,0.06748534902709638,7
000002,0.2111555499941459,1,2754.16989994428,2760.9999687194827,0.8712049465696313,0.8973302255792713,-0.01642209075240673,-16.42209075240673,-0.9180283042915419,-13.263968080037639,-9.638954273392157,0.05590203574761032,0.8076905845922052,0.5869504936196704,28.069735528679107,0.05667534450513835,0
000002,0.2111555499941459,2,2794.6325865621557,2800.9999534606936,0.8232910422985973,0.8218052826682523,0.0004202186583545618,0.42021865835456185,-0.3447907091970282,-0.04292253663380741,0.2363487751811669,-0.8205030936682234,-0.10214333842737482,0.5624423629988993,28.153507701650295,0.1255858501614559,1
000002,0.2111555499941459,3,2822.6276449371826,2828.999942779541,0.9081678404938807,0.9284032534791764,-0.016313389675308845,-16.313389675308844,-0.8863363626831481,-12.24932986934385,10.737551317812615,0.05433183294975561,0.7508758212208859,-0.6582047956633104,28.169631306879268,0.044033854116981345,2
000002,0.2111555499941459,4,2860.99993057251,2867.4401563384067,0.9355744637606184,0.9347128009914899,0.0008493331188406465,0.8493331188406464,-0.6521199575011516,-0.08210392702130237,-0.5379268100364183,-0.7678023416669609,-0.09666869829987974,-0.6333519771025732,27.517417441499084,0.03686817131432452,3
000002,0.2111555499941459,5,2885.486537108773,2891.9999187469484,0.9408457258241611,0.9429126020550691,-0.0020974593169166837,-2.0974593169166837,-1.7987260041617663,0.23374101961662472,-1.0532262263262473,0.8575737272491832,-0.11144007310722465,0.5021438164886628,27.58692816281401,0.03572050425725028,4
000002,0.2111555499941459,6,2921.1422226070613,2927.999905014038,0.9319208991102844,0.9312308893962772,0.0007247627414355652,0.7247627414355652,0.040144862705567094,-0.6318479512043327,0.3527571231462721,0.055390351090690224,-0.8717997146939527,0.4867208301126968,28.18188688715913,0.03378230497750529,5
000002,0.2111555499941459,7,2943.8048712605782,2949.9998966217045,0.8239725103784735,0.8274907204016531,-0.0010230671806457352,-1.0230671806457352,-0.8223553481752353,0.104274130526429,0.5996040719883065,0.8038136338770876,-0.10192305304976522,-0.5860847492046914,28.158091317345114,0.1221277611108414,6
000002,0.2111555499941459,8,2978.9998855590825,2985.2694445342363,0.8786586935913584,0.8689308415132382,0.005135288329679312,5.1352883296793115,0.28058550255007636,-4.223795053098757,-2.9072346575599504,0.05463870469130958,-0.8225039728903644,-0.5661288073656229,28.070013848878666,0.06748534902709638,7
000003,0.3228871999963303,1,2754.16989994428,2760.9999687194827,0.8754686386756605,0.895013217919581,-0.012285528278676567,-12.285528278676567,-0.6867860410128549,-9.922905517428344,-7.210996887547631,0.05590203574761032,0.8076905845922052,0.5869504936196704,28.069735528679107,0.05667534450513835,0
000003,0.3228871999963303,2,2794.6325865621557,2800.9999534606936,0.8294789138771214,0.8166192117411106,0.0036371204790288858,3.637120479028886,-2.9842686050872516,-0.37150762799058307,2.045670636736695,-0.8205030936682234,-0.10214333842737482,0.5624423629988993,28.153507701650295,0.1255858501614559,1
000003,0.3228871999963303,3,2822.6276449371826,2828.999942779541,0.9085441700140862,0.9311584741070658,-0.01823120462986251,-18.23120462986251,-0.990534764422501,-13.68937074829403,11.99986631809465,0.05433183294975561,0.7508758212208859,-0.6582047956633104,28.169631306879268,0.044033854116981345,2
000003,0.3228871999963303,4,2860.99993057251,2867.4401563384067,0.9368247585921093,0.9359429263053438,0.0008692140280942218,0.8692140280942218,-0.667384566180515,-0.08402578863986351,-0.550518423218767,-0.7678023416669609,-0.09666869829987974,-0.6333519771025732,27.517417441499084,0.03686817131432452,3
