time_s,peak_01,peak_02,peak_03,peak_04,peak_05,peak_06,peak_07,peak_08,peak_09,peak_10,peak_11,peak_12,peak_13,peak_14,peak_15,peak_16
0.006916349993844,0.8774873984982678,0.8923621220505253,0.8217892364987589,0.8237672910467148,0.9134173282562633,0.9301296188322048,0.9402715541606359,0.9346950003871927,0.9372671511283237,0.9454286980622036,0.9334523513211904,0.9301622333188688,0.8237928806170134,0.8304314526731591,0.8782066875505765,0.8693754911229149
0.1070773999963421,0.872936831554991,0.8967053046506086,0.8302307551862094,0.8211813399075713,0.9142649816767863,0.9245472008320478,0.9317245929373543,0.9416112542155946,0.9349528461065546,0.9383902887802757,0.9353810890520828,0.9328627309093984,0.8157206838372248,0.8352447601971174,0.8818791615898078,0.8643244385611285
0.2111555499941459,0.8712049465696313,0.8973302255792713,0.8232910422985973,0.8218052826682523,0.9081678404938807,0.9284032534791764,0.9355744637606184,0.9347128009914899,0.9408457258241611,0.9429126020550691,0.9319208991102844,0.9312308893962772,0.8239725103784735,0.8274907204016531,0.8786586935913584,0.8689308415132382
0.3228871999963303,0.8754686386756605,0.895013217919581,0.8294789138771214,0.8166192117411106,0.9085441700140862,0.9311584741070658,0.9368247585921093,0.9359429263053438,0.9322396533940499,0.9427835657306503,0.9355585670241752,0.9245392682595405,0.8201157073715833,0.8333947586780645,0.8805520339603559,0.8654877189871977
0.4207257999951252,0.8790344610286247,0.9032332006952357,0.8376597663948124,0.8238186188498929,0.915093165216012,0.9251744751603304,0.93870906171603,0.9395336225082223,0.9367037012767233,0.9500423300890198,0.9315442643903612,0.9270269753852051,0.8241247681680959,0.8274058721815916,0.8766433530302649,0.8652449801187762
0.5203737999909208,0.8682733892639802,0.8931671641800182,0.8244284991548877,0.820206250357986,0.914186501180473,0.9342803044176485,0.9346720139653973,0.9315951993104853,0.939770949072613,0.9434020230595058,0.9341551002146267,0.9307728982805098,0.8230342717512542,0.8252980890038281,0.8759530601575614,0.8705799977137119
0.7095796999929007,0.8701547045540027,0.8922295219652604,0.8280898171495704,0.8312557144872875,0.9128126235649232,0.934399472076925,0.9392017744271999,0.9371048615510554,0.9338574742330779,0.9481264118463212,0.9344201670964105,0.9294752384259902,0.8249329589585602,0.8301814439900455,0.8836211983477238,0.8623404007808214
0.8167273999933968,0.8727943854636268,0.8958021044182475,0.8263090575155928,0.8232172749857579,0.9102892664072989,0.9281267566925631,0.9414375181280397,0.9346882034511201,0.9355067039921031,0.9432524226570076,0.9357976181433775,0.9242069483387341,0.8240308283153691,0.8308701884274414,0.8838586148553931,0.8666094545526728
0.9270688499964308,0.8733706298623727,0.8891591918497072,0.8267873191300215,0.8246668336169849,0.9108255642734726,0.9237993271147752,0.9344066985489471,0.9407394208685963,0.9368475388056092,0.9457234052809772,0.9316941269354874,0.929000636147176,0.8218862009732546,0.8324228430814969,0.8808887614602591,0.8709491834504351
1.02968234999571,0.8781327035911572,0.8936815827725466,0.823496817405089,0.8232202634746649,0.9173117898625697,0.9214234769961415,0.9333811139234316,0.9332294097981594,0.9372429015822076,0.939000397773486,0.9384790698517977,0.925715616991688,0.824333191747891,0.8280326296930195,0.8802954386492989,0.8670862462056329
1.1333562500003609,0.8785836646721895,0.8975827933666125,0.8284770856762866,0.8215367886337824,0.9087416681418847,0.9274773808496479,0.9381034272048053,0.9365116693052689,0.9404943594974766,0.9374379526186117,0.941140612551027,0.9319796747131315,0.8245525915017264,0.8237764558736284,0.8786289104347212,0.8711605797692241
