block,n_samples,delta_f_mean_mhz,delta_f_std_mhz,delta_f_min_mhz,delta_f_max_mhz,f_new_mean_mhz,f_new_std_mhz,delta_B_proj_std_uT
1,181,-0.39501900771522724,0.09197913215743905,-0.7056430450418925,-0.1580879367501942,2759.5234297966413,0.09197913215744499,3.2768079365572618
2,181,0.06248123227281678,0.07570205945517751,-0.1081698328125542,0.2163208055213626,2800.579502783612,0.075702059455156,2.6889032889759603
3,181,-0.36479047527814584,0.10597878684710198,-0.6989021474907915,-0.0930279991457642,2827.680217006766,0.10597878684709433,3.7621644988026888
4,181,0.07424972628316172,0.14791432556789047,-0.4266994452447689,0.4040650317851691,2866.0065309762917,0.1479143255678729,5.375298240917787
5,181,-0.20365057177038914,0.15398710784910363,-0.6878955253126628,0.0855644941865619,2889.801791556749,0.15398710784910064,5.581886716066909
6,181,0.17803593670803056,0.15930490506883946,-0.3308412228132146,0.5918679933946568,2925.742958335218,0.15930490506887734,5.652740914996206
7,181,-0.0811966067942895,0.06917782397084096,-0.2378227163536384,0.0922156165232277,2949.6829500605068,0.06917782397084679,2.45676538197133
8,181,0.2050958707313971,0.07082310457858788,0.0132953419911131,0.3958927591822215,2983.372673426356,0.07082310457856897,2.523087625103438
