save_id,timestamp_epoch_s,n_channels,n_solve_channels,selected_blocks,solver,rank,condition_number,residual_norm_uT,solve_residual_norm_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,status
000000,0.006916349993844,8,8,all,weighted_lstsq,3,8.778783934034399,14.580147573929152,14.580147573929152,-2.763597792758348,-3.5738874959790268,-2.846285659835702,ok
000001,0.1070773999963421,8,8,all,weighted_lstsq,3,8.778783934034399,20.416345442873716,20.416345442873716,-6.921577160226654,-6.72995403966294,-3.009602669846013,ok
000002,0.2111555499941459,8,8,all,weighted_lstsq,3,8.778783934034399,15.503896668128181,15.503896668128181,-1.5524068578344263,-8.453173601891,-1.0342675946072615,ok
000003,0.3228871999963303,8,8,all,weighted_lstsq,3,8.778783934034399,14.151374501266032,14.151374501266032,-4.039976339541746,-10.580127449520115,0.7302016895249465,ok
000004,0.4207257999951252,8,8,all,weighted_lstsq,3,8.778783934034399,13.771664056214943,13.771664056214943,-4.632259688775008,-10.337004228464796,-2.2209988886095298,ok
000005,0.5203737999909208,8,8,all,weighted_lstsq,3,8.778783934034399,14.86294280643196,14.86294280643196,-0.9838911400621592,-8.47878828722705,0.2395947366387453,ok
000006,0.7095796999929007,8,8,all,weighted_lstsq,3,8.778783934034399,18.733296729207144,18.733296729207144,-3.8649111896345287,-8.22236857992888,-5.121687345376711,ok
000007,0.8167273999933968,8,8,all,weighted_lstsq,3,8.778783934034399,13.172834218119599,13.172834218119599,-4.063143562302303,-9.033994528044422,-3.386924609510603,ok
000008,0.9270688499964308,8,8,all,weighted_lstsq,3,8.778783934034399,15.551558575197559,15.551558575197559,-3.305843773918858,-4.222888238560082,-1.6958655052154612,ok
000009,1.02968234999571,8,8,all,weighted_lstsq,3,8.778783934034399,11.660591510334228,11.660591510334228,-2.6689876735078055,-5.676825559063801,-2.9356833731890464,ok
000010,1.1333562500003609,8,8,all,weighted_lstsq,3,8.778783934034399,8.797023471330979,8.797023471330979,1.4447846773326296,-11.099132323392071,3.623348749832448,ok
000011,1.2378058999893256,8,8,all,weighted_lstsq,3,8.778783934034399,16.84110797661843,16.84110797661843,-1.7627901281468554,-5.700861193692808,-2.279628311559404,ok
000012,1.34773149999819,8,8,all,weighted_lstsq,3,8.778783934034399,21.068424344581622,21.068424344581622,-3.965755520326199,-6.020801729901044,-7.388416138653468,ok
