point_index,peak,point_in_block,label,frequency_mhz,baseline_z,slope_z_per_mhz
2,1,0,f_minus,2794.0895817609085,0.9618481580724587,-0.01495494061394255
3,1,1,f_plus,2800.0895794720896,0.9618481580724639,0.012295230613778473
4,2,0,f_minus,2944.8173197317374,0.9626888234534673,-0.013673336344674792
5,2,1,f_plus,2950.8173174429194,0.9626888234534686,0.013281137660541998
