point_index,peak,point_in_block,label,frequency_mhz,baseline_z,slope_z_per_mhz
2,1,0,f_minus,2794.1628502598414,0.9523629412352203,-0.01680391324942665
3,1,1,f_plus,2800.1628479710225,0.9523629412352148,0.015214426526401202
4,2,0,f_minus,2944.111863886731,0.962443729697237,-0.016393604284041362
5,2,1,f_plus,2951.111861216443,0.9624437296972298,0.014886722892489887
