point_index,peak,point_in_block,label,frequency_mhz,baseline_z,slope_z_per_mhz
2,1,0,f_minus,2793.722388411013,0.9626563724148013,-0.01603843610736948
3,1,1,f_plus,2800.722385740725,0.9626563724148091,0.0141085031176187
4,2,0,f_minus,2944.2248570655506,0.9634797049338124,-0.016127996703073237
5,2,1,f_plus,2951.2248543952624,0.9634797049338062,0.014346776382497747
