time_s,PL_C,PL_D
0.0002184908309718594,-6.980636301213092,-262.7325246051728
0.0004368146059568971,-7.310749980926222,-265.6101167315175
0.0006551383809419349,-7.434531166552224,-264.4967269398032
0.0008734621559269726,-9.81123064011597,-268.7160448615244
0.0010917859309120103,-7.91261158159762,-267.259082932784
0.0013101097058970481,-9.559868772411688,-265.3149614709697
0.0015284334808820857,-8.975555046921492,-267.34525062943464
0.0017467572558671235,-6.3524071107042035,-270.3047989623865
0.001965081030852161,-10.008880750743877,-265.8064087891966
0.002183404805837199,-12.662149996185244,-264.66022735942624
0.0024017285808222368,-12.57251850156405,-265.71006332494085
0.0026200523558072746,-10.102113374532692,-266.6416266117342
0.0028383761307923124,-10.414770733196002,-269.5962615396353
0.00305669990577735,-11.232211795223925,-272.6698558022431
0.0032750236807623876,-8.823865110246434,-270.7332722972457
0.0034933474557474254,-7.6596017395284965,-270.10705729762725
0.0037116712307324632,-8.751018539711605,-266.9883421072709
0.003929995005717501,-7.928480964370184,-270.87185473411154
0.004148318780702539,-9.180956740672922,-275.1604028381781
0.004366642555687576,-9.951003280689708,-273.76705577172504
0.0045849663306726145,-8.089356832227054,-271.8557564660105
0.004803290105657652,-8.71819638361181,-273.76964980544744
0.005021613880642689,-8.851071946288243,-267.65522240024416
0.0052399376556277275,-8.618814373998626,-264.82754253452356
0.005458261430612765,-9.087541008621347,-271.5968261234455
0.005676585205597803,-8.385702296482796,-270.9251544975967
0.0058949089805828405,-8.032822156099794,-272.15757991912716
0.006113232755567878,-7.407492179751278,-268.2659037155718
0.006331556530552916,-9.776882581826506,-278.35532158388645
0.0065498803055379536,-9.277576867322805,-278.9166399633784
0.006768204080522992,-9.42738994430457,-275.4027771419852
0.006986527855508029,-9.45796902418555,-266.8114900434882
0.007204851630493067,-9.71477836270695,-271.22829022659647
0.007423175405478105,-10.124116884107728,-269.14392309452967
0.007641499180463142,-11.174883649958037,-275.4447699702449
0.00785982295544818,-10.20350957503624,-276.874143587396
0.008078146730433219,-11.10087739375906,-271.9385671778439
0.008296470505418256,-10.940764476997025,-273.0817120622568
0.008514794280403293,-11.782665751125354,-275.71290150301365
0.00873311805538833,-12.857434958419166,-276.45925078202487
0.008951441830373368,-10.612527656977187,-270.87183947508964
0.009169765605358407,-10.421499961852446,-275.2969100480659
0.009388089380343445,-10.550057221332112,-272.1252002746624
0.009606413155328482,-9.47150377660792,-274.5745174334325
0.00982473693031352,-9.121507591363393,-276.37288471808955
0.010043060705298557,-8.334905012588694,-273.9944609750515
0.010261384480283596,-8.78286411841001,-275.0292362859541
0.010479708255268633,-7.534447241931792,-274.2425116350042
0.01069803203025367,-10.978667887388418,-274.6017853055619
0.010916355805238708,-10.265339131761655,-272.625848783093
0.011134679580223746,-10.061600671396963,-269.52764171816585
0.011353003355208785,-9.921049820706493,-269.98410009918365
0.011571327130193822,-9.246082246128022,-270.47315175097276
0.01178965090517886,-9.677866788738841,-269.58594644083314
0.012007974680163897,-8.321721217669948,-272.451850156405
0.012226298455148934,-7.92822156099794,-271.6840772106508
0.012444622230133973,-8.20018310826276,-277.7475089646754
0.01266294600511901,-9.793575951781492,-273.88250553139545
0.012881269780104048,-7.433524071107042,-276.29448386358433
0.013099593555089085,-10.849851224536508,-273.5713588158999
0.013317917330074123,-9.159731441214618,-276.58112458991377
0.013536241105059162,-8.642740520332646,-277.0613717860685
0.0137545648800442,-9.597817959868772,-278.31839475089646
0.013972888655029237,-8.770504310673687,-274.60621042191195
0.014191212430014274,-8.094193942168307,-270.09996185244523
0.014409536204999311,-9.795162890058748,-276.9301594567788
0.01462785997998435,-9.868787670710308,-271.48401617456324
0.014846183754969388,-9.816021972991532,-267.56929884794386
0.015064507529954425,-10.636194399938963,-272.2175936522469
0.015282831304939463,-10.249057755397878,-271.91763179980165
0.0155011550799245,-10.13214312962539,-269.25709925993743
0.015719478854909538,-7.902037079423209,-266.3954375524529
0.015937802629894575,-8.242664225223162,-273.3377737087053
0.016156126404879616,-7.115083543144884,-267.1713740749218
0.016374450179864653,-5.43575188830396,-270.4595407034409
0.01659277395484969,-8.971862363622492,-269.50653849088275
0.016811097729834728,-7.439520866712444,-271.41091020065613
0.017029421504819765,-8.264560921644923,-271.4239108873121
0.017247745279804803,-6.900480659189746,-265.3792019531548
0.01746606905478984,-7.166842145418479,-263.9678950179293
0.017684392829774877,-6.487708857862211,-262.594979781796
0.017902716604759915,-10.390142671854735,-263.52904554818036
0.018121040379744952,-7.589471274891279,-262.0654764629587
0.018339364154729993,-7.783703364614328,-260.66341649500265
0.01855768792971503,-8.059830624856946,-264.2138094148165
0.018776011704700068,-8.025467307545586,-271.890547035935
0.018994335479685105,-11.54752422369726,-276.2277103837644
0.019212659254670143,-10.567818722819867,-270.3911650263218
0.01943098302965518,-10.407705806057832,-275.47507438773175
0.019649306804640217,-10.549996185244526,-270.8291599908446
0.019867630579625255,-11.74554055085069,-265.96620126649884
0.020085954354610292,-9.533379110399023,-268.6557869840543
0.02030427812959533,-10.915724422064546,-265.0507362478065
0.02052260190458037,-10.953063248645762,-270.16375982299536
0.020740925679565408,-10.621866178377966,-272.64074158846415
0.020959249454550445,-11.181765468833447,-270.553322652018
0.021177573229535483,-8.410650797283894,-265.34065766384373
0.02139589700452052,-9.7787594415198,-268.06955062180515
0.021614220779505557,-7.990539406424048,-268.954650186923
0.021832544554490595,-9.59348439765011,-266.8816510261692
0.022050868329475632,-10.438071259632258,-273.4503852903029
0.02226919210446067,-11.732951857785915,-268.89706263828486
0.022487515879445707,-9.746913862821392,-266.73844510566875
0.022705839654430748,-9.077714198519875,-266.6489662012665
0.022924163429415785,-9.453406576638438,-275.28644235904477
0.023142487204400822,-7.770458533607996,-269.04922560463876
0.02336081097938586,-10.637582970931563,-270.96700999465935
0.023579134754370897,-12.509864957656214,-272.9283131151293
0.023797458529355935,-10.576592660410467,-272.30925459678036
0.024015782304340972,-9.244342717631799,-281.77393759060044
0.02423410607932601,-12.089555199511711,-270.4406042572671
0.024452429854311047,-11.077561608300908,-274.79552910658424
0.024670753629296084,-11.2679026474403,-278.21828030823224
0.024889077404281125,-13.689845120927748,-276.3233997100786
0.025107401179266162,-9.900175478751812,-279.9794155794614
0.0253257249542512,-9.52097352559701,-274.4788433661402
0.025544048729236237,-9.62415503166247,-280.03588921950103
0.025762372504221275,-10.791195544365607,-281.840909437705
0.025980696279206312,-11.294895857175556,-280.71242847333485
0.02619902005419135,-10.18632791638056,-278.1611200122072
0.026417343829176387,-13.753185320820936,-274.5269550621805
0.026635667604161424,-11.70092317082475,-276.9205615320058
0.02685399137914646,-8.423910887312124,-271.72486457618066
0.027072315154131502,-11.633325703822385,-270.8748455024033
