frequency_MHz,photoluminescence_mw_on_ADC,photoluminescence_mw_off_ADC,contrast_ADC,contrast_percent
2600.00000038147,5618.005419201027,5622.366245377021,-4.360826175994225,-0.07756016243689133
2601.0,5619.215640187058,5624.002697374454,-4.787057187395021,-0.08510310364674728
2601.99999961853,5619.125937585965,5624.045821744048,-4.919884158082914,-0.08746918362197467
2602.999999237061,5618.418719625883,5622.980560564844,-4.56184093896145,-0.08112228151377991
2603.999998855591,5617.926799523184,5621.924007396766,-3.997207873582556,-0.07109634579855673
2604.999998474121,5618.88787327689,5623.407986673595,-4.5201133967050735,-0.08035873406597785
2605.9999980926514,5618.421614145551,5621.826684903874,-3.4050707583216537,-0.06054426416778698
2606.9999977111815,5617.223159213864,5621.685467799615,-4.462308585750634,-0.07934998609917614
2607.999997329712,5618.3581746492655,5621.050629642082,-2.6924549928173294,-0.04785135867732691
2608.9999969482424,5618.376200446251,5621.110881193263,-2.734680747012135,-0.048622124846485065
2609.9999965667726,5617.322205581196,5620.669598373935,-3.3473927927378098,-0.0595432525358893
2610.9999961853027,5615.343743313872,5621.401036158571,-6.0572928446986225,-0.10774142316541054
2611.999995803833,5616.409447687745,5622.578521869365,-6.169074181618361,-0.10971139002355364
2612.9999954223636,5617.0001192040845,5622.927971696671,-5.927852492587954,-0.1054110452329858
2613.9999950408937,5619.243492679647,5622.387326160711,-3.1438334810647577,-0.05590012930388941
2614.999994659424,5618.488134608919,5622.381608949475,-3.8934743405568044,-0.06923269676732675
2615.999994277954,5617.76697435584,5621.392687287954,-3.625712932114493,-0.06448733009555072
2616.9999938964843,5618.521363511323,5622.64339945594,-4.1220359446158,-0.07327195463549327
2617.999993515015,5618.12195494697,5623.070281505027,-4.948326558058488,-0.08799809322866743
2618.999993133545,5618.279224867805,5622.419129198887,-4.139904331081743,-0.07362283953291258
2619.9999927520753,5618.167649845645,5622.057810923985,-3.8901610783384966,-0.06918256471977542
2620.9999923706055,5619.029455634685,5622.3779227924315,-3.3484671577468363,-0.05954941757427168
2621.9999919891357,5618.558118103739,5623.460755876151,-4.902637772411708,-0.0871806691839235
2622.9999916076663,5617.91699269493,5621.747941437173,-3.8309487422440727,-0.06812610931585705
2623.9999912261965,5617.451826267689,5622.671799064707,-5.2199727970169985,-0.09283141131913261
2624.9999908447267,5617.775538710763,5623.3798682642055,-5.604329553443131,-0.09964908017345411
2625.999990463257,5618.282087294067,5622.5637680716445,-4.281680777577185,-0.07613251588792086
2626.999990081787,5617.892121832686,5623.247210930097,-5.355089097411019,-0.09520719712839684
2627.9999897003177,5618.528503530274,5623.15042485558,-4.621921325304902,-0.08217549412465593
2628.999989318848,5616.953177247303,5622.032557997371,-5.079380750068776,-0.09033010357571955
2629.999988937378,5616.700415686035,5622.766980468869,-6.066564782834666,-0.10788058225932953
2630.999988555908,5618.9780771464375,5621.95982211083,-2.9817449643917824,-0.05303113769534336
2631.9999881744384,5616.999735611456,5621.944677079195,-4.94494146773859,-0.08794181204922681
2632.999987792969,5617.556687654736,5623.139383195281,-5.582695540544409,-0.09927933421733896
2633.999987411499,5617.115171012013,5622.051968395635,-4.936797383622979,-0.08780549777999186
2634.9999870300294,5617.461674358896,5621.516440993979,-4.054766635082524,-0.07212255796538371
2635.9999866485596,5618.576848427421,5623.227802060092,-4.650953632668006,-0.08270171064409818
2636.9999862670898,5617.423819421096,5623.25745025522,-5.833630834122869,-0.10372970360957363
2637.9999858856204,5618.68564049271,5624.5105312223,-5.824890729590242,-0.10355472444378835
2638.9999855041506,5618.827004309687,5622.805133416879,-3.978129107191853,-0.07073740856106664
2639.9999851226808,5618.25979765871,5622.887109148149,-4.627311489439672,-0.08228624305078394
2640.999984741211,5617.8616117003385,5622.604155332091,-4.742543631751142,-0.08433650300531569
2641.999984359741,5619.641229330317,5622.683225845891,-3.0419965155729187,-0.0540986372918118
2642.9999839782718,5618.527232020051,5622.605957147661,-4.078725127609414,-0.07254018480257679
2643.999983596802,5617.729805605648,5622.882995079011,-5.153189473362363,-0.09163387469923387
2644.999983215332,5619.475816853624,5623.590715835804,-4.114898982180511,-0.07315277200709239
2645.9999828338623,5616.299816609102,5622.721504111012,-6.421687501910401,-0.11420166365806365
2646.9999824523925,5617.482987437724,5621.943602714185,-4.460615276461885,-0.07933932025986198
2647.999982070923,5618.5138811626975,5622.850108506282,-4.336227343582868,-0.07711577398991229
2648.9999816894533,5618.777666045176,5623.962655500199,-5.184989455023333,-0.09218541045469855
2649.9999813079835,5619.417052296971,5623.519998777394,-4.102946480422998,-0.07295509629508891
2650.9999809265137,5618.748610813949,5622.213404346364,-3.4647935324142964,-0.06160931507006465
2651.999980545044,5617.852831861112,5622.0267949384115,-4.1739630772992315,-0.07419341410399148
2652.9999801635745,5617.3416282055205,5623.056328514229,-5.7147003087078705,-0.10163261306754298
2653.9999797821047,5617.151731515726,5622.404677996149,-5.252946480422816,-0.09341124342314229
2654.999979400635,5618.929917168444,5622.817552037168,-3.88763486872258,-0.06912515916706563
2655.999979019165,5617.929611516949,5622.745403001498,-4.815791484549299,-0.08562747920484141
2656.999978637695,5619.657525139836,5623.474745545129,-3.817220405293938,-0.06787473942801656
2657.999978256226,5617.219404285233,5621.821407830792,-4.602003545557272,-0.08184939917064143
2658.999977874756,5617.733786716386,5622.049193080051,-4.315406363664261,-0.07674515449336819
2659.999977493286,5618.66437784638,5622.891869670202,-4.227491823822584,-0.07518077485744278
2660.9999771118164,5619.404066693156,5622.7824005868515,-3.378333893694344,-0.06005884748440752
2661.9999767303466,5619.469937647094,5622.565617263196,-3.0956796161017337,-0.05500661554332072
2662.999976348877,5618.957464009536,5623.195153895528,-4.23768988599195,-0.07533809477092514
2663.9999759674074,5618.750348442705,5623.4720940184,-4.721745575694695,-0.08396861714581974
2664.9999755859376,5620.11174465874,5623.797244551762,-3.685499893021915,-0.06552131053664827
2665.999975204468,5619.928300272029,5623.919178103127,-3.9908778310969866,-0.07095357847315718
2666.999974822998,5619.941108597977,5624.741669468472,-4.800560870495429,-0.08533461608287769
2667.9999744415286,5619.197923098083,5624.254855274016,-5.0569321759328885,-0.08990173855616775
2668.999974060059,5620.494692361768,5623.292594064247,-2.7979017024788844,-0.04974469280760957
2669.999973678589,5619.174213711526,5622.816784851912,-3.642571140385644,-0.0647797962294912
2670.999973297119,5618.746419292724,5622.981778586056,-4.235359293333568,-0.07531567565194608
2671.9999729156493,5618.228196350521,5624.00501115628,-5.776814805758477,-0.10271055025968771
2672.99997253418,5617.649055536878,5623.867396154905,-6.218340618027287,-0.11056463136339023
2673.99997215271,5619.743489623131,5624.00150991839,-4.258020295259212,-0.07570438492324175
2674.9999717712403,5621.060230155576,5623.95846960296,-2.8982394473820934,-0.051523341998447145
2675.9999713897705,5619.673819421097,5623.084552373384,-3.410732952287799,-0.06063071261546608
2676.9999710083007,5618.834210043708,5624.445094293487,-5.610884249778519,-0.09974837932592484
2677.9999706268313,5620.0311764526095,5623.603719778709,-3.5725433260995487,-0.06351465251229178
2678.9999702453615,5619.590772381331,5621.88044288902,-2.2896705076869694,-0.040715713676408784
2679.9999698638917,5618.289575755723,5622.210496072378,-3.9209203166548834,-0.06973032141444253
2680.999969482422,5617.884914570406,5620.574060885778,-2.689146315371181,-0.04784674278987428
2681.999969100952,5618.278385854448,5621.412377357338,-3.1339915028885117,-0.05573416984171671
2682.9999687194827,5618.074990066326,5621.62132377663,-3.5463337103034065,-0.06306710319254363
2683.999968338013,5618.633091359232,5623.097744291959,-4.464652932726222,-0.07939347613799856
2684.999967956543,5619.158197573128,5622.478885594645,-3.3206880215177987,-0.059028880581445495
2685.9999675750732,5620.409333068435,5623.563758902101,-3.1544258336645727,-0.056061625399169215
2686.9999671936034,5620.403333129567,5623.646680624753,-3.2433474951860264,-0.05766855300818778
2687.999966812134,5619.43389980744,5623.984951248586,-4.5510514411467735,-0.08091184548097807
2688.9999664306642,5620.002356573036,5623.709085490724,-3.7067289176879057,-0.06589048262174915
2689.9999660491944,5620.708318305468,5623.880312987133,-3.171994681664091,-0.0563799427006194
2690.9999656677246,5619.622074151052,5622.113977442919,-2.4919032918666746,-0.04429780665644721
2691.999965286255,5619.580019561696,5622.308787480515,-2.728767918819085,-0.04853416408441407
2692.9999649047854,5620.451396827338,5622.920061435951,-2.4686646086134716,-0.04390202012448208
2693.9999645233156,5620.107318825076,5621.939500871106,-1.8321820460310847,-0.03255753718633579
2694.999964141846,5618.809377387903,5623.536039367913,-4.7266619800103395,-0.08403492484511219
2695.999963760376,5618.998788091818,5623.59927254944,-4.600484457621496,-0.0817997936860102
2696.999963378906,5619.259343766238,5622.523755234282,-3.2644114680440905,-0.05806427272259138
2697.999962997437,5620.922422593757,5623.252892991412,-2.330470397652698,-0.04143960552129726
2698.999962615967,5621.114908151725,5623.688292019439,-2.573383867713983,-0.04572693551903932
2699.999962234497,5620.801054497662,5623.560248494667,-2.759193997004786,-0.04904854741947609
2700.9999618530273,5620.951005593422,5625.55433260996,-4.603327016535696,-0.08182965189568009
2701.9999614715575,5620.372080264084,5623.4527157135435,-3.080635449460442,-0.05476650427591943
2702.999961090088,5619.45453892472,5622.50576917199,-3.0512302472719965,-0.05425757499002577
2703.9999607086183,5619.369842895131,5623.9807561818025,-4.610913286670621,-0.08196825632336172
2704.9999603271485,5618.211587248219,5623.613369196442,-5.401781948222651,-0.09605822012461922
2705.9999599456787,5619.86963046734,5623.374930464284,-3.5052999969435406,-0.062330104357444405
2706.999959564209,5620.45851086591,5622.372994162057,-1.9144832961457723,-0.03403244586576388
2707.9999591827395,5619.488302717242,5622.394382125501,-2.906079408258756,-0.05167850455563533
2708.9999588012697,5619.161793562979,5621.711345783538,-2.5495522205582346,-0.04533935705282892
2709.9999584198,5619.354571018125,5622.217776691017,-2.8632056728917634,-0.050919476021269706
2710.99995803833,5618.144611364123,5620.68189167711,-2.537280312986968,-0.045133292440177344
2711.9999576568603,5617.861877617141,5623.111122657945,-5.249245040804363,-0.09333938068351592
2712.999957275391,5618.2360011614755,5622.365410948437,-4.129409786960787,-0.07343143660330685
2713.999956893921,5619.5485435706205,5622.811839410704,-3.263295840083174,-0.05803280124968193
2714.9999565124513,5620.315698260843,5623.812880154048,-3.4971818932052883,-0.06216024089411698
2715.9999561309814,5618.810123177553,5622.493945043861,-3.6838218663081532,-0.06549633873177442
2716.9999557495116,5620.450356083993,5623.61152611792,-3.161170033927283,-0.05620381912463811
2717.9999553680423,5619.904729956902,5623.149879267659,-3.2451493107559144,-0.057694784494682815
2718.9999549865724,5619.456848121772,5622.482707766604,-3.0258596448331447,-0.053806811238366906
2719.9999546051026,5617.739612433903,5622.005960204175,-4.266347770272205,-0.07586617435997686
2720.999954223633,5618.827192285356,5623.293307760492,-4.466115475135121,-0.07941223905455574
2721.999953842163,5618.780575847419,5623.145679616102,-4.365103768683094,-0.0776235247857112
2722.9999534606936,5619.701089647584,5622.334145856893,-2.6330562093101433,-0.0468200258285848
2723.999953079224,5618.590640951187,5623.446246599628,-4.855605648439723,-0.08634299940938188
2724.999952697754,5620.089630772992,5623.139100467646,-3.0494696946541806,-0.05421840860731392
2725.999952316284,5619.6563713054375,5622.827867775163,-3.171496469725116,-0.05638624499378779
2726.9999519348144,5619.152350460005,5621.906877158663,-2.7545266986580828,-0.04897160562828108
2727.999951553345,5619.255053947489,5622.747108536847,-3.4920545893572124,-0.06209014129293602
2728.999951171875,5617.126072072623,5621.595349512487,-4.469277439863163,-0.07950061943384086
2729.9999507904054,5617.50436775988,5621.19038420393,-3.68601644405062,-0.06553649446521204
2730.9999504089355,5619.357384540147,5624.440229849926,-5.082845309777985,-0.09036457344984598
2731.9999500274657,5619.833866185775,5624.239821805178,-4.405955619402812,-0.07833058919370968
2732.9999496459964,5620.093138123912,5620.999234343003,-0.9060962190911596,-0.016088283988300957
2733.9999492645265,5618.93431243696,5623.158914325885,-4.224601888926282,-0.07511342807923721
2734.9999488830567,5618.780030259497,5623.823901947,-5.043871687501996,-0.0896883673139212
2735.999948501587,5619.489519210196,5622.593815141975,-3.1042959317784153,-0.05520179226510095
2736.999948120117,5618.887705168568,5622.7768652382565,-3.8891600696887507,-0.06915004575593794
2737.9999477386477,5619.058466546444,5622.9327719534185,-3.874305406974872,-0.06887613329722708
2738.999947357178,5618.808458905157,5622.884023596295,-4.0755646911390615,-0.07245675287541503
2739.999946975708,5618.918579026194,5621.88425130666,-2.9656722804656965,-0.05274231895215904
2740.9999465942383,5619.970024757772,5622.2061435950745,-2.2361188373017287,-0.03973881536654002
2741.9999462127685,5618.796442216584,5622.379195830914,-3.5827536143287944,-0.0637182749138485
2742.999945831299,5617.4770532139255,5622.59534798423,-5.118294770303146,-0.09103026479130831
2743.9999454498293,5619.174117431305,5622.44899899135,-3.274881560045287,-0.05822358418967868
