time_s,signal_f1,signal_f2,lockin_signal
3.3294782042503357e-07,5254.980514717119,5247.592658251062,7.387856466057201
1.5284322667866945e-05,5258.076183635419,5248.126585567136,9.949598068282285
3.0235697515308856e-05,5256.3387841183485,5250.658587278785,5.680196839563905
4.518707236275077e-05,5259.791912461412,5247.7003698383105,12.091542623101304
6.013844721019268e-05,5259.847739707186,5250.074456704466,9.773283002719836
7.508982205763458e-05,5258.022740471315,5250.007396766207,8.015343705107625
9.00411969050765e-05,5254.195204328025,5248.431411804261,5.763792523764096
0.00010499257175251842,5256.172601399884,5245.765641715317,10.406959684567482
0.00011994394659996032,5253.328774031849,5246.9613656508845,6.367408380964662
0.00013489532144740223,5258.431197848214,5248.574349726442,9.85684812177169
0.00014984669629484413,5257.85538099459,5249.318825075648,8.536555918941303
0.00016479807114228606,5254.343674542287,5250.095760613748,4.247913928538765
0.00017974944598972797,5256.057202677507,5248.121374209127,7.93582846838035
0.00019470082083716987,5256.8978665525565,5248.776859125225,8.121007427331278
0.0002096521956846118,5256.169101690253,5248.10320322768,8.065898462573386
0.0002246035705320537,5255.850505853226,5250.61715621848,5.233349634746446
0.0002395549453794956,5259.564293792218,5248.337607360088,11.226686432130009
0.0002545063202269375,5256.215958064615,5250.978589112694,5.237368951920871
0.0002694576950743794,5260.0713237766295,5247.157441085674,12.913882690955688
0.0002844090699218213,5257.2270532139255,5246.131720512272,11.095332701653206
0.00029936044476926323,5256.951065195464,5246.4263227068495,10.52474248861472
0.0003143118196167052,5255.974004340252,5249.956979551915,6.017024788337039
0.0003292631944641471,5257.235198826298,5247.980789803466,9.254409022832078
0.000344214569311589,5256.179386863098,5249.077054742183,7.102332120915889
0.0003591659441590309,5256.967096616438,5250.490081608949,6.477015007488262
0.0003741173190064728,5259.082021578995,5246.011935690925,13.070085888070025
0.0003890686938539147,5258.273772045114,5245.064385487667,13.209386557447033
0.0004040200687013566,5256.601522144451,5250.349451355564,6.2520707888870675
0.00041897144354879857,5258.621588165174,5248.132561053886,10.489027111288124
0.0004339228183962405,5259.036204419721,5250.433566647309,8.602637772411981
0.0004488741932436824,5257.843903780909,5248.701745270043,9.142158510866466
0.0004638255680911243,5255.012959623437,5250.740822813827,4.272136809609947
0.0004787769429385662,5256.920866827643,5245.6131216187305,11.30774520891282
0.0004937283177860081,5254.656783934957,5249.471742519179,5.18504141577796
0.00050867969263345,5256.845080539169,5249.186034783141,7.659045756028718
0.000523631067480892,5257.611257144604,5250.753094721399,6.858162423204703
0.0005385824423283338,5259.905034080141,5248.713665678393,11.19136840174815
0.0005535338171757758,5251.734801479353,5249.864917321271,1.869884158082641
0.0005684851920232176,5258.568618760889,5246.476006357551,12.092612403337625
0.0005834365668706596,5255.607956108445,5247.300547116178,8.307408992267483
0.0005983879417181014,5260.6921478130635,5250.44628174955,10.245866063513859
0.0006133393165655434,5258.33345049974,5249.810603050402,8.52284744933786
0.0006282906914129853,5255.9928936027145,5250.557065134334,5.43582846838035
0.0006432420662604272,5257.2352599565975,5251.2032888100985,6.031971146499018
0.0006581934411078691,5258.441116239264,5249.607268392579,8.833847846685785
0.000673144815955311,5256.05254149219,5249.86812666198,6.184414830210699
0.000688096190802753,5256.481676192805,5249.002628602867,7.479047589938091
0.0007030475656501948,5257.165556132897,5247.643900724394,9.521655408502738
0.0007179989404976368,5259.53270471009,5246.784500412629,12.748204297460688
