batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_01_raw,peak_01_ref_raw,peak_01_spike_sig,peak_01_spike_ref,peak_02,peak_02_ref,peak_02_freq_mhz,peak_02_raw,peak_02_ref_raw,peak_02_spike_sig,peak_02_spike_ref,z_minus,z_plus,lockin_signal,f0_mhz,delta_f_mhz,peak_shift_kHz,delta_f_linear_mhz,peak_shift_linear_kHz,B_shift_nT,B_shift_linear_nT
0,0.005783334083389491,1785869739.7517178,0.010617249994538724,-5682.635351652046,-5671.512519485283,2930.2169026906186,-5682.635351652046,-5671.512519485283,False,False,-5728.602040223737,-5725.890110645842,2936.2169004017996,-5728.602040223737,-5725.890110645842,False,False,-1.0019611756349913,-1.0004736258512634,0.0014875497837278928,2929.4429555591837,-3.7739459463291496,-3773.9459463291496,-0.15689289169691387,-156.89289169691386,-134668.35377994395,-5598.518830178199
1,0.11197064601583406,1785869739.8582542,0.011316791991703212,-5682.519077238133,-5666.861254088088,2930.2169026906186,-5682.519077238133,-5666.861254088088,False,False,-5736.528893235932,-5723.135975181098,2936.2169004017996,-5736.528893235932,-5723.135975181098,False,False,-1.0027630503815053,-1.00234013626671,0.00042291411479533636,2932.9283793257473,-0.2885221797655504,-288.5221797655504,-0.04460504054089392,-44.60504054089392,-10295.538815499229,-1591.672871142375
2,0.2105114795267582,1785869739.95622,0.010171208996325731,-5666.924300822202,-5652.010916343186,2930.2169026906186,-5666.924300822202,-5652.010916343186,False,False,-5706.256704465569,-5704.293168689061,2936.2169004017996,-5706.256704465569,-5704.293168689061,False,False,-1.0026385979609298,-1.0003442206980675,0.0022943772628623016,,,,-0.24198953699010337,-241.98953699010337,,-8635.08196510503
3,0.3357041875133291,1785869740.0816169,0.010564625030383468,-5663.546729528991,-5653.324759299447,2930.2169026906186,-5663.546729528991,-5653.324759299447,False,False,-5715.024562154233,-5710.7569413454785,2936.2169004017996,-5715.024562154233,-5710.7569413454785,False,False,-1.001808134268729,-1.0007472951226233,0.0010608391461057742,2931.5044462645837,-1.7124552409291027,-1712.4552409291027,-0.11188742930052092,-111.88742930052092,-61106.738543002524,-3992.557425796493
4,0.44553170853760093,1785869740.19162,0.010935832979157567,-5693.947946021946,-5670.026551945472,2930.2169026906186,-5693.947946021946,-5670.026551945472,False,False,-5733.717205122719,-5731.847544090228,2936.2169004017996,-5733.717205122719,-5731.847544090228,False,False,-1.0042189209975156,-1.000326188199897,0.003892732797618592,,,,-0.4105691869290015,-410.5691869290015,,-14650.627566692889
5,0.5451416045543738,1785869740.290907,0.010297790984623134,-5706.71768958034,-5690.625437845769,2930.2169026906186,-5706.71768958034,-5690.625437845769,False,False,-5747.8735642020965,-5734.09008772198,2936.2169004017996,-5747.8735642020965,-5734.09008772198,False,False,-1.0028278529153491,-1.002403777455403,0.00042407545994604945,2932.9349974842225,-0.2819040212903019,-281.9040212903019,-0.04472752840714659,-44.72752840714659,-10059.378435994215,-1596.0436913769122
6,0.6537542920559645,1785869740.3998358,0.01093033398501575,-5670.381650212429,-5664.566664119572,2930.2169026906186,-5670.381650212429,-5664.566664119572,False,False,-5723.598292936394,-5717.800307179754,2936.2169004017996,-5723.598292936394,-5717.800307179754,False,False,-1.0010265544458485,-1.0010140238282472,1.253061760131402e-05,2933.194366606677,-0.022534898836056527,-22.534898836056527,-0.0013216127970048488,-1.3216127970048488,-804.1285625198589,-47.160034149473624
7,0.7596601460245438,1785869740.5057201,0.010888707940466702,-5669.541325610539,-5651.7651129382275,2930.2169026906186,-5669.541325610539,-5651.7651129382275,False,False,-5720.0985405141055,-5708.898233334352,2936.2169004017996,-5720.0985405141055,-5708.898233334352,False,False,-1.0031452497258986,-1.00196190345702,0.0011833462688786156,2932.3859315576824,-0.8309699478304537,-830.9699478304537,-0.12480833921260513,-124.80833921260513,-29652.08206645924,-4453.623294768952
8,0.8773699590237811,1785869740.62319,0.010410750051960349,-5687.853764098175,-5671.556148179845,2930.2169026906186,-5687.853764098175,-5671.556148179845,False,False,-5736.479405202188,-5728.87678424061,2936.2169004017996,-5736.479405202188,-5728.87678424061,False,False,-1.0028735704086364,-1.0013270700781158,0.001546500330520617,2931.8018929133295,-1.4150085921833124,-1415.0085921833124,-0.16311044613078354,-163.11044613078354,-50492.74165655554,-5820.38417537766
9,0.9852737710461952,1785869740.7309928,0.01021479198243469,-5671.7595607788,-5652.9159702906745,2930.2169026906186,-5671.7595607788,-5652.9159702906745,False,False,-5710.830803557782,-5705.570007946939,2936.2169004017996,-5710.830803557782,-5705.570007946939,False,False,-1.0033334283734552,-1.0009220455806371,0.002411382792818051,2930.5206772258935,-2.6962242796194005,-2696.2242796194005,-0.254330190150142,-254.33019015014202,-96211.25747999574,-9075.442126396732
10,1.0921371045405976,1785869740.837831,0.010166790918447077,-5682.996831922243,-5662.016969771066,2930.2169026906186,-5682.996831922243,-5662.016969771066,False,False,-5725.035915579057,-5713.2804948497715,2936.2169004017996,-5725.035915579057,-5713.2804948497715,False,False,-1.0037053689989248,-1.002057560580105,0.0016478084188198405,2932.1764277934444,-1.040473712068433,-1040.473712068433,-0.17379547939784457,-173.79547939784456,-37127.95147261037,-6201.665693614208
11,1.2330455210176297,1785869740.9787688,0.010227708029560745,-5679.265982516735,-5667.444099397867,2930.2169026906186,-5679.265982516735,-5667.444099397867,False,False,-5729.754797200232,-5722.090096891524,2936.2169004017996,-5729.754797200232,-5722.090096891524,False,False,-1.0020859284911383,-1.0013394931185848,0.0007464353725534778,2932.4233743451705,-0.7935271603423644,-793.5271603423644,-0.0787270485639558,-78.7270485639558,-28315.984882328157,-2809.272358120033
12,1.3368433130672202,1785869741.08236,0.009813542012125254,-5683.38889873766,-5660.843526301311,2930.2169026906186,-5683.38889873766,-5660.843526301311,False,False,-5723.255466577009,-5720.473622275882,2936.2169004017996,-5723.255466577009,-5720.473622275882,False,False,-1.0039826877976046,-1.0004862961504262,0.0034963916471784096,,,,-0.3687668150882622,-368.7668150882622,,-13158.964283766136
13,1.444504771498032,1785869741.189999,0.009773375000804663,-5676.679249319925,-5668.185198826299,2930.2169026906186,-5676.679249319925,-5668.185198826299,False,False,-5727.554025430205,-5717.960914814928,2936.2169004017996,-5727.554025430205,-5717.960914814928,False,False,-1.0014985485116796,-1.001677715318134,-0.00017916680645435612,2933.417338771805,0.2004372662922833,200.4372662922833,0.0188968454488452,18.8968454488452,7152.343216253329,674.309358009035
14,1.5462955420371145,1785869741.291876,0.009952083928510547,-5683.246462083932,-5663.256547055048,2930.2169026906186,-5683.246462083932,-5663.256547055048,False,False,-5727.794417275423,-5721.7673885136155,2936.2169004017996,-5727.794417275423,-5721.7673885136155,False,False,-1.0035297562211407,-1.0010533508883823,0.0024764053327583913,2930.7779012954175,-2.4390002100954007,-2439.0002100954007,-0.2611881618485051,-261.18816184850505,-87032.5510310948,-9320.159928936093
15,1.652392125048209,1785869741.398863,0.011730499914847314,-5693.494724455176,-5684.192658251062,2930.2169026906186,-5693.494724455176,-5684.192658251062,False,False,-5739.336529938564,-5731.976018583611,2936.2169004017996,-5739.336529938564,-5731.976018583611,False,False,-1.0016364797541848,-1.0012841141224404,0.00035236563174434465,2932.782735830584,-0.43416567492886315,-434.16567492886315,-0.03716424384839217,-37.16424384839217,-15492.637558123863,-1326.1577165426836
16,1.7537856880226173,1785869741.499326,0.009877791977487504,-5689.87724424611,-5682.975936057707,2930.2169026906186,-5689.87724424611,-5682.975936057707,False,False,-5746.041206406457,-5734.166754286763,2936.2169004017996,-5746.041206406457,-5734.166754286763,False,False,-1.0012143827927575,-1.0020708243461558,-0.0008564415533982572,2934.1824113880134,0.9655098825005552,965.5098825005552,0.09032947559246808,90.32947559246809,34452.964690998975,3223.289879834002
17,1.8553651255206205,1785869741.600947,0.009959417046047747,-5673.388585444875,-5656.263598435065,2930.2169026906186,-5673.388585444875,-5656.263598435065,False,False,-5715.94514625424,-5712.233459669286,2936.2169004017996,-5715.94514625424,-5712.233459669286,False,False,-1.0030276147339647,-1.0006497785167852,0.002377836217179574,,,,-0.2507920099050031,-250.7920099050031,,-8949.186765094315
18,1.9559867920470424,1785869741.70161,0.010048416093923151,-5683.638006235291,-5661.273687990952,2930.2169026906186,-5683.638006235291,-5661.273687990952,False,False,-5719.490778494361,-5718.793856404926,2936.2169004017996,-5719.490778494361,-5718.793856404926,False,False,-1.0039504040039222,-1.0001218652231456,0.0038285387807766025,,,,-0.40379860012770863,-403.79860012770865,,-14409.02798057767
19,2.0575184795306996,1785869741.803083,0.009935291018337011,-5709.728314026347,-5684.9636916587715,2930.2169026906186,-5709.728314026347,-5684.9636916587715,False,False,-5747.139577283981,-5741.456128312499,2936.2169004017996,-5747.139577283981,-5741.456128312499,False,False,-1.0043561619230588,-1.000989896786541,0.003366265136517832,2929.673703321429,-3.543198184083849,-3543.198184083849,-0.35504228313156255,-355.04228313156256,-126434.41992876993,-12669.222207092582
20,2.155996458546724,1785869741.9020941,0.010999916936270893,-5712.801956169575,-5700.636650670905,2930.2169026906186,-5712.801956169575,-5700.636650670905,False,False,-5760.843821255005,-5760.249209890882,2936.2169004017996,-5760.843821255005,-5760.249209890882,False,False,-1.00213402576662,-1.0001032266734402,0.0020307990931798248,,,,-0.21418976740793558,-214.1897674079356,,-7643.083335995417
21,2.2529532920452766,1785869741.998445,0.009792833938263357,-5687.254182840725,-5668.50521135801,2930.2169026906186,-5687.254182840725,-5668.50521135801,False,False,-5728.242396919033,-5728.5035791790215,2936.2169004017996,-5728.242396919033,-5728.5035791790215,False,False,-1.003307568888734,-0.9999544065467747,0.0033531623419593704,,,,-0.35366032244018014,-353.66032244018015,,-12619.908736803458
22,2.3815483130747452,1785869742.127053,0.009820207953453064,-5664.756496622551,-5647.773359415593,2930.2169026906186,-5664.756496622551,-5647.773359415593,False,False,-5706.518355900602,-5704.46236971605,2936.2169004017996,-5706.518355900602,-5704.46236971605,False,False,-1.0030070500578152,-1.0003604171701557,0.002646632887659539,,,,-0.27914217833055494,-279.14217833055494,,-9960.825661238758
23,2.478713708522264,1785869742.224194,0.009776916936971247,-5615.52778983403,-5602.043202310725,2930.2169026906186,-5615.52778983403,-5602.043202310725,False,False,-5661.284697557845,-5658.700461533758,2936.2169004017996,-5661.284697557845,-5658.700461533758,False,False,-1.0024070838150165,-1.000456683657609,0.0019504001574075502,,,,-0.20571003673899116,-205.71003673899116,,-7340.495173386781
24,2.577746458526235,1785869742.324165,0.011652666958980262,-5578.992384692973,-5561.688761194486,2930.2169026906186,-5578.992384692973,-5561.688761194486,False,False,-5616.300499740195,-5614.026010942323,2936.2169004017996,-5616.300499740195,-5614.026010942323,False,False,-1.0031112175171002,-1.000405143972158,0.0027060735449422335,,,,-0.2854114250525507,-285.41142505255067,,-10184.53557852379
25,2.6783333965577185,1785869742.423923,0.0099996249191463,-5592.358500168109,-5571.472732830027,2930.2169026906186,-5592.358500168109,-5571.472732830027,False,False,-5629.318721154141,-5626.739610905645,2936.2169004017996,-5629.318721154141,-5626.739610905645,False,False,-1.0037486977572396,-1.0004583667322184,0.003290331025021187,,,,-0.3470334605284754,-347.0334605284754,,-12383.437786485703
26,2.7807705210288987,1785869742.52646,0.01020095800049603,-5619.692746889997,-5598.46220007947,2930.2169026906186,-5619.692746889997,-5598.46220007947,False,False,-5654.8893495736165,-5656.357648928692,2936.2169004017996,-5654.8893495736165,-5656.357648928692,False,False,-1.003792210441329,-0.9997404161041067,0.004051794337222359,,,,-0.427345516151169,-427.345516151169,,-15249.269060489902
27,2.878429146541748,1785869742.6241212,0.010211124899797142,-5646.501775835193,-5632.722595286855,2930.2169026906186,-5646.501775835193,-5632.722595286855,False,False,-5689.9711999877745,-5686.598752941896,2936.2169004017996,-5689.9711999877745,-5686.598752941896,False,False,-1.0024462735942061,-1.00059305169793,0.0018532218962761249,2929.7494659758913,-3.4674355296215253,-3467.4355296215253,-0.19546057916401902,-195.460579164019,-123730.92811952345,-6974.756607337247
28,2.9752531880512834,1785869742.720712,0.009744707960635424,-5666.515491946083,-5647.267084390378,2930.2169026906186,-5666.515491946083,-5647.267084390378,False,False,-5705.873289115751,-5698.389079072042,2936.2169004017996,-5705.873289115751,-5698.389079072042,False,False,-1.0034084464694275,-1.0013133904933231,0.0020950559761043763,2931.4278431632874,-1.7890583422254167,-1789.0583422254167,-0.22096698473789425,-220.96698473789425,-63840.22060467516,-7884.919523904305
