time_s,z_minus,z_plus,lockin_signal,f0_mhz,peak_shift_kHz,peak_shift_linear_kHz,B_shift_nT
0.0057833340833894,-1.001961175634991,-1.0004736258512634,0.0014875497837278,2929.4429555591837,-3773.9459463291496,-156.89289169691386,-134668.35377994395
0.111970646015834,-1.0027630503815053,-1.00234013626671,0.0004229141147953,2932.9283793257473,-288.5221797655504,-44.60504054089392,-10295.538815499229
0.2105114795267582,-1.0026385979609298,-1.0003442206980675,0.0022943772628623,,,-241.98953699010335,
0.3357041875133291,-1.001808134268729,-1.0007472951226233,0.0010608391461057,2931.5044462645837,-1712.4552409291027,-111.88742930052092,-61106.738543002524
0.4455317085376009,-1.0042189209975156,-1.000326188199897,0.0038927327976185,,,-410.5691869290015,
0.5451416045543738,-1.0028278529153491,-1.002403777455403,0.000424075459946,2932.9349974842225,-281.9040212903019,-44.72752840714659,-10059.378435994215
0.6537542920559645,-1.0010265544458483,-1.0010140238282472,1.253061760131402e-05,2933.194366606677,-22.534898836056527,-1.3216127970048488,-804.1285625198589
0.7596601460245438,-1.0031452497258986,-1.00196190345702,0.0011833462688786,2932.3859315576824,-830.9699478304537,-124.80833921260512,-29652.08206645924
0.8773699590237811,-1.0028735704086364,-1.0013270700781158,0.0015465003305206,2931.8018929133295,-1415.0085921833124,-163.11044613078354,-50492.74165655554
0.9852737710461952,-1.0033334283734552,-1.0009220455806371,0.002411382792818,2930.5206772258935,-2696.2242796194005,-254.330190150142,-96211.25747999574
1.0921371045405976,-1.0037053689989248,-1.002057560580105,0.0016478084188198,2932.1764277934444,-1040.473712068433,-173.79547939784456,-37127.95147261037
1.2330455210176297,-1.0020859284911383,-1.0013394931185848,0.0007464353725534,2932.4233743451705,-793.5271603423644,-78.7270485639558,-28315.984882328157
1.3368433130672202,-1.0039826877976046,-1.0004862961504262,0.0034963916471784,,,-368.7668150882622,
1.444504771498032,-1.0014985485116796,-1.001677715318134,-0.0001791668064543,2933.417338771805,200.4372662922833,18.8968454488452,7152.343216253329
