row_position,time_s,column,value_before,value_after,reason,median_window_samples
38,3.0027291253209114,delta_f_mhz_b01,-0.6030254267882199,-0.11286668514078455,explicit_row,21
38,3.0027291253209114,f_new_mhz_b01,2755.0640178646754,2755.5541766063225,explicit_row,21
38,3.0027291253209114,delta_f_mhz_b02,-0.2960242892993546,-0.006178656315033,explicit_row,21
38,3.0027291253209114,f_new_mhz_b02,2786.621229395023,2786.9110750280074,explicit_row,21
38,3.0027291253209114,delta_f_mhz_b03,-0.0191106317572186,-0.12222194929005795,explicit_row,21
38,3.0027291253209114,f_new_mhz_b03,2839.8150530201247,2839.7119417025915,explicit_row,21
38,3.0027291253209114,delta_f_mhz_b04,0.0685446823182461,-0.0136557813279198,explicit_row,21
38,3.0027291253209114,f_new_mhz_b04,2868.483922130006,2868.4017216663597,explicit_row,21
38,3.0027291253209114,delta_f_mhz_b05,-0.1061796065861185,-0.17567463965344493,explicit_row,21
38,3.0027291253209114,f_new_mhz_b05,2889.230699798723,2889.1612047656563,explicit_row,21
38,3.0027291253209114,delta_f_mhz_b06,-0.1657630464170383,-0.09902046800723445,explicit_row,21
38,3.0027291253209114,f_new_mhz_b06,2916.3349238526857,2916.4016664310957,explicit_row,21
38,3.0027291253209114,delta_f_mhz_b07,0.0366738409411989,0.0990747104638394,explicit_row,21
38,3.0027291253209114,f_new_mhz_b07,2962.914049964042,2962.9764508335647,explicit_row,21
38,3.0027291253209114,delta_f_mhz_b08,0.5186446137378994,0.21306826888495028,explicit_row,21
38,3.0027291253209114,f_new_mhz_b08,2988.625560638524,2988.319984293671,explicit_row,21
30,2.4447386043611914,delta_f_mhz_b06,-0.8916032370731751,-0.0991497369660151,abs_delta_f_above_0.8_MHz,21
30,2.4447386043611914,f_new_mhz_b06,2915.6090836620297,2916.4015371621367,abs_delta_f_above_0.8_MHz,21
