block,peak_center_mhz,f_minus_mhz,f_plus_mhz,n_samples,delta_f_mean_mhz,delta_f_median_mhz,delta_f_std_mhz,delta_f_min_mhz,delta_f_max_mhz
1,2756.2849883577046,2752.5020411718233,2760.0000457763676,694,-0.12121360495231252,-0.12279238015206455,0.05999524839906143,-0.2943654429958948,0.2630863394651497
2,2787.428999484846,2783.821798442183,2791.000069427491,694,-0.02653438455411142,-0.025373962955907402,0.039635298426478005,-0.1663281731957338,0.1553259679656316
3,2840.794790143918,2837.115278428212,2844.5001102447513,694,-0.15813174712045977,-0.1630972785568477,0.14160047174699017,-0.6439769384437786,0.3479114195405307
4,2868.9142477332643,2864.3916769083735,2873.436818558155,694,0.00788949823034258,0.016074431196003852,0.13306069703239515,-0.366941169225347,0.3529733722182815
5,2890.046942450974,2884.713919449786,2895.3799654521617,694,-0.2288372507501939,-0.22699327331271996,0.12507079963678785,-0.6058730001863435,0.1678141704317897
6,2916.1564670053413,2910.9346942574803,2921.3782397532023,694,-0.080257175773653,-0.0806862353671841,0.1415851372583154,-0.5067238258607522,0.3822421622906159
7,2963.3128773892217,2959.628611976395,2967.0002037048343,694,0.11814275248307216,0.12046747901221169,0.04805550565624742,-0.0978655630606232,0.2612913191294098
8,2988.6517312172577,2985.0002174377446,2992.3546199148395,694,0.1786403506916352,0.17872303294602976,0.06157879914420768,-0.0241967275129992,0.4064502003223368
