file,mode,fs_hz,sigma_kHz,asd_10_30,asd_100_200,asd_350_500,asd_quiet_10_30,asd_quiet_100_200,asd_quiet_350_500,stale_pct
twopoint_lockin_live_20260817_114413.csv,burst,4166.666666666667,107.55848499139708,53.70328444189143,47.55096746520452,47.6814579501948,36.46886576096537,30.639273171054704,33.0267717908285,50.13123359580053
twopoint_lockin_live_20260817_114734.csv,burst,4166.666666666667,135.5373982515865,74.24849446704803,72.90145747416601,73.65695264454945,105.61089510717295,87.80371863841154,89.30969159116977,50.13123359580053
twopoint_lockin_live_20260817_114912.csv,burst,4166.666666666667,228.43348139799596,129.19179599962231,120.39436428554481,119.75053793262641,110.83390273692115,111.70662693641233,112.6739702212933,50.0
twopoint_lockin_live_20260817_115044.csv,burst,4166.666666666667,161.24352664677008,82.52309740163463,81.46668857875287,82.36896867583877,86.10892364739811,84.5451840869392,86.21372668787967,50.259067357512954
twopoint_lockin_live_20260817_115811.csv,burst,4166.666666666667,226.11497700763528,124.8394854896207,115.28111623062713,125.19967167468538,124.8394854896207,115.28111623062713,125.19967167468538,50.847457627118644
twopoint_lockin_live_20260817_120659.csv,burst,4166.666666666667,148.13923983527482,61.454817449979316,55.30842493877445,54.46694516749599,58.92763299592562,55.99820079269939,57.90750202435685,50.0
twopoint_lockin_stream_20260817_115412.csv,stream,1041.6666666666667,88.42769724640031,134.18159146869766,124.97813481709653,124.35209353870215,134.92216270651173,125.82889043922752,123.66939961186682,
twopoint_lockin_stream_20260817_115926.csv,stream,1041.6666666666667,73.3486526663941,92.40011102938797,86.058624076179,86.80272451295704,120.36336949937699,136.59547300605692,168.13029083125605,
twopoint_lockin_stream_20260817_120100.csv,stream,1041.6666666666667,121.17054152311692,204.09611703911082,169.3128845914925,173.99727056436683,157.19394333227132,148.14554269775203,150.8539735206212,
twopoint_lockin_stream_20260817_121002.csv,stream,1041.6666666666667,60.34996230627575,87.67421236978272,78.51027942666833,78.21445248697273,94.83309420862706,79.55581469931708,78.36486711912058,
