mode,run,fs_hz,strongest_line_hz,line_excess,mains_alias_hz,mains_is_aliased
averaged,20260814_144602,87.7879643233991,,,27.787964323399095,True
averaged,20260814_144655,88.78186740866198,,,28.78186740866198,True
averaged,20260814_145010,87.87128386327075,,,27.871283863270747,True
averaged,20260814_145321,86.77293760224404,,,26.772937602244042,True
stream,20260814_145442,1041.6666666666667,61.65394585253458,10.19989438192273,60.0,False
burst,20260814_150458,4166.666666666667,58.45023380093521,3.0363804288168654,60.0,False
