band,stream_nt_rthz,burst_nt_rthz,ratio
10-30 Hz,234.81194959146612,38.59941853935041,6.083302766648821
30-60 Hz,234.08822299637654,44.07896690292125,5.310655839823296
60-100 Hz,240.80147550336275,39.765294465828894,6.055568775186318
100-200 Hz,231.14205923266937,38.74959770728468,5.965018294608414
200-350 Hz,242.38418687333277,38.7797416716697,6.250278532680507
350-500 Hz,250.183392980355,39.70204769408428,6.301523662156928
