session,run,n_samples,readout_quantum_D,fpga_readout_ms,call_p05_ms,call_median_ms,period_ms,rate_hz,fpga_share,sigma_khz,loop_bound
2026-08-04/06,20260804_140655,985,654340,4.260026041666666,9.52796717174348,10.302125010639399,10.617030233171262,94.18829729575936,0.40124459930017686,1239.9166254670647,True
2026-08-04/06,20260804_144224,1464,654340,4.260026041666666,9.353191999252875,10.1986660156399,10.481215111749922,95.40878508246188,0.4064439090550658,82.39442906170791,True
2026-08-04/06,20260804_152812,946,706560,4.6,9.288156055845276,10.46737498836585,10.842835008432823,92.22680223597128,0.42424329028546787,78.37769403258751,True
2026-08-04/06,20260804_150935,654,1504982,9.798059895833335,9.94331864058033,15.854458033572847,15.435804843091065,64.78444176803593,0.6347618407613428,176.54143471197943,True
2026-08-04/06,20260804_152956,1721,1504982,9.798059895833335,9.6134160412475,10.6268329545855,10.934650072683093,91.45240070353935,0.8960560997110293,209.5852697819608,True
2026-08-04/06,20260806_135417,944,1504982,9.798059895833335,10.172474983846696,11.3028499908978,11.265677200419328,88.76519202616406,0.8697266681375031,251.63977015781998,True
2026-08-04/06,20260806_135834,1060,1504982,9.798059895833335,10.241059985128155,11.324700011755302,11.481344664778373,87.09781207664,0.8533895795229547,73.3964430040767,True
2026-08-04/06,20260806_140214,921,1504982,9.798059895833335,9.9495000031311,10.9667000069748,11.286417717391211,88.60207242366216,0.868128412502005,94.33163897297503,True
2026-08-04/06,20260806_142215,1959,1504982,9.798059895833335,10.234209991176579,11.3852999929804,11.356895377940514,88.05223317830215,0.8627410546428876,100.92578685307203,True
2026-08-04/06,20260806_143117,2524,1504982,9.798059895833335,10.2926649968139,11.40264999412465,11.438934086407437,87.42073277511685,0.8565535758682352,102.55066041127837,True
2026-08-04/06,20260806_143229,1576,1504982,9.798059895833335,10.247425008856151,11.3912000088021,11.3980145714364,87.73457813486354,0.8596286515010626,93.88285104151583,True
2026-08-04/06,20260806_143310,1475,1504982,9.798059895833335,10.190070001408381,11.3447000039741,11.429218860246191,87.49504338203386,0.8572816756457037,109.78247138323133,True
2026-08-04/06,20260806_144106,1735,1504982,9.798059895833335,10.2598099882015,11.3820999977178,11.510738985000163,86.87539534195996,0.8512103270347239,85.15687438826792,True
2026-08-04/06,20260806_144552,1541,1504982,9.798059895833335,10.2212000056169,11.3939000002574,11.389906590911425,87.7970325760134,0.8602405838562097,95.92987276484112,True
2026-08-04/06,20260806_144625,2388,1504982,9.798059895833335,10.10513500368683,11.3708499993663,11.441431776281492,87.4016486357098,0.8563665883272645,80.76679928056531,True
2026-08-04/06,20260806_144936,2357,1504982,9.798059895833335,10.21842001355248,11.3694999890867,11.539083849750126,86.66199266951809,0.8491193948682076,95.02818992024176,True
2026-08-04/06,20260806_145344,1885,1504982,9.798059895833335,10.27085999958214,11.363700003130301,11.463884713370494,87.23046550125244,0.8546893257226947,90.85771395074835,True
2026-08-14,20260814_144655,998,368640,2.4,10.24833999399553,11.28400000015965,11.263561233703395,88.78186740866198,0.21307648178078875,98.12590090910959,True
2026-08-14,20260814_145010,2637,368640,2.4,10.14363999711344,11.344099999405401,11.380282113050919,87.87128386327075,0.2108910812718498,92.05313744788067,True
2026-08-14,20260814_145321,2604,368640,2.4,10.30193999249603,11.40789999772095,11.524330368805435,86.77293760224403,0.20825505024538568,54.61200249849805,True
2026-08-14,20260814_144602,1780,847872,5.52,10.265959997923314,11.383750003005801,11.391083136591869,87.7879643233991,0.48458956306516293,56.41210042731515,True
