file,window,distance_cm,t_start_s,t_end_s,n,shift_mean_kHz,shift_std_kHz,B_mean_nT,B_std_nT,shift_vs_start_kHz,B_vs_start_nT,follows_schedule
twopoint_lockin_stream_20260817_115412.csv,far (start),,0.0,5.0,5208,-4.735562926662785,86.79316331108163,-168.98240531911165,3097.101174389153,0.0,0.0,False
twopoint_lockin_stream_20260817_115412.csv,50 cm,50.0,5.0,10.0,5209,-15.487091632670914,86.75684475569963,-552.6367268295359,3095.805193965873,-10.751528706008129,-383.6543215104242,False
twopoint_lockin_stream_20260817_115412.csv,30 cm,30.0,15.0,20.0,5208,107.58926344767629,136.52829657791577,3839.182966303036,4871.834733725227,112.32482637433907,4008.165371622147,False
twopoint_lockin_stream_20260817_115412.csv,15 cm,15.0,25.0,30.0,5208,-56.85641867540306,86.5532309508884,-2028.8473692336236,3088.5395001030693,-52.120855748740276,-1859.8649639145117,False
twopoint_lockin_stream_20260817_115926.csv,far (start),,0.0,5.0,5208,-2.669161335798751,101.59177716070197,-95.24555152008104,3625.1704667678405,0.0,0.0,True
twopoint_lockin_stream_20260817_115926.csv,50 cm,50.0,5.0,10.0,5209,-23.717510261948966,61.7154279341688,-846.3285134866175,2202.234796394833,-21.048348926150215,-751.0829619665363,True
twopoint_lockin_stream_20260817_115926.csv,30 cm,30.0,15.0,20.0,5208,-33.639127582857064,63.10575949288249,-1200.3685263651535,2251.846970199918,-30.969966247058313,-1105.1229748450726,True
twopoint_lockin_stream_20260817_115926.csv,15 cm,15.0,25.0,30.0,5208,-194.50138719328712,173.73322241782094,-6940.529089112443,6199.444134235688,-191.83222585748837,-6845.283537592362,True
twopoint_lockin_stream_20260817_120100.csv,far (start),,0.0,5.0,5208,-39.620010299489834,102.95584049527744,-1413.788549082566,3673.845293151493,0.0,0.0,True
twopoint_lockin_stream_20260817_120100.csv,50 cm,50.0,5.0,10.0,5209,-75.12427898647982,117.36762880705352,-2680.7122104795826,4188.111219206877,-35.50426868698999,-1266.9236613970163,True
twopoint_lockin_stream_20260817_120100.csv,30 cm,30.0,15.0,20.0,5208,-161.70296578177192,142.80471348569563,-5770.160069289605,5095.800509766472,-122.08295548228209,-4356.37152020704,True
twopoint_lockin_stream_20260817_120100.csv,15 cm,15.0,25.0,30.0,5208,-286.2778161670392,281.24725826460394,-10215.4516188638,10035.942701420352,-246.65780586754937,-8801.663069781236,True
twopoint_lockin_stream_20260817_121002.csv,far (start),,0.0,5.0,5208,2.595276497381779,56.138307080980134,92.6090671346624,2003.2224907572127,0.0,0.0,True
twopoint_lockin_stream_20260817_121002.csv,50 cm,50.0,5.0,10.0,5209,-10.94824413306369,56.58205280614641,-390.6738557330749,2019.0569799509851,-13.54352063044547,-483.2829228677373,True
twopoint_lockin_stream_20260817_121002.csv,30 cm,30.0,15.0,20.0,5208,-51.411020885944986,58.780340607641534,-1834.535429843883,2097.500021682898,-54.00629738332677,-1927.144496978546,True
twopoint_lockin_stream_20260817_121002.csv,15 cm,15.0,25.0,30.0,5208,-189.82977243256195,137.50463059692999,-6773.828590942119,4906.67394365294,-192.42504892994373,-6866.437658076781,True
