save_id,timestamp_epoch_s,n_channels,n_solve_channels,selected_blocks,solver,rank,condition_number,residual_norm_uT,solve_residual_norm_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,status
000000,0.0063935999933164,8,8,all,weighted_lstsq,3,5.707383440718379,32.739658263395114,32.739658263395114,-6.423620466350828,-5.700487726530507,-12.490019269809979,ok
000001,0.1064844999928027,8,8,all,weighted_lstsq,3,5.707383440718379,21.084958593923858,21.084958593923858,-9.079988002172144,-8.241083787575844,-6.3481870080856755,ok
000002,0.2086308999860193,8,8,all,weighted_lstsq,3,5.707383440718379,19.648508661774763,19.648508661774763,-7.710048092631278,-0.24422008211522356,-6.976033648380123,ok
000003,0.3173849499871721,8,8,all,weighted_lstsq,3,5.707383440718379,42.33972787533027,42.33972787533027,-1.2860176740399873,-16.125607798024603,-2.5821340456041546,ok
000004,0.4221379499940667,8,8,all,weighted_lstsq,3,5.707383440718379,24.32565488951692,24.32565488951692,-10.625215722639426,-4.629054548337936,-8.124142496861635,ok
000005,0.5274666499899467,8,8,all,weighted_lstsq,3,5.707383440718379,19.763879547525715,19.763879547525715,-8.789375959105804,-3.4022162516441807,-9.258813429357959,ok
000006,0.633282649985631,8,8,all,weighted_lstsq,3,5.707383440718379,15.173989520552915,15.173989520552915,-6.564225960601447,-6.743151350410226,-4.452504709318716,ok
000007,0.7508483499987051,8,8,all,weighted_lstsq,3,5.707383440718379,35.60427037835747,35.60427037835747,-5.57387878152611,-9.865717090195206,-4.2632038398538405,ok
000008,0.8549143499840284,8,8,all,weighted_lstsq,3,5.707383440718379,17.089439491135646,17.089439491135646,-3.604721337219038,-1.10627562888776,-10.247799721999117,ok
000009,0.9659755999891786,8,8,all,weighted_lstsq,3,5.707383440718379,33.460311691153805,33.460311691153805,-4.645692809738006,-19.424372936659523,-3.5534183032494813,ok
000010,1.0815141499915626,8,8,all,weighted_lstsq,3,5.707383440718379,28.257209692441272,28.257209692441272,-6.972216546119375,-12.631009470453813,-14.575255272399216,ok
000011,1.196636699984083,8,8,all,weighted_lstsq,3,5.707383440718379,35.208594664861,35.208594664861,-4.011757450289009,-16.363690157724772,-8.854686866590903,ok
000012,1.3127482999843778,8,8,all,weighted_lstsq,3,5.707383440718379,23.831908585982717,23.831908585982717,-5.113720593487373,2.1395469977093664,-8.951247486685599,ok
000013,1.4306644999887794,8,8,all,weighted_lstsq,3,5.707383440718379,25.55554858636112,25.55554858636112,-3.218676668827068,-6.07465666657121,-9.985256427612406,ok
000014,1.5492020999809029,8,8,all,weighted_lstsq,3,5.707383440718379,11.906965021439198,11.906965021439198,-0.09953822800965709,1.1821927522631783,-0.7983256096799136,ok
000015,1.6704073999862885,8,8,all,weighted_lstsq,3,5.707383440718379,22.16856348821315,22.16856348821315,-2.444069092011513,-4.989370709496682,-6.215873328257338,ok
000016,1.791064999983064,8,8,all,weighted_lstsq,3,5.707383440718379,25.212618602621717,25.212618602621717,-1.9188825027556342,-7.745675066224789,-7.129471982244949,ok
