block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2765.9888212394303,11.217105667639688,2760.3802684056104,-0.0017022132346275656
1,1,1,0,2765.9888212394303,11.217105667639688,2771.59737407325,0.0013670750556803231
2,0,2,1,2801.6854579809747,11.02302013043455,2796.1739479157573,-0.0009025453496892692
2,1,3,1,2801.6854579809747,11.02302013043455,2807.196968046192,0.0007594926326674443
3,0,4,2,2842.345914009533,17.73332076696943,2833.479253626048,-8.581958924205272e-05
3,1,5,2,2842.345914009533,17.73332076696943,2851.212574393018,0.0001937544749094938
4,0,6,3,2872.5978574652568,6.203252847606503,2869.4962310414535,-0.0018589367974795724
4,1,7,3,2872.5978574652568,6.203252847606503,2875.69948388906,0.002317270771596603
5,0,8,4,2880.926585226144,5.085282233621146,2878.3839441093337,-0.004177610632942166
5,1,9,4,2880.926585226144,5.085282233621146,2883.4692263429547,0.0019259639581046717
6,0,10,5,2911.4915444586795,14.381167963108686,2904.300960477125,-0.0003285942101986804
6,1,11,5,2911.4915444586795,14.381167963108686,2918.682128440234,0.00024052147973419548
7,0,12,6,2946.1458922810543,12.719132216788203,2939.78632617266,-0.0005858975170497828
7,1,13,6,2946.1458922810543,12.719132216788203,2952.5054583894484,0.0006265041499836938
8,0,14,7,2976.6671456089953,10.837044860995844,2971.2486231784974,-0.001618287559872699
8,1,15,7,2976.6671456089953,10.837044860995844,2982.085668039493,0.0014179061164833462
