block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2745.785735961817,8.494376836016777,2742.390793119486,-6.136411091310056
1,1,1,0,2745.785735961817,8.494376836016777,2748.999981307984,4.5256337387527505
2,0,2,1,2801.5536654742014,7.640082373612672,2797.999962615967,-28.111346897138844
2,1,3,1,2801.5536654742014,7.640082373612672,2804.9248277361075,21.33662912660703
3,0,4,2,2835.832871501967,8.20226894285406,2832.5288360067116,-13.26872474071218
3,1,5,2,2835.832871501967,8.20226894285406,2838.999946975709,14.365862793608846
4,0,6,3,2870.0030445353555,7.433692062885229,2866.999936294556,-16.473409515610733
4,1,7,3,2870.0030445353555,7.433692062885229,2872.958946500561,13.307459832791315
5,0,8,4,2889.1623577722494,7.992551112907345,2885.999929046631,-14.785547313140508
5,1,9,4,2889.1623577722494,7.992551112907345,2891.781438954193,11.720877076745877
6,0,10,5,2921.5434328490273,7.481786134886463,2917.9999168396,-17.204647584719787
6,1,11,5,2921.5434328490273,7.481786134886463,2924.9754193583835,13.969682716841595
7,0,12,6,2952.0882167260866,6.8407606770848925,2948.999905014038,-24.61215421454963
7,1,13,6,2952.0882167260866,6.8407606770848925,2954.9695508390073,22.356317645056162
8,0,14,7,2998.1267863489625,9.015249018093469,2994.999887466431,-5.036403302226986
8,1,15,7,2998.1267863489625,9.015249018093469,3000.9864204533424,4.520266907720105
