block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2767.540778415089,7.752703547579131,2763.9999378204348,-0.0022422978696568954
1,1,1,0,2767.540778415089,7.752703547579131,2770.864852882581,0.002162777299373128
2,0,2,1,2805.6395461245293,7.9813798998475205,2801.6488561746055,-0.001028272279082784
2,1,3,1,2805.6395461245293,7.9813798998475205,2809.630236074453,0.0007925950813171507
3,0,4,2,2835.237421812285,11.88986846767404,2829.292487578448,-0.0005298063402499502
3,1,5,2,2835.237421812285,11.88986846767404,2841.182356046122,0.000483395752364339
4,0,6,3,2869.741522843693,7.6269939804444435,2866.5992287461468,-0.002161576637855153
4,1,7,3,2869.741522843693,7.6269939804444435,2872.999896240234,0.0023579395774652795
5,0,8,4,2884.0946347311283,9.326559356531755,2880.999893188477,-0.0023628025002104714
5,1,9,4,2884.0946347311283,9.326559356531755,2886.7212408383593,0.0022408138397854212
6,0,10,5,2918.0095939599482,8.71561297210641,2913.651787473895,-0.0007986040142161873
6,1,11,5,2918.0095939599482,8.71561297210641,2922.3674004460013,0.00045737736234117054
7,0,12,6,2942.923376827699,9.3490034962981,2938.24887507955,-0.0012109489774243583
7,1,13,6,2942.923376827699,9.3490034962981,2947.597878575848,0.0007610959415020397
8,0,14,7,2975.56898728662,8.276463767612546,2971.9998584747314,-0.002302199968384791
8,1,15,7,2975.56898728662,8.276463767612546,2978.9575951698635,0.0018172080612338024
