block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2719.2226182902996,13.809101235157899,2715.9999938964847,-0.007146936370901127
1,1,1,0,2719.2226182902996,13.809101235157899,2722.17021318931,0.007458122222641878
2,0,2,1,2774.47043760001,8.502591211160203,2770.99997291565,-0.050275410612385246
2,1,3,1,2774.47043760001,8.502591211160203,2777.833031518485,0.044167107068738144
3,0,4,2,2819.861955189304,11.936343718137364,2816.693094305314,-0.011857866952636348
3,1,5,2,2819.861955189304,11.936343718137364,2822.9999530792243,0.017734302643267155
4,0,6,3,2869.745289172296,9.278366763331645,2866.234501663047,-0.04445328883386077
4,1,7,3,2869.745289172296,9.278366763331645,2872.999934005738,0.02930194151573861
5,0,8,4,2902.0406383757518,9.421513028656753,2898.999924087525,-0.0372856960296068
5,1,9,4,2902.0406383757518,9.421513028656753,2904.6959412576675,0.034151277154825396
6,0,10,5,2948.8766572934996,12.579863931457966,2945.468339888683,-0.017169967918953925
6,1,11,5,2948.8766572934996,12.579863931457966,2951.999903869629,0.017895902170229672
7,0,12,6,2986.499227549703,9.107238034594735,2982.999892044068,-0.046967032263079043
7,1,13,6,2986.499227549703,9.107238034594735,2989.430587035903,0.040144584445073746
8,0,14,7,3029.471536790839,9.379550906742873,3025.9998756408695,-0.0059109632080704385
8,1,15,7,3029.471536790839,9.379550906742873,3031.8884981673054,0.008042384325968304
