save_id,timestamp_epoch_s,n_channels,rank,condition_number,residual_norm_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,status
000000,0.0089829373173415,8,3,1.4603034400346002,35.51194589130787,2.394764856451015,1.3861888465280785,11.254921076156256,ok
000001,0.0744753750041127,8,3,1.4603034400346002,35.51194589130787,2.394764856451015,1.3861888465280785,11.254921076156256,ok
000002,0.1419599163345992,8,3,1.4603034400346002,35.51194589130787,2.394764856451015,1.3861888465280785,11.254921076156256,ok
000003,0.2082511042244732,8,3,1.4603034400346002,35.51194589130787,2.394764856451015,1.3861888465280785,11.254921076156256,ok
000004,0.2759849787689745,8,3,1.4603034400346002,28.48340414740232,-5.191962026846007,2.6804053509291568,5.498821049768838,ok
000005,0.3425453542731702,8,3,1.4603034400346002,12.869068334085114,-4.587595691131418,3.066837375529872,5.945631067703629,ok
000006,0.410962937399745,8,3,1.4603034400346002,16.00380240254076,-2.6278991373427374,3.284765687299983,4.613594158053466,ok
000007,0.4827712085098028,8,3,1.4603034400346002,16.4884554772717,-2.627904677366558,3.284648725422189,4.613719581910054,ok
000008,0.5510546248406172,8,3,1.4603034400346002,13.43066583961357,-2.0661733343153115,3.375850935499423,5.143980343837334,ok
000009,0.617819728795439,8,3,1.4603034400346002,12.985180264174554,0.031695710527759664,1.9875306861420958,2.7539532281306442,ok
000010,0.6859830832108855,8,3,1.4603034400346002,11.817653820987339,-0.7714535773088494,1.2863268857088248,4.247679479316436,ok
000011,0.7593159163370728,8,3,1.4603034400346002,16.1314173473001,-0.7714092598338664,1.2872625233992745,4.246676149943493,ok
000012,0.83841802040115,8,3,1.4603034400346002,12.237979797269727,0.706844966538922,2.056515599046918,3.9691555082890004,ok
000013,0.9055826663970948,8,3,1.4603034400346002,23.428420359543665,2.035076224099324,1.7271960429890882,2.99589216054083,ok
000014,0.9778458327054976,8,3,1.4603034400346002,24.03183802677459,0.3403617761677418,1.9340024250092673,4.779041581146009,ok
000015,1.0457291034981608,8,3,1.4603034400346002,19.349784802762734,1.161970110088046,2.6700443698861607,5.142849564035354,ok
000016,1.1122556035406888,8,3,1.4603034400346002,27.19441803905848,0.9632462724297243,2.85711015563739,5.432878563924685,ok
000017,1.1793885412625968,8,3,1.4603034400346002,42.029113585624394,0.5218911748511698,2.7862839142220865,5.50884392775033,ok
000018,1.2470994791947303,8,3,1.4603034400346002,42.80913630245169,-0.9432562642025617,2.6684212685306314,5.6230258389374,ok
000019,1.3149235625751317,8,3,1.4603034400346002,33.754442856673776,-0.2519669781854898,3.09404015882726,3.7926069108278697,ok
000020,1.3891129372641444,8,3,1.4603034400346002,41.83479377797749,-1.7793501923053856,2.6200001410129996,3.832935772003314,ok
000021,1.4638470625504851,8,3,1.4603034400346002,37.54496371787399,0.1667001224559526,1.928981219778956,6.8577429401401355,ok
000022,1.5667626871727407,8,3,1.4603034400346002,55.39631744020103,-2.6708159864410934,3.4478424903426887,6.704802360117856,ok
000023,1.641145166940987,8,3,1.4603034400346002,49.845902299401295,-1.3827278963859126,2.6976047735688233,7.578525319367856,ok
000024,1.7126989788375797,8,3,1.4603034400346002,52.71664031149862,-3.676908143906605,2.16134232289444,4.542177562926905,ok
000025,1.7838196037337184,8,3,1.4603034400346002,40.069625691034425,-3.376765131386719,3.5800261189899873,8.063645231979804,ok
000026,1.8551746872253716,8,3,1.4603034400346002,37.48079184044943,-2.3114314728663032,2.8296966130183874,6.679491822740164,ok
000027,1.9326446247287097,8,3,1.4603034400346002,41.10687503780911,-1.5726511371937095,3.2700661582809043,8.55760881700961,ok
000028,2.0093048536218703,8,3,1.4603034400346002,19.51397516490372,0.2796328509223959,0.6549210146673716,5.757416390047912,ok
000029,2.084132520947606,8,3,1.4603034400346002,15.179435425328496,-0.8535682883901072,3.076125313982059,5.939284627734331,ok
000030,2.157878645695746,8,3,1.4603034400346002,28.602292677347045,-2.672362753511822,4.226465850983263,6.904889803425861,ok
000031,2.2308030417189,8,3,1.4603034400346002,14.169704503977892,-3.0892565805606074,3.5493059405164176,6.436473540877593,ok
000032,2.30443716654554,8,3,1.4603034400346002,17.549927306896798,-2.759107351219702,3.4748668608994895,6.201394273920796,ok
000033,2.3863052702508867,8,3,1.4603034400346002,13.86344181081834,-1.8583888685981405,2.977243194329398,6.5774196839709465,ok
000034,2.4648269792087376,8,3,1.4603034400346002,15.679068466915403,-2.3311244383823606,2.965804182265299,5.869990035919781,ok
000035,2.542971562128514,8,3,1.4603034400346002,14.718579781543546,-2.586749431997134,3.227363674751842,5.9115842999851385,ok
000036,2.6202605832368135,8,3,1.4603034400346002,16.832015244123717,-3.2144543438654,3.4138103050552266,7.32767901464485,ok
000037,2.6939087081700563,8,3,1.4603034400346002,18.46036059479573,-3.173099312227365,2.5934745272820385,5.988584741370324,ok
000038,2.768414208199829,8,3,1.4603034400346002,14.10964498790732,-2.347735581526482,3.58776182358087,7.302326358096497,ok
000039,2.87519839592278,8,3,1.4603034400346002,15.688635789677427,-2.2355014949197023,2.1348902027996575,6.3102987847409375,ok
000040,2.9524656455032527,8,3,1.4603034400346002,13.127958123140656,-0.7790136006946438,3.9486663768195713,5.118310362133168,ok
000041,3.027132249902934,8,3,1.4603034400346002,19.07645431598412,-3.0437176998119644,3.805000672918928,6.450854892749497,ok
000042,3.1033699163235724,8,3,1.4603034400346002,8.005380244794189,-2.5720840594243803,3.82301262052645,7.339443276204896,ok
