block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2767.787617305167,10.736798058070262,2762.4192182761317,-0.0017204187035434286
1,1,1,0,2767.787617305167,10.736798058070262,2773.156016334202,0.0015627224195452832
2,0,2,1,2804.977355269891,10.51599511971621,2799.719357710033,-0.0008368696781900932
2,1,3,1,2804.977355269891,10.51599511971621,2810.2353528297494,0.0007543552550936567
3,0,4,2,2840.939901771471,15.014437662034023,2833.432682940454,-0.0003257564824801108
3,1,5,2,2840.939901771471,15.014437662034023,2848.4471206024878,0.0004248190179870279
4,0,6,3,2872.4483720118988,6.297365015331627,2869.299689504233,-0.001811226246090906
4,1,7,3,2872.4483720118988,6.297365015331627,2875.5970545195646,0.0020829307451108075
5,0,8,4,2880.7121109745503,5.584084447843458,2877.9200687506286,-0.004017686594434505
5,1,9,4,2880.7121109745503,5.584084447843458,2883.504153198472,0.0018861286669873162
6,0,10,5,2912.741519463869,13.36390036875949,2906.059569279489,-0.00039690169139700867
6,1,11,5,2912.741519463869,13.36390036875949,2919.4234696482486,0.0004033347627258831
7,0,12,6,2943.2941817606684,11.600264897417123,2937.4940493119598,-0.0008023815448920085
7,1,13,6,2943.2941817606684,11.600264897417123,2949.094314209377,0.0006570489196124841
8,0,14,7,2974.486321487183,9.742476271474379,2969.6150833514457,-0.0018911088936669834
8,1,15,7,2974.486321487183,9.742476271474379,2979.3575596229202,0.0015123809742767728
