save_id,timestamp_epoch_s,n_channels,rank,condition_number,residual_norm_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,status
000000,1778436713.796067,8,3,18.592733017598555,62.243729704479186,-10.705794061171797,0.7519597261959104,-9.304956684585715,ok
000001,1778436713.855358,8,3,18.592733017598555,62.58562670245219,-10.14922310477899,0.5853130647249191,-9.516227874434943,ok
000002,1778436713.923973,8,3,18.592733017598555,72.05787871499429,-43.33108533090411,-1.3463931903632265,-4.79028644747335,ok
000003,1778436713.983399,8,3,18.592733017598555,74.21727661206972,-44.877506271758364,-0.8833688732260018,-4.203273797191508,ok
000004,1778436714.089283,8,3,18.592733017598555,47.14958207015426,-29.800041614724282,-1.251529146141219,-7.437286342684817,ok
000005,1778436714.158092,8,3,18.592733017598555,72.78463006880452,-39.211036281274666,-1.754074912362125,-4.248256212292214,ok
000006,1778436714.223277,8,3,18.592733017598555,77.97047172535974,-42.88221760798504,-0.654861766717584,-2.8546965266176256,ok
000007,1778436714.292471,8,3,18.592733017598555,31.858102767530866,-6.2540215116027085,-1.471449503361362,-5.0921698642474915,ok
000008,1778436714.358811,8,3,18.592733017598555,31.926034244823605,-5.516458055686994,-1.6922883490459604,-5.37214478412212,ok
000009,1778436714.4280498,8,3,18.592733017598555,54.47703083350211,-14.694183955272308,-1.4985492461181071,-9.163138828338187,ok
000010,1778436714.50453,8,3,18.592733017598555,58.46998669351213,-19.30135085043186,-0.11908635266423204,-7.414284310159976,ok
000011,1778436714.574785,8,3,18.592733017598555,75.21951101506211,-13.112541604387726,0.7959416231246776,-0.2803246563043346,ok
000012,1778436714.647886,8,3,18.592733017598555,356.585842181861,218.89190905680928,24.434234253722064,28.40927349637703,ok
000013,1778436714.717153,8,3,18.592733017598555,41.30081343735321,35.30171417998337,4.912916350568444,1.8951989257539812,ok
000014,1778436714.774816,8,3,18.592733017598555,37.407460769426784,32.35392428293962,5.795533992430373,3.0141633126315948,ok
000015,1778436714.8441432,8,3,18.592733017598555,51.83831535206772,25.16055051155419,7.517919013572544,7.949441643991489,ok
000016,1778436714.920245,8,3,18.592733017598555,53.06878927861084,21.335636944923674,8.663162165362554,9.40135721919473,ok
000017,1778436714.9959822,8,3,18.592733017598555,30.08256770500935,-9.116441324829966,-1.0596420904532171,-1.936218913121774,ok
000018,1778436715.065245,8,3,18.592733017598555,37.16846902514755,-14.81923068430426,-2.1287542580649106,-1.6688071499854729,ok
000019,1778436715.132027,8,3,18.592733017598555,37.22273657763801,-14.660404742278182,-2.1763094038906496,-1.7290965800488907,ok
000020,1778436715.201194,8,3,18.592733017598555,67.5922424747225,-15.498423668546652,-1.6831316475701346,-5.033800668145841,ok
