block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2629.9999888433335,3.999999542073089,2627.9999897003177,-0.0010620897582854782
1,1,1,0,2629.9999888433335,3.999999542073089,2630.999988555908,0.0009461217121089494
2,0,2,1,2768.970665193081,10.963413812977727,2764.999937438965,-0.002327520028574115
2,1,3,1,2768.970665193081,10.963413812977727,2771.9999347686767,0.0021743976048478886
3,0,4,2,2806.999915230097,4.0000046013395,2803.9999225616457,-0.0008129253783482615
3,1,5,2,2806.999915230097,4.0000046013395,2808.999920654297,0.0010059003410081147
4,0,6,3,2840.9999122460245,4.000001830247266,2839.9999088287354,-0.0007249824536881277
4,1,7,3,2840.9999122460245,4.000001830247266,2843.9999073028566,0.0007509995409630266
5,0,8,4,2879.5528239684204,2.1523423554879106,2877.999894332886,-0.0048566198893049695
5,1,9,4,2879.5528239684204,2.1523423554879106,2880.9998931884766,0.0018059571876414826
6,0,10,5,2880.325349074661,3.9252297136211465,2877.999894332886,-0.0048566198893049695
6,1,11,5,2880.325349074661,3.9252297136211465,2881.9998928070067,0.0024216895347389245
7,0,12,6,2939.9998775377153,4.0000037321405015,2937.9998714447024,-0.0011191661570762457
7,1,13,6,2939.9998775377153,4.0000037321405015,2942.999869537354,0.0008568327582980095
8,0,14,7,2973.236005634295,10.153467213919766,2968.999859619141,-0.002007262979369595
8,1,15,7,2973.236005634295,10.153467213919766,2975.9998569488525,0.0022033250254222536
