batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_02,peak_02_ref,peak_02_freq_mhz,peak_03,peak_03_ref,peak_03_freq_mhz,peak_04,peak_04_ref,peak_04_freq_mhz,peak_05,peak_05_ref,peak_05_freq_mhz,peak_06,peak_06_ref,peak_06_freq_mhz,peak_07,peak_07_ref,peak_07_freq_mhz,peak_08,peak_08_ref,peak_08_freq_mhz,peak_09,peak_09_ref,peak_09_freq_mhz,peak_10,peak_10_ref,peak_10_freq_mhz,peak_11,peak_11_ref,peak_11_freq_mhz,peak_12,peak_12_ref,peak_12_freq_mhz,peak_13,peak_13_ref,peak_13_freq_mhz,peak_14,peak_14_ref,peak_14_freq_mhz,peak_15,peak_15_ref,peak_15_freq_mhz,peak_16,peak_16_ref,peak_16_freq_mhz,delta_f_mhz_b01,f_new_mhz_b01,delta_B_proj_uT_b01,delta_f_mhz_b02,f_new_mhz_b02,delta_B_proj_uT_b02,delta_f_mhz_b03,f_new_mhz_b03,delta_B_proj_uT_b03,delta_f_mhz_b04,f_new_mhz_b04,delta_B_proj_uT_b04,delta_f_mhz_b05,f_new_mhz_b05,delta_B_proj_uT_b05,delta_f_mhz_b06,f_new_mhz_b06,delta_B_proj_uT_b06,delta_f_mhz_b07,f_new_mhz_b07,delta_B_proj_uT_b07,delta_f_mhz_b08,f_new_mhz_b08,delta_B_proj_uT_b08,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_B_total_uT,B_residual_uT
0,0.006256645428948104,1778271524.246697,0.01195404096506536,6632.675677782194,6640.210648898125,2628.999989318848,6646.1425589143255,6649.950229238622,2631.9999881744384,6619.6524360424255,6627.017978421005,2762.9999382019046,6597.427811229636,6615.627614084422,2769.9999355316163,6612.838347036709,6622.683991502889,2800.9999237060547,6618.000548644433,6625.73562826665,2806.9999214172362,6621.231792340373,6626.645821744048,2837.999909591675,6623.918993183974,6628.889039337349,2842.9999076843264,6593.666975884097,6606.778052694319,2877.999894332886,6577.676794938411,6597.078621206101,2881.9998928070067,6586.64628786258,6605.6885823883595,2877.999894332886,6579.031213130787,6599.286820307486,2881.9998928070067,6601.746738698535,6615.178286517713,2940.999870300293,6617.913141486078,6626.31861876089,2946.9998680114745,6586.605458935721,6603.090673044595,2971.9998584747314,6604.946546138092,6618.476558058503,2978.9998558044435,-0.16665674378833156,2768.060924044893,-5.934045198688337,-0.24151509034283258,2767.9860656983383,-8.599480763166143,-0.3809330764931608,2778.5152507506923,-13.551857333801713,-0.6668226890227955,2863.7569758360905,-24.09326634698575,-0.44794091463278,2881.564141418869,-19.829442722406725,-0.5613210212784251,2881.4507613122237,-24.84855184404903,0.029075403592709298,2967.424044429651,1.0343197210510189,0.3385546763714138,2976.4012742379123,12.05446259522524,12.945622664578256,4.010561083249754,23.364549356349016,27.010662950053426,43.735259965501726
1,0.18232920789159834,1778271524.422818,0.012053416110575199,6630.679927866248,6637.677175474525,2628.999989318848,6643.8754118653915,6648.676189748448,2631.9999881744384,6621.591678638017,6627.439059204696,2762.9999382019046,6598.957743680655,6613.789451966868,2769.9999355316163,6609.842241036769,6622.586433658343,2800.9999237060547,6617.681439312895,6627.335062811382,2806.9999214172362,6621.554870556592,6625.86793868631,2837.999909591675,6624.402138032216,6628.659255127304,2842.9999076843264,6591.495590977169,6605.594071889231,2877.999894332886,6577.349786043953,6597.05966317205,2881.9998928070067,6587.913220955466,6608.499909832809,2877.999894332886,6581.346504875141,6600.113095638354,2881.9998928070067,6601.5205734022065,6614.758993795274,2940.999870300293,6618.579796436103,6626.177760797138,2946.9998680114745,6583.650684659352,6602.956560809364,2971.9998584747314,6603.336490203869,6617.985292050005,2978.9998558044435,-0.0551632496663257,2768.172417539015,-1.9641642419358538,-0.30455985773598643,2767.9230209309453,-10.844277407740694,-0.4554885155861366,2778.440695311599,-16.204199008481915,-0.627628040929772,2863.7961704841837,-22.677107131909448,-0.46313010110960523,2881.5489522323924,-20.501837436537887,-0.6288426676895515,2881.383239665812,-27.837599230197426,-0.018002459457225627,2967.376966566601,-0.6404141144475448,0.2776865451404073,2976.3404061066813,9.887212628308575,15.109429382173824,3.7552626409942795,23.226585134681137,27.961958278638782,44.138156622325916
2,0.37048070796299726,1778271524.611122,0.01235941587947309,6631.832800990311,6637.680812727328,2628.999989318848,6645.652588868174,6649.883056209311,2631.9999881744384,6618.274795977626,6626.587323104197,2762.9999382019046,6599.224172448574,6615.682637466761,2769.9999355316163,6611.837000641868,6621.183227374148,2800.9999237060547,6616.7385747470735,6625.15120732341,2806.9999214172362,6620.862498089678,6628.321181648683,2837.999909591675,6624.93524008925,6630.807408992268,2842.9999076843264,6593.587457590855,6606.1853654063625,2877.999894332886,6577.157071247364,6594.875931472935,2881.9998928070067,6587.0890668459815,6606.023171439924,2877.999894332886,6580.3257175168865,6598.9174465874,2881.9998928070067,6600.081008344285,6611.402425344623,2940.999870300293,6615.574199957208,6624.481812207721,2946.9998680114745,6583.486167741542,6600.091333251827,2971.9998584747314,6602.126828560076,6617.020324296238,2978.9998558044435,-0.01288116865626419,2768.214699620025,-0.45865192899293267,-0.3331926797543361,2767.894388108927,-11.863788866807026,-0.291830703912483,2778.6043531232726,-10.382002270458926,-0.782275293271254,2863.6415232318423,-28.264735600210514,-0.4739663900293903,2881.5381159434723,-20.98153813687352,-0.5959976889483121,2881.4160846445534,-26.383618128243377,0.22909279849474107,2967.624061824553,8.149678771554344,0.3827142993359949,2976.4454338608766,13.626795102786904,13.901586829102582,2.2399684033064693,24.9186833851892,28.62188596976436,48.268445409570106
3,0.5321891454514116,1778271524.772532,0.011762458831071854,6631.680918177095,6639.13211633096,2628.999989318848,6645.23448207354,6649.341466210228,2631.9999881744384,6620.532718464407,6628.377313017698,2762.9999382019046,6599.332046031117,6615.258689672037,2769.9999355316163,6611.948652076901,6622.0023321209155,2800.9999237060547,6617.457453311734,6625.784644068833,2806.9999214172362,6621.535894183452,6627.976720053794,2837.999909591675,6624.556588318001,6630.978844331694,2842.9999076843264,6593.8526240180945,6604.392914998319,2877.999894332886,6576.281957392181,6595.126313537306,2881.9998928070067,6585.924410856741,6603.9317678882535,2877.999894332886,6580.674789864596,6598.274207598496,2881.9998928070067,6600.121248892012,6614.532056728916,2940.999870300293,6617.030030259499,6626.079622214752,2946.9998680114745,6584.958847082557,6602.208359568419,2971.9998584747314,6603.145775896322,6618.194013815448,2978.9998558044435,-0.13879013673392912,2768.0887906519474,-4.9418158892945625,-0.33529147903893736,2767.8922893096424,-11.938519534973786,-0.35191872417537234,2778.54426510301,-12.519659324473983,-0.6239626048616873,2863.7998359202516,-22.544669635525466,-0.4030384564424819,2881.6090438770593,-17.841701273270026,-0.5975720820537562,2881.414510251448,-26.45331334224844,0.0032000604363530004,2967.398169086495,0.11383799393604965,0.3653034536384713,2976.428023015179,13.006870455868755,13.804671827221437,0.48746082290899456,22.10516128513841,26.06616077893203,39.84147959664546
4,0.6857146454276517,1778271524.92641,0.012468540808185935,6631.653673930984,6639.683832564112,2628.999989318848,6646.246631720513,6650.632299721858,2631.9999881744384,6619.3223752177755,6626.119219366078,2762.9999382019046,6599.187590549256,6613.413358498639,2769.9999355316163,6610.44966072684,6621.884491243085,2800.9999237060547,6617.637396460556,6626.364772136809,2806.9999214172362,6623.47346639362,6628.357593911422,2837.999909591675,6623.649951095761,6629.078842803434,2842.9999076843264,6593.350780939572,6604.3390622612105,2877.999894332886,6576.063309594401,6596.235697038236,2881.9998928070067,6586.508136442828,6606.480300761073,2877.999894332886,6581.170646758565,6598.89158082954,2881.9998928070067,6601.052495644466,6613.839308310664,2940.999870300293,6616.472978879481,6627.871036464223,2946.9998680114745,6585.930060824647,6603.498450346914,2971.9998584747314,6602.9911559739585,6618.434448451875,2978.9998558044435,-0.1607539193552628,2768.066826869326,-5.723866923333095,-0.35758777719875756,2767.8699930114826,-12.732410247322314,-0.4263875731022719,2778.469796254083,-15.168920516913108,-0.5668242222648028,2863.856974302849,-20.4801773901279,-0.3834495543520835,2881.62863277915,-16.974540004211075,-0.6385434901809922,2881.373538843321,-28.26703511709772,0.30730781093956944,2967.702276836998,10.932076257318652,0.368093828507527,2976.430813390048,13.106223593879431,11.424013131519887,3.4172770057739448,27.232708051718426,29.728878989855296,42.96566584920429
5,0.8448747494257987,1778271525.0859442,0.013215582817792892,6631.319065012074,6639.31488675612,2628.999989318848,6645.166528104654,6650.277120457255,2631.9999881744384,6620.821933551364,6627.495911911239,2762.9999382019046,6600.473365528624,6616.3621802121215,2769.9999355316163,6612.674763884219,6622.808215912216,2800.9999237060547,6618.5732417397685,6626.211666717609,2806.9999214172362,6622.028578414892,6627.154207292845,2837.999909591675,6624.888489164655,6627.8078720542835,2842.9999076843264,6594.130044013817,6606.250007641286,2877.999894332886,6576.6923082801,6596.729937035792,2881.9998928070067,6586.932357795641,6607.536806553168,2877.999894332886,6579.940566066571,6600.254141577772,2881.9998928070067,6601.680279365467,6614.363253048873,2940.999870300293,6616.9319910138465,6626.313864351866,2946.9998680114745,6584.665929027722,6601.074258030993,2971.9998584747314,6603.119482226364,6617.801453372864,2978.9998558044435,-0.10543457620500743,2768.1221462124763,-3.7541447557603664,-0.2968448316262918,2767.930735957055,-10.569573170736433,-0.41010434476455837,2778.486079482421,-14.589637695379565,-0.8447226489621444,2863.5790758761514,-30.52104870726819,-0.4116506483299398,2881.6004316851718,-18.222945674413253,-0.5947947139789416,2881.417287619523,-26.33036484757091,0.16115395837143287,2967.5561229844297,5.732842769921323,0.38223421124645324,2976.4449537727874,13.609701249646786,12.318725995019435,2.8696656181113225,24.758876717795218,27.8026611536939,50.59458874333629
6,0.9967096658656374,1778271525.237057,0.011771999998018146,6631.6278433230445,6638.887896200751,2628.999989318848,6645.033048568022,6648.489386251796,2631.9999881744384,6619.3628862670785,6626.496793715804,2762.9999382019046,6599.148881315525,6614.590890057157,2769.9999355316163,6611.810112479751,6620.088203380506,2800.9999237060547,6618.5293257327985,6627.203279640553,2806.9999214172362,6623.562524070056,6628.33755692759,2837.999909591675,6625.233235015435,6628.6759223033905,2842.9999076843264,6593.704309686096,6604.9970015588215,2877.999894332886,6576.520296787603,6595.094718342147,2881.9998928070067,6585.451881284959,6605.54504386099,2877.999894332886,6580.3749839532975,6600.006039673564,2881.9998928070067,6600.887994009232,6615.823551976037,2940.999870300293,6616.979626799523,6625.200481401107,2946.9998680114745,6583.858197573127,6602.108604089616,2971.9998584747314,6602.251512974905,6618.803242962375,2978.9998558044435,-0.17224651161109256,2768.05533427707,-6.133076657940692,-0.3276431839471516,2767.899937604734,-11.66619134869165,-0.19133615504854948,2778.7048476721366,-6.806865657051076,-0.7563957109351753,2863.6674028141783,-27.329668931909765,-0.4258201378299919,2881.5862621956717,-18.850200455721556,-0.5987467977589437,2881.413335535743,-26.505315642172803,-0.10021916624897875,2967.294749859809,-3.5651666793922665,0.38306742817584916,2976.4457869897165,13.639368488087447,16.30491584610407,-1.9569904398156155,18.874685708366613,25.01867008695075,39.80375566176826
7,1.1484105203999206,1778271525.3888588,0.011975208995863795,6629.736650670905,6638.356806858819,2628.999989318848,6645.476721582052,6648.964967753767,2631.9999881744384,6619.071077727176,6626.888397469205,2762.9999382019046,6599.717292233395,6615.915782315004,2769.9999355316163,6611.956834367455,6621.193481981844,2800.9999237060547,6616.890789192163,6624.782307363144,2806.9999214172362,6622.2281199376475,6627.014237246692,2837.999909591675,6624.4638368432325,6627.352691261423,2842.9999076843264,6591.639438212549,6603.352536907418,2877.999894332886,6576.01927896812,6594.734873307456,2881.9998928070067,6585.425178041996,6604.407256166519,2877.999894332886,6580.2279946205335,6598.606837423969,2881.9998928070067,6599.855098266957,6614.196902222087,2940.999870300293,6617.404415135863,6626.958237307821,2946.9998680114745,6585.21037381178,6602.686441299631,2971.9998584747314,6602.650088638933,6617.444103982639,2978.9998558044435,-0.26927586748631,2767.958304921195,-9.5879418513615,-0.3252031506032698,2767.902377638078,-11.579310567153694,-0.32297969788358694,2778.5732041293018,-11.49014107078027,-0.8134954532526112,2863.610303071861,-29.392765048231634,-0.4320840423145779,2881.579998291187,-19.12749089992568,-0.6019028152986009,2881.410179518203,-26.64502618655308,0.04695742819289803,2967.441926454251,1.670449521874575,0.34825212432352537,2976.4109716858643,12.399746626923653,14.911885718019532,0.46711297041151784,21.53411811760795,26.19734286712094,45.121314340653555
8,1.3002424789592624,1778271525.540407,0.011407957877963781,6630.492662835834,6637.124935049056,2628.999989318848,6644.345664333526,6650.271519393587,2631.9999881744384,6618.164327413882,6626.193789161598,2762.9999382019046,6599.133045511507,6614.5184858024895,2769.9999355316163,6610.784631842774,6620.710508298439,2800.9999237060547,6617.108804291347,6624.694725983434,2806.9999214172362,6619.766537274199,6624.809513402817,2837.999909591675,6622.322636549807,6628.186393923648,2842.9999076843264,6592.679240150382,6605.1730430662965,2877.999894332886,6575.144791698505,6595.130468869395,2881.9998928070067,6587.188417336552,6604.9908029464805,2877.999894332886,6581.608782895742,6598.705047834459,2881.9998928070067,6600.13479689458,6613.68678668582,2940.999870300293,6615.692004156859,6625.053618913715,2946.9998680114745,6584.284394962863,6601.724363480758,2971.9998584747314,6602.001343338326,6615.080921233608,2978.9998558044435,0.05334977060246315,2768.2809305592837,1.8995927971372972,-0.3600810657764469,2767.867499722905,-12.821187255543313,-0.39845273186243374,2778.4977310953227,-14.175126576492488,-0.5391406983463011,2863.884657826767,-19.479931708372444,-0.4210820551510527,2881.5910002783507,-18.64045507183968,-0.6041929166963564,2881.4078894168056,-26.746404366156348,0.09296141339431871,2967.4879304394526,3.3069815476140247,0.28850160036564426,2976.3512211619063,10.272289804247187,13.930637963807202,2.010818359896439,22.71549827380043,26.722648191790302,40.37239366143658
9,1.4567196454154328,1778271525.697095,0.011829540831968188,6630.058490998563,6637.796712718159,2628.999989318848,6643.119028333893,6649.280354250084,2631.9999881744384,6620.359727358865,6626.971491884954,2762.9999382019046,6601.290715835804,6616.712675367546,2769.9999355316163,6612.050758015711,6621.781653268942,2800.9999237060547,6618.704511416084,6627.371618730324,2806.9999214172362,6621.079778097014,6627.629188189627,2837.999909591675,6624.158206742672,6630.2439053091675,2842.9999076843264,6595.51344866583,6608.292496255769,2877.999894332886,6577.755257205735,6595.40451294434,2881.9998928070067,6586.695535959899,6604.279477030291,2877.999894332886,6580.6901228719025,6597.978981874867,2881.9998928070067,6600.102133447443,6614.103570009475,2940.999870300293,6618.577175474524,6628.223897362228,2946.9998680114745,6585.553018308524,6603.26192040835,2971.9998584747314,6603.580358834855,6619.407664211266,2978.9998558044435,-0.010121426204644722,2768.217459362477,-0.3603874599268121,-0.31069657274278906,2767.9168842159384,-11.062783682338779,-0.30186833936549484,2778.5943154878196,-10.739095450395398,-0.6688815905045374,2863.754916934609,-24.16765742965048,-0.47949991635321854,2881.5325824171487,-21.226496209929284,-0.5950231972558977,2881.417059136246,-26.340479342374632,0.08002869029601851,2967.474997716354,2.846916719801347,0.3766558649113477,2976.439375426452,13.411080548374976,14.455427286557383,2.3084642353636577,24.0241957907972,28.132727712709602,43.81855459501373
