block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2766.8633756423383,12.02913062437672,2760.8488103301497,-0.0013417689651561496
1,1,1,0,2766.8633756423383,12.02913062437672,2772.877940954527,0.001291799604334601
2,0,2,1,2805.774596381452,10.69710043499111,2800.4260461639565,-0.000723175496944827
2,1,3,1,2805.774596381452,10.69710043499111,2811.123146598947,0.0008011667188143675
3,0,4,2,2834.651875466319,12.534735845045672,2828.384507543796,-0.00048817777358389807
3,1,5,2,2834.651875466319,12.534735845045672,2840.9192433888416,0.0005738809639180008
4,0,6,3,2869.7161787255964,11.85216864465734,2863.7900944032676,-0.0010307186795496148
4,1,7,3,2869.7161787255964,11.85216864465734,2875.642263047925,0.0010698356886169075
5,0,8,4,2883.9383664867405,16.310111937279462,2875.7833105181007,0.0009396059984546614
5,1,9,4,2883.9383664867405,16.310111937279462,2892.0934224553803,0.0007309417495003003
6,0,10,5,2918.445319469478,12.490617460900456,2912.2000107390277,-0.00045851714839331025
6,1,11,5,2918.445319469478,12.490617460900456,2924.690628199928,0.00040095085556673217
7,0,12,6,2943.281697892563,11.79713252780626,2937.38313162866,-0.0005894012657306363
7,1,13,6,2943.281697892563,11.79713252780626,2949.180264156466,0.0004793256441890151
8,0,14,7,2975.5194184421184,10.34489175667429,2970.3469725637815,-0.0017783179386099855
8,1,15,7,2975.5194184421184,10.34489175667429,2980.6918643204554,0.0011956264029073104
