save_id,timestamp_epoch_s,n_channels,rank,condition_number,residual_norm_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,status
000000,1778436713.796067,8,3,18.592733017598555,108.31966422998595,14.989880074954293,-3.424548468162324,5.113686911293512,ok
000001,1778436713.855358,8,3,18.592733017598555,109.0222260014901,15.546451031347098,-3.591195129633316,4.902415721444284,ok
000002,1778436713.923973,8,3,18.592733017598555,79.49025815861484,-17.635411194778026,-5.52290138472146,9.628357148405877,ok
000003,1778436713.983399,8,3,18.592733017598555,79.55429934040504,-19.181832135632288,-5.059877067584236,10.21536979868772,ok
000004,1778436714.089283,8,3,18.592733017598555,84.88791017904629,-4.1043674785982,-5.428037340499453,6.981357253194409,ok
000005,1778436714.158092,8,3,18.592733017598555,76.32570111807767,-13.515362145148577,-5.930583106720359,10.170387383587013,ok
000006,1778436714.223277,8,3,18.592733017598555,76.69239023004103,-17.186543471858954,-4.831369961075818,11.563947069261602,ok
000007,1778436714.292471,8,3,18.592733017598555,75.74055816971382,19.441652624523375,-5.647957697719596,9.326473731631737,ok
000008,1778436714.358811,8,3,18.592733017598555,76.72521874635991,20.179216080439094,-5.868796543404196,9.04649881175711,ok
000009,1778436714.4280498,8,3,18.592733017598555,91.21828831804207,11.001490180853775,-5.6750574404763405,5.255504767541041,ok
000010,1778436714.50453,8,3,18.592733017598555,88.66267756806657,6.394323285694226,-4.295594547022466,7.00435928571925,ok
000011,1778436714.574785,8,3,18.592733017598555,95.92706630274053,12.583132531738352,-3.380566571233556,14.138318939574892,ok
000012,1778436714.647886,8,3,18.592733017598555,369.6895069676413,244.5875831929354,20.257726059363822,42.82791709225626,ok
000013,1778436714.717153,8,3,18.592733017598555,100.34329642903465,60.997388316109465,0.7364081562102088,16.313842521633212,ok
000014,1778436714.774816,8,3,18.592733017598555,95.81048354087908,58.04959841906572,1.6190257980721392,17.432806908510823,ok
000015,1778436714.8441432,8,3,18.592733017598555,81.48317394582001,50.85622464768028,3.3414108192143113,22.368085239870716,ok
000016,1778436714.920245,8,3,18.592733017598555,77.54045936855603,47.03131108104976,4.486653971004321,23.820000815073957,ok
000017,1778436714.9959822,8,3,18.592733017598555,78.80244929150557,16.579232811296112,-5.23615028481145,12.482424682757454,ok
