block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2629.99998895135,3.999999715422555,2628.999989318848,-0.0009392441908877003
1,1,1,0,2629.99998895135,3.999999715422555,2630.999988555908,0.0007497502129570344
2,0,2,1,2768.850081118235,10.335372619520294,2764.999937438965,-0.002356230752117161
2,1,3,1,2768.850081118235,10.335372619520294,2770.9999351501465,0.0019368282359765732
3,0,4,2,2806.942670581585,4.6386718382501515,2803.9999225616457,-0.0008401392825030385
3,1,5,2,2806.942670581585,4.6386718382501515,2809.9999202728272,0.0011327499095799554
4,0,6,3,2840.9999090260258,4.000001914236357,2837.999909591675,-0.0006166646568473433
4,1,7,3,2840.9999090260258,4.000001914236357,2843.9999073028566,0.0005820333658559385
5,0,8,4,2879.582342998353,2.184789941448614,2877.999894332886,-0.004894332479483066
5,1,9,4,2879.582342998353,2.184789941448614,2880.9998931884766,0.002085736002714278
6,0,10,5,2880.2853894125237,3.9230780955683073,2877.999894332886,-0.004894332479483066
6,1,11,5,2880.2853894125237,3.9230780955683073,2881.9998928070067,0.0022659556769974998
7,0,12,6,2941.9998639161804,4.000005043119519,2938.9998710632326,-0.000717929106333115
7,1,13,6,2941.9998639161804,4.000005043119519,2943.999869155884,0.0011626421010512145
8,0,14,7,2973.234278292889,10.126590582162258,2969.999859237671,-0.002388345055762464
8,1,15,7,2973.234278292889,10.126590582162258,2975.9998569488525,0.0021687572684580547
