batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_02,peak_02_ref,peak_02_freq_mhz,peak_03,peak_03_ref,peak_03_freq_mhz,peak_04,peak_04_ref,peak_04_freq_mhz,peak_05,peak_05_ref,peak_05_freq_mhz,peak_06,peak_06_ref,peak_06_freq_mhz,peak_07,peak_07_ref,peak_07_freq_mhz,peak_08,peak_08_ref,peak_08_freq_mhz,peak_09,peak_09_ref,peak_09_freq_mhz,peak_10,peak_10_ref,peak_10_freq_mhz,peak_11,peak_11_ref,peak_11_freq_mhz,peak_12,peak_12_ref,peak_12_freq_mhz,peak_13,peak_13_ref,peak_13_freq_mhz,peak_14,peak_14_ref,peak_14_freq_mhz,peak_15,peak_15_ref,peak_15_freq_mhz,peak_16,peak_16_ref,peak_16_freq_mhz,delta_f_mhz_b01,delta_B_proj_uT_b01,delta_f_mhz_b02,delta_B_proj_uT_b02,delta_f_mhz_b03,delta_B_proj_uT_b03,delta_f_mhz_b04,delta_B_proj_uT_b04,delta_f_mhz_b05,delta_B_proj_uT_b05,delta_f_mhz_b06,delta_B_proj_uT_b06,delta_f_mhz_b07,delta_B_proj_uT_b07,delta_f_mhz_b08,delta_B_proj_uT_b08,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_B_total_uT,B_residual_uT,B_status,B_rank,B_condition_number
0,0.005547312437556684,1778433313.120233,0.010256625013425946,6644.505145642937,6652.671985512119,2760.7880638953143,6645.027413882691,6654.43909282636,2771.0401505838204,6656.246616437938,6660.098921050218,2794.697758206831,6663.581028211632,6667.154924045603,2808.832503090681,6664.208594920073,6667.105559800715,2835.1423657187092,6667.235226334933,6669.601766665648,2848.511176238007,6639.510066632026,6643.287552342818,2869.6670653401284,6639.675202494116,6648.605144114682,2875.25420908737,6623.16133814225,6637.430384815234,2878.191024855937,6617.035781092398,6633.888617538282,2883.537100748341,6648.727108231195,6657.571458263289,2904.201336871197,6657.303625026744,6663.413711526118,2917.6424100180584,6658.821036464224,6663.396052510927,2939.5787513348605,6664.057248525231,6665.849766176604,2952.213355300979,6647.399604181313,6652.200574624813,2971.0913047644817,6646.788211021792,6653.296639361799,2981.18418080653,-0.06939172040534419,-2.47300957322375,-0.17611797164379372,-6.260676003768888,-0.5577492336478966,-19.822027011351953,0.2810818686157531,11.69123229644898,-0.1980963757238262,-8.184224931671926,-0.8876629574780586,-31.531393990418913,-0.42286429361223726,-15.030428610855292,0.08235692300483376,2.9350514558180376,7.74363337179431,-14.837858848639689,-27.870317354962246,32.509698590962536,64.14471505837214,ok,3,31.25947157560613
1,0.21662458346690983,1778433313.3313951,0.010426082881167531,6646.892557386067,6654.8329782681785,2760.7880638953143,6647.537552342818,6656.062223003331,2771.0401505838204,6659.009102301556,6663.955949506371,2794.697758206831,6665.869933062322,6670.163861295351,2808.832503090681,6667.749903719778,6669.501823211174,2835.1423657187092,6669.985782620655,6669.2335651190515,2848.511176238007,6640.111729376166,6644.683210563317,2869.6670653401284,6642.272035944616,6651.138914020235,2875.25420908737,6629.313078827521,6639.046677568236,2878.191024855937,6619.850466118532,6633.8213742091275,2883.537100748341,6651.962595898156,6661.800877219794,2904.201336871197,6661.810520524498,6664.06850261332,2917.6424100180584,6662.3094843659255,6664.497637313934,2939.5787513348605,6666.3437540116765,6666.701995904271,2952.213355300979,6647.513301953113,6655.17001405997,2971.0913047644817,6647.730303817587,6655.615169483755,2981.18418080653,-0.10312541176549514,-3.675224206129778,-0.24651200635324072,-8.763056878363974,-1.2125321606221415,-43.0925652426052,0.25634961605948964,10.662526634025065,-0.16279229398385595,-6.725659398050726,-1.5703715227384407,-55.782437216350566,-0.2949929450338502,-10.485327013926277,0.010670595720084258,0.3802806899529362,13.990253991581426,-20.820721533895544,-34.598189141835725,42.73481418978233,97.0554613058942,ok,3,31.25947157560613
2,0.4007985208882019,1778433313.515703,0.010690292110666633,6646.461801204267,6652.016286639974,2760.7880638953143,6645.257147660237,6652.70769324816,2771.0401505838204,6658.9890255830305,6661.5900632698595,2794.697758206831,6662.87692331204,6665.607309655531,2808.832503090681,6663.821634012898,6666.308773726198,2835.1423657187092,6666.180458171591,6669.548538985849,2848.511176238007,6639.029237093867,6644.457899562918,2869.6670653401284,6641.608344285845,6649.708136442829,2875.25420908737,6626.550779411315,6636.317281535592,2878.191024855937,6618.244567044656,6634.348548155393,2883.537100748341,6649.1105923526,6658.599425375188,2904.201336871197,6657.54250695357,6663.089858483358,2917.6424100180584,6660.6378671638595,6663.760042179905,2939.5787513348605,6664.6317587187095,6666.501404468623,2952.213355300979,6648.20379771984,6653.603805361128,2971.0913047644817,6648.067377815814,6655.560046764678,2981.18418080653,-0.03600160982517099,-1.2830396080258775,-0.09904422201280143,-3.5208433204173546,-0.08932344696831479,-3.1744943278052977,0.20968294215193656,8.721487434866773,-0.11806628555906225,-4.877832995841902,-1.057751743696736,-37.57325535957019,-0.21767483548972485,-7.737106501141808,0.10095312630228079,3.5977864338800107,13.358027881482975,-17.10302670481817,-30.471644192251258,37.40951123881946,57.62890639634969,ok,3,31.25947157560613
3,0.5879985420033336,1778433313.702806,0.010500249918550253,6645.940035761225,6654.624409328484,2760.7880638953143,6645.89805299997,6654.906777821928,2771.0401505838204,6658.971163309594,6661.1751933245705,2794.697758206831,6662.751566463919,6667.987049546107,2808.832503090681,6665.254575602897,6668.7908976984445,2835.1423657187092,6668.055900602134,6669.679556499677,2848.511176238007,6638.981873338019,6645.229933979276,2869.6670653401284,6642.912085460159,6651.217298346426,2875.25420908737,6625.399180853991,6638.8714063025345,2878.191024855937,6618.368598893541,6633.245697955192,2883.537100748341,6650.694758076841,6658.615598924107,2904.201336871197,6660.199263379895,6663.838894152886,2917.6424100180584,6660.788258397774,6665.384133630832,2939.5787513348605,6663.892485557966,6665.187712809854,2952.213355300979,6647.103881774002,6654.556216951432,2971.0913047644817,6647.051309716662,6654.909126753676,2981.18418080653,-0.11634644607347243,-4.146400655143563,0.4459031370639568,15.85105167954028,-1.0163359424411649,-36.11988558355339,0.1919792229293211,7.985124413793893,-0.22318178718262874,-9.22061264513824,-1.105571807995914,-39.271910547738074,-0.49213132218651445,-17.492478833110376,0.019269746930374743,0.686738852275018,-10.121565627877319,1.124691557514497,-0.9551862604181351,10.228558190236958,54.466675776537194,ok,3,31.25947157560613
4,0.7622752503957599,1778433313.87697,0.010273917112499475,6645.860364642234,6651.2006678485195,2760.7880638953143,6646.828738881928,6652.768580554452,2771.0401505838204,6657.308741632789,6661.918441483021,2794.697758206831,6661.7292218112925,6666.047975058837,2808.832503090681,6662.895639881407,6665.871146498762,2835.1423657187092,6667.050900143656,6668.57797933796,2848.511176238007,6638.466434880948,6644.568426200448,2869.6670653401284,6640.961490967998,6649.352804352477,2875.25420908737,6625.4412644802405,6636.492332732219,2878.191024855937,6617.937980254914,6629.578259009078,2883.537100748341,6645.8705871565235,6657.539869181159,2904.201336871197,6660.489716355412,6664.408983097473,2917.6424100180584,6661.289094354617,6664.633849374943,2939.5787513348605,6660.684179478558,6665.42412048782,2952.213355300979,6645.980623223401,6653.006267383929,2971.0913047644817,6644.006990249717,6651.663089525323,2981.18418080653,-0.10231845257932605,-3.6464654755356984,-0.17825243113092895,-6.336552185894992,-0.8625703576314145,-30.655161668864253,0.19870651346200255,8.26493725526464,-0.24058847727479113,-9.93975890164912,-1.5954738932902446,-56.67411882736562,0.13741265637612113,4.88424100376563,0.03027348364909917,1.078892083568457,-4.365780888773305,-6.59353057030139,-10.455970250707734,13.10961486978021,62.421337364692484,ok,3,31.25947157560613
5,0.9860377295408398,1778433314.100815,0.010439625009894371,6648.457334107649,6654.318068588196,2760.7880638953143,6647.85172234618,6656.498464101232,2771.0401505838204,6660.742890546198,6665.212129779626,2794.697758206831,6665.559302503285,6667.754476266161,2808.832503090681,6666.82579392976,6669.404584772441,2835.1423657187092,6667.9423357887335,6670.789040865607,2848.511176238007,6640.483746981692,6646.125890209984,2869.6670653401284,6642.344220130208,6651.924944218602,2875.25420908737,6627.551172173487,6638.897547146744,2878.191024855937,6619.783690436166,6635.149535409725,2883.537100748341,6650.874128129108,6660.025350735092,2904.201336871197,6660.432234006784,6667.501991319497,2917.6424100180584,6661.801143136596,6665.6377938075,2939.5787513348605,6665.266602989273,6669.2982959929095,2952.213355300979,6648.8437662377355,6652.386740838096,2971.0913047644817,6646.442479444937,6655.822013020754,2981.18418080653,0.00934519645295338,0.3330478068105438,-0.5505119605534734,-19.569706538499933,-0.29259573442648684,-10.398652658426753,0.24606618174793257,10.234800648233929,-0.16748715269124895,-6.9196244796597455,-0.795772281625467,-28.267270958197468,-0.02374239602010119,-0.8439075935742677,0.2823204092835564,10.061387653181411,10.84135716923339,-14.406298233023497,-30.45741537931861,35.39393458826043,50.407810334571664,ok,3,31.25947157560613
6,1.1613249998772517,1778433314.276151,0.010536500019952655,6646.179435767337,6654.590679157625,2760.7880638953143,6648.620811810373,6655.2089571170945,2771.0401505838204,6660.72626768958,6663.428705260262,2794.697758206831,6664.456704465568,6669.496193110615,2808.832503090681,6667.687796864016,6669.490611914295,2835.1423657187092,6668.319499037198,6669.654378457682,2848.511176238007,6639.833647644955,6644.743601185929,2869.6670653401284,6642.337153467616,6651.237164165419,2875.25420908737,6627.114299905246,6638.89190176361,2878.191024855937,6617.4646376501505,6633.7092352599575,2883.537100748341,6650.982900327047,6659.298037717395,2904.201336871197,6661.863544946052,6667.437784637956,2917.6424100180584,6663.129885075037,6665.428006846594,2939.5787513348605,6663.993028089373,6667.052212916833,2952.213355300979,6647.726269217838,6655.442202830333,2971.0913047644817,6645.286740838097,6653.635531986429,2981.18418080653,-0.22611050146458192,-8.058215468098831,0.31533975376838047,11.209759066752573,-0.5366611777005099,-19.07257189893151,0.24756105925059488,10.2969781206708,-0.1578541544899526,-6.521643326507745,-0.8887032306126746,-31.56834637396595,0.05234505114939872,1.8605698478625057,0.030413600924008057,1.0838856092697808,8.394973071670368,-12.034623631151424,-26.256830222199795,30.078711277828436,61.003439644023636,ok,3,31.25947157560613
7,1.341406583902426,1778433314.45655,0.011170250130817294,6646.518346731058,6652.978135220222,2760.7880638953143,6646.189086713331,6653.406871045634,2771.0401505838204,6656.932830027203,6664.520299844118,2794.697758206831,6665.823958492527,6670.6547116178135,2808.832503090681,6666.836864626952,6667.604181312467,2835.1423657187092,6665.901354036128,6668.945312834307,2848.511176238007,6637.387129015496,6644.0890469786345,2869.6670653401284,6641.061264785892,6648.796819696183,2875.25420908737,6624.4840786135655,6637.2277118929005,2878.191024855937,6617.089569642693,6632.139878350705,2883.537100748341,6650.487206956628,6660.53456154293,2904.201336871197,6661.171094538009,6665.00501115628,2917.6424100180584,6661.690792248679,6664.191437173335,2939.5787513348605,6662.339268575968,6668.118505669836,2952.213355300979,6648.324013509797,6655.158405416145,2971.0913047644817,6647.92629825473,6654.374687471345,2981.18418080653,-0.09417839371458948,-3.356366838673713,-0.6419344749994835,-22.81961191189355,0.3743637669055301,13.3046327130545,0.16259598210745693,6.762966984135822,-0.20395364356798712,-8.426214202533162,-1.3779776233502015,-48.94825787850934,0.38961067994284093,13.848451144653925,-0.01902442008404695,-0.6779958481510856,-1.5855743825657145,-8.796379636488494,-11.753912579689011,14.76634016142286,40.44014645554948,ok,3,31.25947157560613
8,1.5374132918659598,1778433314.652064,0.010187834035605192,6646.871698199713,6653.9382522847445,2760.7880638953143,6645.111660604579,6653.317169972797,2771.0401505838204,6657.609027416938,6664.052086071462,2794.697758206831,6663.201780419966,6668.36161628511,2808.832503090681,6666.087563040621,6666.410581654798,2835.1423657187092,6668.250738148364,6668.377682856008,2848.511176238007,6638.6478940611905,6644.632188159061,2869.6670653401284,6640.239372497478,6650.474196900694,2875.25420908737,6627.593098389215,6639.626632943118,2878.191024855937,6617.837121374209,6635.244310297399,2883.537100748341,6652.542656722804,6660.85274780695,2904.201336871197,6661.713110920928,6665.373099611822,2917.6424100180584,6661.074204541981,6665.232669560168,2939.5787513348605,6662.34435767338,6666.639774429195,2952.213355300979,6646.886591068864,6655.779856038144,2971.0913047644817,6648.3684965002885,6656.807629061344,2981.18418080653,-0.07464897458032599,-2.6603696765279365,-0.36484190643816955,-12.969471244118964,-0.44645415571256947,-15.866675918109092,0.2550486095407838,10.608412971324974,-0.13855004057010348,-5.724106219383064,-1.157361288625182,-41.111566584439345,-0.03135447831165237,-1.1144739695758115,-0.0224233415434759,-0.7991272480835793,18.42106015195973,-24.989608118796347,-39.694568940831196,50.39320166899035,76.84922145548332,ok,3,31.25947157560613
9,1.7052786879939958,1778433314.81985,0.010027792071923614,6647.497993397928,6653.768459822111,2760.7880638953143,6647.412475165816,6655.14878656356,2771.0401505838204,6658.204821652353,6663.503676987499,2794.697758206831,6663.569315646299,6667.590582877403,2808.832503090681,6662.410777271754,6666.8023443469765,2835.1423657187092,6666.737874805146,6669.4081960448675,2848.511176238007,6638.280867744596,6645.376460250023,2869.6670653401284,6642.448262371245,6651.498965369685,2875.25420908737,6626.823727725647,6637.8007992786615,2878.191024855937,6618.374556041202,6631.363592322035,2883.537100748341,6649.543067824068,6659.062271907571,2904.201336871197,6658.129466332488,6663.642618516367,2917.6424100180584,6660.555587309349,6664.470006418681,2939.5787513348605,6663.327522388972,6665.792277714949,2952.213355300979,6646.966525048141,6654.845766726778,2971.0913047644817,6647.947201760553,6658.04108873063,2981.18418080653,-0.05805983042907993,-2.069159196978265,-0.3636392889920972,-12.926720364603005,-0.9532364781903264,-33.87737369949126,0.18901773011961484,7.861944997942382,-0.21022351436798375,-8.685249900345388,-1.0668325534789929,-37.89582214979639,-0.24405422945650895,-8.674744423768011,0.10671690604774131,3.803197096586964,-4.993551754714873,-3.057624248675589,-7.865891988429387,9.805961551359589,53.850735053718545,ok,3,31.25947157560613
10,1.8907033959403634,1778433315.005288,0.01005454221740365,6645.104277592689,6652.5349390225265,2760.7880638953143,6647.162708989211,6655.836176911087,2771.0401505838204,6658.607519026807,6663.733915090013,2794.697758206831,6666.078336950208,6669.6285310389085,2808.832503090681,6665.64856802274,6668.079830057768,2835.1423657187092,6666.781239111166,6668.748098847694,2848.511176238007,6639.160781856527,6646.458891402023,2869.6670653401284,6643.128885594645,6650.390361280069,2875.25420908737,6627.153302564417,6638.582663447138,2878.191024855937,6620.581544762662,6634.850103921509,2883.537100748341,6651.568539291499,6660.270993673014,2904.201336871197,6660.40521747104,6663.491984289513,2917.6424100180584,6658.382483112754,6664.981835131583,2939.5787513348605,6663.717831708285,6668.10893572149,2952.213355300979,6646.660728367516,6653.848253201699,2971.0913047644817,6646.75635755112,6653.7663752789085,2981.18418080653,-0.069586485397673,-2.479950685041478,-0.41988005676901546,-14.925978146010111,-0.535575534465203,-19.03398887947275,0.13183424519432543,5.483472814466303,-0.19267764265192858,-7.960353444154521,-1.2935195638858765,-45.94815482565475,-0.34596470194210566,-12.297084036102133,-0.008956605464614537,-0.3191971840249759,-9.029972390608417,-0.40809252525036976,0.45352780528545855,9.050559560296952,54.28620478034946,ok,3,31.25947157560613
