block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2745.809368914873,12.508956542901037,2739.554890643423,-0.0007794961581448827
1,1,1,0,2745.809368914873,12.508956542901037,2752.0638471863235,0.0006200947495019991
2,0,2,1,2801.5468482116153,8.490120191350844,2797.999962615967,-0.0034755610297214994
2,1,3,1,2801.5468482116153,8.490120191350844,2804.8640145673717,0.0028799658009202424
3,0,4,2,2835.8000441541835,10.172372585878982,2832.3964190983884,-0.0022177644689979265
3,1,5,2,2835.8000441541835,10.172372585878982,2838.999946975709,0.001700222666758318
4,0,6,3,2869.982823747594,9.045148556234638,2866.9683385151843,-0.0020265361092893903
4,1,7,3,2869.982823747594,9.045148556234638,2872.999934005738,0.0016392859006963626
5,0,8,4,2889.143512519762,10.757319879434142,2885.999929046631,-0.0018252824274153532
5,1,9,4,2889.143512519762,10.757319879434142,2891.7476622843465,0.0015302621209061604
6,0,10,5,2921.5460686891283,10.152095966446545,2917.9999168396,-0.0022129957198268736
6,1,11,5,2921.5460686891283,10.152095966446545,2924.7927977542663,0.0017904686529154916
7,0,12,6,2952.106098562883,9.238762172168844,2948.999905014038,-0.0030285204281307212
7,1,13,6,2952.106098562883,9.238762172168844,2954.8536821360517,0.002800329853727478
8,0,14,7,2998.15224239076,10.154622462834848,2993.0749311593427,-0.0008076915713697114
8,1,15,7,2998.15224239076,10.154622462834848,3003.2295536221773,0.0006490942192059366
