batch,time_s,timestamp_epoch_s,acq_seconds,peak_01,peak_01_ref,peak_01_freq_mhz,peak_01_spike_sig,peak_01_spike_ref,peak_02,peak_02_ref,peak_02_freq_mhz,peak_02_spike_sig,peak_02_spike_ref,peak_03,peak_03_ref,peak_03_freq_mhz,peak_03_spike_sig,peak_03_spike_ref,peak_04,peak_04_ref,peak_04_freq_mhz,peak_04_spike_sig,peak_04_spike_ref,peak_05,peak_05_ref,peak_05_freq_mhz,peak_05_spike_sig,peak_05_spike_ref,peak_06,peak_06_ref,peak_06_freq_mhz,peak_06_spike_sig,peak_06_spike_ref,peak_07,peak_07_ref,peak_07_freq_mhz,peak_07_spike_sig,peak_07_spike_ref,peak_08,peak_08_ref,peak_08_freq_mhz,peak_08_spike_sig,peak_08_spike_ref,peak_09,peak_09_ref,peak_09_freq_mhz,peak_09_spike_sig,peak_09_spike_ref,peak_10,peak_10_ref,peak_10_freq_mhz,peak_10_spike_sig,peak_10_spike_ref,peak_11,peak_11_ref,peak_11_freq_mhz,peak_11_spike_sig,peak_11_spike_ref,peak_12,peak_12_ref,peak_12_freq_mhz,peak_12_spike_sig,peak_12_spike_ref,peak_13,peak_13_ref,peak_13_freq_mhz,peak_13_spike_sig,peak_13_spike_ref,peak_14,peak_14_ref,peak_14_freq_mhz,peak_14_spike_sig,peak_14_spike_ref,peak_15,peak_15_ref,peak_15_freq_mhz,peak_15_spike_sig,peak_15_spike_ref,peak_16,peak_16_ref,peak_16_freq_mhz,peak_16_spike_sig,peak_16_spike_ref,delta_f_mhz_b01,f_new_mhz_b01,delta_f_mhz_b02,f_new_mhz_b02,delta_f_mhz_b03,f_new_mhz_b03,delta_f_mhz_b04,f_new_mhz_b04,delta_f_mhz_b05,f_new_mhz_b05,delta_f_mhz_b06,f_new_mhz_b06,delta_f_mhz_b07,f_new_mhz_b07,delta_f_mhz_b08,f_new_mhz_b08
0,0.006064400004106574,1786043897.080382,0.011287400004221126,-2399.279101078949,-2393.6671852553723,2763.8833307991968,True,True,-2385.8162530183085,-2377.352975517316,2769.99997329712,True,True,-2421.302775315585,-2425.57035333313,2806.7874952755337,True,True,-2414.0068450652566,-2394.990734174894,2812.999956893921,True,True,-2391.6442124889204,-2388.73905003515,2839.333767604304,True,True,-2374.648366292753,-2371.38866185775,2845.9999443054203,True,True,-2372.1379267659017,-2377.392778983403,2864.999937057496,True,True,-2355.25896628664,-2353.0069306476757,2871.8329761295927,True,True,-2360.912504202708,-2362.234330776049,2880.99993095398,True,True,-2357.7797246080017,-2358.319291194181,2887.545355504989,True,True,-2380.992134058746,-2378.9173900418746,2903.9999221801763,True,True,-2379.996494177339,-2372.330418436898,2910.499189168912,True,True,-2420.4204924045603,-2423.007846073907,2933.4871667011325,True,True,-2403.0480086805023,-2391.4121144970504,2939.999908447266,True,True,-2400.803904697864,-2396.6594858941835,2969.9998970031743,True,True,-2395.1853256716686,-2382.898613870465,2976.653018545713,True,True,0.07027310872425414,2760.785449191243,0.34613941539540155,2781.103964074694,0.018805830361074305,2851.7032890764253,0.22571081879522636,2869.98623074364,0.03336511421643875,2887.3220829395527,0.14401903926598994,2904.8561385661724,0.1978349171614601,2967.4958479644984,0.20745786486411005,2967.505470912201
1,0.11184589999902528,1786043897.1863918,0.011667199985822663,-2399.279101078949,-2393.6671852553723,2763.8833307991968,True,True,-2385.8162530183085,-2377.352975517316,2769.99997329712,True,True,-2421.302775315585,-2425.57035333313,2806.7874952755337,True,True,-2414.0068450652566,-2394.990734174894,2812.999956893921,True,True,-2391.6442124889204,-2388.73905003515,2839.333767604304,True,True,-2374.648366292753,-2371.38866185775,2845.9999443054203,True,True,-2372.1379267659017,-2377.392778983403,2864.999937057496,True,True,-2355.25896628664,-2353.0069306476757,2871.8329761295927,True,True,-2360.912504202708,-2362.234330776049,2880.99993095398,True,True,-2357.7797246080017,-2358.319291194181,2887.545355504989,True,True,-2380.992134058746,-2378.9173900418746,2903.9999221801763,True,True,-2379.996494177339,-2372.330418436898,2910.499189168912,True,True,-2420.4204924045603,-2423.007846073907,2933.4871667011325,True,True,-2403.0480086805023,-2391.4121144970504,2939.999908447266,True,True,-2400.803904697864,-2396.6594858941835,2969.9998970031743,True,True,-2395.1853256716686,-2382.898613870465,2976.653018545713,True,True,0.07027310872425414,2760.785449191243,0.34613941539540155,2781.103964074694,0.018805830361074305,2851.7032890764253,0.22571081879522636,2869.98623074364,0.03336511421643875,2887.3220829395527,0.14401903926598994,2904.8561385661724,0.1978349171614601,2967.4958479644984,0.20745786486411005,2967.505470912201
2,0.2150815000059083,1786043897.290399,0.012041400012094527,-2399.279101078949,-2393.6671852553723,2763.8833307991968,True,True,-2385.8162530183085,-2377.352975517316,2769.99997329712,True,True,-2421.302775315585,-2425.57035333313,2806.7874952755337,True,True,-2414.0068450652566,-2394.990734174894,2812.999956893921,True,True,-2391.6442124889204,-2388.73905003515,2839.333767604304,True,True,-2374.648366292753,-2371.38866185775,2845.9999443054203,True,True,-2372.1379267659017,-2377.392778983403,2864.999937057496,True,True,-2355.25896628664,-2353.0069306476757,2871.8329761295927,True,True,-2360.912504202708,-2362.234330776049,2880.99993095398,True,True,-2357.7797246080017,-2358.319291194181,2887.545355504989,True,True,-2380.992134058746,-2378.9173900418746,2903.9999221801763,True,True,-2379.996494177339,-2372.330418436898,2910.499189168912,True,True,-2420.4204924045603,-2423.007846073907,2933.4871667011325,True,True,-2403.0480086805023,-2391.4121144970504,2939.999908447266,True,True,-2400.803904697864,-2396.6594858941835,2969.9998970031743,True,True,-2395.1853256716686,-2382.898613870465,2976.653018545713,True,True,0.07027310872425414,2760.785449191243,0.34613941539540155,2781.103964074694,0.018805830361074305,2851.7032890764253,0.22571081879522636,2869.98623074364,0.03336511421643875,2887.3220829395527,0.14401903926598994,2904.8561385661724,0.1978349171614601,2967.4958479644984,0.20745786486411005,2967.505470912201
3,0.3161767500132555,1786043897.3912394,0.0123950999986846,-2399.279101078949,-2393.6671852553723,2763.8833307991968,True,True,-2385.8162530183085,-2377.352975517316,2769.99997329712,True,True,-2421.302775315585,-2425.57035333313,2806.7874952755337,True,True,-2414.0068450652566,-2394.990734174894,2812.999956893921,True,True,-2391.6442124889204,-2388.73905003515,2839.333767604304,True,True,-2374.648366292753,-2371.38866185775,2845.9999443054203,True,True,-2372.1379267659017,-2377.392778983403,2864.999937057496,True,True,-2355.25896628664,-2353.0069306476757,2871.8329761295927,True,True,-2360.912504202708,-2362.234330776049,2880.99993095398,True,True,-2357.7797246080017,-2358.319291194181,2887.545355504989,True,True,-2380.992134058746,-2378.9173900418746,2903.9999221801763,True,True,-2379.996494177339,-2372.330418436898,2910.499189168912,True,True,-2420.4204924045603,-2423.007846073907,2933.4871667011325,True,True,-2403.0480086805023,-2391.4121144970504,2939.999908447266,True,True,-2400.803904697864,-2396.6594858941835,2969.9998970031743,True,True,-2395.1853256716686,-2382.898613870465,2976.653018545713,True,True,0.07027310872425414,2760.785449191243,0.34613941539540155,2781.103964074694,0.018805830361074305,2851.7032890764253,0.22571081879522636,2869.98623074364,0.03336511421643875,2887.3220829395527,0.14401903926598994,2904.8561385661724,0.1978349171614601,2967.4958479644984,0.20745786486411005,2967.505470912201
4,0.41905869999027345,1786043897.4949577,0.01199800000176765,-2218.2084665464436,-2214.979742947092,2763.8833307991968,False,False,-2206.868386465752,-2198.981127548369,2769.99997329712,False,False,-2234.257118623346,-2237.1225402695845,2806.7874952755337,False,False,-2229.575546352049,-2209.9618241281287,2812.999956893921,True,False,-2209.0783461197543,-2203.5960570956995,2839.333767604304,False,False,-2190.3446037228355,-2184.6450820674263,2845.9999443054203,False,False,-2187.3186691933856,-2184.9949567503127,2864.999937057496,False,False,-2178.613237766299,-2173.5965323837763,2871.8329761295927,False,False,-2180.169265213803,-2178.165656997891,2880.99993095398,False,False,-2169.7587569153648,-2176.2049668368127,2887.545355504989,False,False,-2194.045334229911,-2199.3380322156677,2903.9999221801763,False,False,-2189.833039398478,-2178.705208301495,2910.499189168912,False,False,-2230.509337653208,-2228.1744750435555,2933.4871667011325,False,False,-2222.3437509551613,-2210.2893449888434,2939.999908447266,False,False,-2219.760337897729,-2212.5961075281966,2969.9998970031743,True,False,-2215.1115948895067,-2199.651866002384,2976.653018545713,False,False,0.12309492557808982,2760.838271008097,0.36243502387576565,2781.120259683174,0.01436706180290712,2851.6988503078674,0.08868538038808133,2869.849205305233,-0.3915767620794182,2886.897141063257,0.45867735672068977,2905.170796883627,0.14690052373518192,2967.444913571072,0.22945558049408935,2967.5274686278312
5,0.5097459999960847,1786043897.584944,0.011266999994404614,-2210.1148577192284,-2211.843601185928,2763.8833307991968,False,False,-2202.670287618058,-2193.951049912889,2769.99997329712,False,True,-2239.6338356206247,-2235.954025430204,2806.7874952755337,False,False,-2229.1072042057644,-2209.64858636183,2812.999956893921,True,False,-2214.672598343369,-2205.967868386466,2839.333767604304,False,True,-2188.125362961152,-2186.960069688541,2845.9999443054203,False,True,-2184.484882477,-2184.162646330654,2864.999937057496,False,False,-2178.613237766299,-2167.7533805055477,2871.8329761295927,True,False,-2173.520681908488,-2177.2912079347125,2880.99993095398,False,False,-2170.362009047284,-2170.3643977137267,2887.545355504989,False,False,-2195.716442522236,-2197.0010483846318,2903.9999221801763,False,False,-2189.863572454687,-2179.3003331601312,2910.499189168912,False,False,-2228.8977901396825,-2230.1137833542193,2933.4871667011325,False,False,-2218.4751581746496,-2205.0792172265183,2939.999908447266,False,False,-2212.7463016168963,-2210.6155377938076,2969.9998970031743,False,False,-2208.5437968028855,-2197.3686875324756,2976.653018545713,False,False,0.2749586249423921,2760.990134707461,0.25553400799966086,2781.0133586672982,-0.4052056099325137,2851.2792776361316,0.3464796260119823,2870.106999550857,0.17457071142326203,2887.4632885367596,0.33157103436870244,2905.043690561275,0.22073317324881506,2967.518746220586,0.24952166208823842,2967.5475347094252
6,0.6109328500024276,1786043897.6863267,0.011427300021750852,-2219.356192499312,-2210.640436164685,2763.8833307991968,False,False,-2197.171320720115,-2191.485337897729,2769.99997329712,False,False,-2235.01196319956,-2237.3495323532106,2806.7874952755337,False,False,-2221.6725204022373,-2208.0861142525296,2812.999956893921,False,False,-2215.650604425834,-2201.302280160162,2839.333767604304,True,False,-2184.6570422104714,-2184.4109744169696,2845.9999443054203,False,False,-2187.2905079927864,-2193.6554207292847,2864.999937057496,False,False,-2175.195716294281,-2173.276998960785,2871.8329761295927,False,True,-2175.4638888039854,-2176.1958461961667,2880.99993095398,False,False,-2176.455753889415,-2170.463208729407,2887.545355504989,False,False,-2195.0707124736373,-2194.5202478833635,2903.9999221801763,False,False,-2187.470043096861,-2179.245667390042,2910.499189168912,False,False,-2226.83528288046,-2234.095554298988,2933.4871667011325,False,False,-2216.885727603387,-2211.4177705779866,2939.999908447266,False,False,-2213.3914035516705,-2215.245022465385,2969.9998970031743,False,False,-2214.5800088638935,-2199.9366078796957,2976.653018545713,False,False,-0.07793858926321658,2760.6372374932553,0.25686719124200896,2781.0146918505407,-0.7604485853848469,2850.9240346606794,0.2696744192982626,2870.030194344143,0.312424614095416,2887.601142439432,0.21506077143816116,2904.9271802983444,0.1907942417607308,2967.4888072890976,0.4536065810505264,2967.7516196283877
7,0.7105986000096891,1786043897.7854278,0.011045999999623746,-2220.8874041018435,-2204.008319833726,2763.8833307991968,False,False,-2196.5288779533576,-2189.3818167924933,2769.99997329712,False,False,-2238.412030442889,-2235.286487147355,2806.7874952755337,False,False,-2227.583762264266,-2213.5363603019837,2812.999956893921,False,False,-2214.672598343369,-2202.7955420729286,2839.333767604304,True,False,-2186.1148898126357,-2183.6716890301677,2845.9999443054203,False,False,-2184.500455420729,-2195.811388574747,2864.999937057496,False,False,-2170.2901442675056,-2169.9904438059725,2871.8329761295927,False,False,-2172.058101292906,-2170.9861738545706,2880.99993095398,False,False,-2172.0531573799553,-2172.865096127395,2887.545355504989,False,False,-2191.8718510254607,-2193.756270440444,2903.9999221801763,False,False,-2188.7030488736737,-2183.7469511263257,2910.499189168912,False,False,-2232.609157318825,-2235.661877617141,2933.4871667011325,False,False,-2224.7262615765503,-2204.619136840175,2939.999908447266,False,False,-2216.1778448513005,-2211.031977259529,2969.9998970031743,False,False,-2208.0857703945962,-2199.76374056301,2976.653018545713,False,False,-0.25403731883339764,2760.461138763685,0.1765734221159988,2780.934398081414,-0.5072808061477448,2851.1772024399165,0.37691158880289416,2870.137431513648,-0.08749699923540567,2887.201220826101,0.19097400605596862,2904.9030935329624,0.3496201785623296,2967.6476332258994,0.0881290730981132,2967.386142120435
8,0.8219181500026025,1786043897.897404,0.012130499992053956,-2212.1534844270564,-2208.849096799829,2763.8833307991968,False,False,-2198.928573830119,-2184.9461518476637,2769.99997329712,False,False,-2235.8579087324633,-2234.308058501697,2806.7874952755337,False,False,-2227.8402543020447,-2202.89782834612,2812.999956893921,True,False,-2205.263949934285,-2200.8117110370754,2839.333767604304,False,False,-2182.7252819635055,-2185.5421875477577,2845.9999443054203,False,True,-2180.8743390286395,-2185.877640064798,2864.999937057496,False,False,-2171.0159061038603,-2165.9416893358193,2871.8329761295927,False,False,-2171.617199009689,-2170.470577986979,2880.99993095398,False,False,-2167.7823318152646,-2173.7911223522938,2887.545355504989,False,True,-2186.6710364642236,-2194.682622184185,2903.9999221801763,False,False,-2190.9623765932083,-2178.9709493535474,2910.499189168912,True,False,-2231.559247486017,-2227.809913806278,2933.4871667011325,True,False,-2222.6377418467464,-2207.700991839105,2939.999908447266,True,False,-2216.272757282147,-2211.2979995109577,2969.9998970031743,False,False,-2205.7684674633983,-2191.578526454137,2976.653018545713,False,False,0.28349544557820167,2760.998671528097,0.3793113227290925,2781.1371359820273,-0.39318249378104153,2851.2913007522834,0.33005100461596126,2870.090570929461,-0.3321125731080853,2886.956605252228,0.5587670387323708,2905.2708865656386,0.16946941664589105,2967.467482463983,0.25577260432033394,2967.5537856516576
9,0.9409615000040503,1786043898.0160413,0.011943399993469939,-2216.8926353271995,-2209.808026408289,2763.8833307991968,True,False,-2196.509861845524,-2193.477591160559,2769.99997329712,False,False,-2238.6780175443955,-2233.217813369197,2806.7874952755337,False,False,-2221.337585964483,-2203.1111425252925,2812.999956893921,False,False,-2206.3051746798305,-2204.5033774490325,2839.333767604304,False,False,-2184.2621618730323,-2181.1974264144023,2845.9999443054203,False,False,-2179.4165372742,-2190.355527707308,2864.999937057496,False,True,-2171.2965980988474,-2169.4608536846285,2871.8329761295927,False,False,-2171.57149341321,-2178.728590640951,2880.99993095398,False,False,-2166.9321866308037,-2173.190159550081,2887.545355504989,False,False,-2187.0076565699787,-2192.090793776936,2903.9999221801763,False,False,-2191.17710517468,-2178.306006051899,2910.499189168912,False,False,-2230.509337653208,-2233.752561359538,2933.4871667011325,True,True,-2222.3437509551613,-2206.0816593819727,2939.999908447266,True,False,-2212.224258030993,-2212.837162637162,2969.9998970031743,False,False,-2213.233557477764,-2190.8362731913076,2976.653018545713,False,False,-0.1054310534195223,2760.609745029099,0.2079846771509221,2780.965809336449,0.06977632669254291,2851.754259572757,0.41618188446535054,2870.1767018093105,0.040888957114737806,2887.3296067824513,0.502236194601999,2905.2143557215086,0.29418866476974226,2967.5922017121065,0.6356478675414237,2967.9336609148786
