block,n_samples,delta_f_mean_mhz,delta_f_std_mhz,delta_f_min_mhz,delta_f_max_mhz,f_new_mean_mhz,f_new_std_mhz,delta_B_proj_std_uT
1,527,0.1286503980383774,0.2639239847995781,-0.9531456048987492,1.7491032821181751,2744.6210279698557,0.2639239847995744,9.409273475619665
2,527,0.19137360952559912,0.07264935665926676,-0.0243236699282716,0.8989694762270638,2803.7010043702376,0.0726493566592718,2.5782437579510757
3,527,-0.1307617183135816,0.07222790333854455,-0.6207431219660965,0.3639325319082928,2835.7040200442175,0.07222790333853639,2.56375681600127
4,527,-0.009021141974500595,0.05450567554268309,-0.2827467968543578,0.2946271941277785,2867.3981093991683,0.054505675542689765,1.998524499457329
5,527,0.08940840813168792,0.05801422108693418,-0.1304986375667887,0.4324401021075096,2890.666438968467,0.05801422108693262,2.119966284001256
6,527,0.17357803349904075,0.06157429206058493,-0.1493946679390249,0.5119665618840307,2920.598490021872,0.06157429206057654,2.1840416648119247
7,527,-0.058250172426062834,0.04142321923887002,-0.2272441741770111,0.22886614294836,2949.032451739352,0.04142321923887849,1.4696958785675314
8,527,-0.4451665341559613,0.12160257741795674,-1.2569888065174426,0.6961614346962561,2996.5530726156408,0.12160257741795863,4.335299647840522
