save_id,timestamp_epoch_s,n_channels,n_solve_channels,selected_blocks,solver,rank,condition_number,residual_norm_uT,solve_residual_norm_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,status
000000,0.0069582000141963,8,8,all,weighted_lstsq,3,4.474373813169925,24.557640571711545,24.557640571711545,8.295324864663268,10.958834697773304,-7.343322260242849,ok
000001,0.1120754500152543,8,8,all,weighted_lstsq,3,4.474373813169925,24.34821154469349,24.34821154469349,4.059182812911492,2.1856112547463598,-8.43386004130037,ok
000002,0.2042698000004748,8,8,all,weighted_lstsq,3,4.474373813169925,26.15350138039871,26.15350138039871,-1.1589473742993455,8.83951426697537,-0.6999344477895192,ok
000003,0.3126260000135517,8,8,all,weighted_lstsq,3,4.474373813169925,29.11580518174272,29.11580518174272,10.231573182451465,-1.8748764532418059,-15.042129322953295,ok
000004,0.4127750000043306,8,8,all,weighted_lstsq,3,4.474373813169925,28.300960915577097,28.300960915577097,-0.3499199617054442,3.521949479543399,0.22883348923467633,ok
000005,0.524002100006328,8,8,all,weighted_lstsq,3,4.474373813169925,23.290247595538016,23.290247595538016,3.262821761134592,5.202355907407622,-5.693106035951294,ok
000006,0.6275877000007313,8,8,all,weighted_lstsq,3,4.474373813169925,23.245389045955996,23.245389045955996,9.151604283312288,8.732157970742167,-10.637137710366302,ok
000007,0.7338175500044599,8,8,all,weighted_lstsq,3,4.474373813169925,16.54177413889927,16.54177413889927,8.285397109805094,3.513458775409966,-6.351590071796358,ok
000008,0.848657850001473,8,8,all,weighted_lstsq,3,4.474373813169925,29.656274047664542,29.656274047664542,15.013532276225575,9.755768457354767,-12.759870741871248,ok
000009,0.9545983500138392,8,8,all,weighted_lstsq,3,4.474373813169925,20.118867861569996,20.118867861569996,13.341383135218567,5.24273724749061,-17.55405360071126,ok
000010,1.0659145500103475,8,8,all,weighted_lstsq,3,4.474373813169925,23.13020355926054,23.13020355926054,10.810269648284908,4.472801221883481,-11.646680110766528,ok
000011,1.1792748000007125,8,8,all,weighted_lstsq,3,4.474373813169925,29.250754896054424,29.250754896054424,12.087094772417167,13.114125424504419,-14.201455369891185,ok
000012,1.2914335500099696,8,8,all,weighted_lstsq,3,4.474373813169925,18.368156473579784,18.368156473579784,8.962124938285042,-0.12568988302301887,-12.629566046516143,ok
000013,1.4081612000009045,8,8,all,weighted_lstsq,3,4.474373813169925,17.934417804689723,17.934417804689723,6.603247154099226,1.6657004538575821,-6.426309259620068,ok
000014,1.5327300999924771,8,8,all,weighted_lstsq,3,4.474373813169925,26.020247499556906,26.020247499556906,6.814572424719392,-0.35211145993049214,-15.792580882731038,ok
