block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2629.9999887762733,3.999999839546491,2628.999989318848,-0.0005676524203920841
1,1,1,0,2629.9999887762733,3.999999839546491,2630.999988555908,0.0005676218786044851
2,0,2,1,2767.1431906550256,7.177157014640798,2763.9999378204348,-0.0019383754269038933
2,1,3,1,2767.1431906550256,7.177157014640798,2769.9999355316163,0.0023839562260082325
3,0,4,2,2804.9999241299233,4.000003596228736,2801.999923324585,-0.0015522894559930056
3,1,5,2,2804.9999241299233,4.000003596228736,2807.999921035767,0.0008351455485163806
4,0,6,3,2837.999911943186,4.000001151561871,2835.9999103546143,-0.0008832853763839354
4,1,7,3,2837.999911943186,4.000001151561871,2840.9999084472656,0.0006860165442273414
5,0,8,4,2879.5853858546675,2.0245359645038907,2877.999894332886,-0.004699236486897962
5,1,9,4,2879.5853858546675,2.0245359645038907,2880.9998931884766,0.0025072572116571212
6,0,10,5,2880.230870782617,3.8702059579980506,2877.999894332886,-0.004699236486897962
6,1,11,5,2880.230870782617,3.8702059579980506,2881.9998928070067,0.002510550443057369
7,0,12,6,2942.9998620672604,4.000001811602942,2941.999869918823,-0.0002560609695976823
7,1,13,6,2942.9998620672604,4.000001811602942,2943.999869155884,0.0008365365776784595
8,0,14,7,2974.4973981536536,7.895875727887341,2970.999858856201,-0.00222286643766495
8,1,15,7,2974.4973981536536,7.895875727887341,2976.9998565673827,0.002089515826063537
