block_index,point_in_block,point_index,transition_index,transition_center_mhz,linewidth_mhz,frequency_mhz,slope_per_mhz
1,0,0,0,2765.628974456798,11.483792989065677,2759.8870779622653,-0.001572328787078185
1,1,1,0,2765.628974456798,11.483792989065677,2771.3708709513307,0.0011761582698234768
2,0,2,1,2801.936076726226,13.49046445276422,2795.190844499844,-0.00047140092208685893
2,1,3,1,2801.936076726226,13.49046445276422,2808.681308952608,0.0007155815437557112
3,0,4,2,2841.9267902881998,14.645468268042578,2834.6040561541786,-0.0004228454923209982
3,1,5,2,2841.9267902881998,14.645468268042578,2849.249524422221,0.00038698734888782655
4,0,6,3,2872.715329041539,5.919821721566252,2869.755418180756,-0.0019169270963247346
4,1,7,3,2872.715329041539,5.919821721566252,2875.675239902322,0.002462117064361672
5,0,8,4,2881.030995505529,5.255789224570376,2878.403100893244,-0.003975865217095061
5,1,9,4,2881.030995505529,5.255789224570376,2883.6588901178143,0.0020320099047296206
6,0,10,5,2911.5454564899446,11.755106173890029,2905.6679034029994,-0.0006606097796608029
6,1,11,5,2911.5454564899446,11.755106173890029,2917.42300957689,0.0004188832526767502
7,0,12,6,2946.526108145655,10.397917554440332,2941.327149368435,-0.0009198188987481556
7,1,13,6,2946.526108145655,10.397917554440332,2951.725066922875,0.0007865581453855783
8,0,14,7,2976.7145811572636,10.162876426314392,2971.6331429441066,-0.001739203653535847
8,1,15,7,2976.7145811572636,10.162876426314392,2981.7960193704207,0.0014432875178347624
