block,n_samples,delta_f_mean_mhz,delta_f_std_mhz,delta_f_min_mhz,delta_f_max_mhz,f_new_mean_mhz,f_new_std_mhz,delta_B_proj_std_uT
1,348,-0.5387481653880294,0.3077099882253845,-1.3679264646272205,2.114015845300597,2763.448595360613,0.3077099882253731,10.951007924212659
2,348,-0.4153120603312575,0.19235188128560815,-1.8151716719899624,-0.1365925631247861,2763.5720314656696,0.19235188128562128,6.845559314938534
3,348,-0.03396843932545916,0.21800968105633217,-0.6716492046682534,1.6197716112697844,2769.5710020693996,0.2180096810563274,7.754906849050583
4,348,0.15045020349341334,0.23635289264464754,-0.7072881679519877,1.2156072377560485,2870.515674220776,0.23635289264465437,8.92989672353085
5,348,-0.5423663211968631,0.09608428250252607,-1.1133178340697234,-0.1384585389118155,2882.4399221359695,0.09608428250251724,4.7731769224277105
6,348,-0.6335864160217858,0.08897120074520568,-1.052039303736036,-0.1741229392841179,2882.3487020411444,0.08897120074519017,4.419820506507232
7,348,-0.021632528207793718,0.32927340680126765,-1.116051743647803,1.953669937205526,2976.8937710665855,0.32927340680127704,11.712156389144818
8,348,-0.5296770611407504,0.1050327038429683,-1.3508395299829428,-0.132508063389038,2976.3857265336524,0.1050327038429561,3.735981794989102
