block,n_samples,delta_f_mean_mhz,delta_f_std_mhz,delta_f_min_mhz,delta_f_max_mhz,f_new_mean_mhz,f_new_std_mhz,delta_B_proj_std_uT
1,416,0.9045650471965824,1.085039063108974,-3.467492193037225,4.6301678255520216,2760.103985457614,1.0850390631089877,38.621202740180664
2,416,0.3129071355170207,0.13219882699092192,-0.6195480194919201,0.6100362997967781,2774.1931247880957,0.13219882699092833,4.699554243549192
3,416,-0.15384645127779242,0.4462222138774803,-1.0864397532354024,2.7992517971843953,2854.868654467024,0.44622221387748884,15.923335168008437
4,416,0.08861403810786557,0.11587665896530233,-0.7058117537859654,0.5537971971308219,2868.2863977025418,0.11587665896530956,4.272729969550747
5,416,0.07052116988373815,0.16725508681133436,-0.4026628307055498,1.2491586109443231,2902.8877763626974,0.16725508681133985,5.959298638006894
6,416,0.3321801107288839,0.33690124168406327,-0.4076089923910239,3.0862696339016957,2974.4346378327764,0.336901241684057,11.975668696071663
7,416,0.08706708026837232,0.10862031584402092,-0.4963625480797123,0.9143152025608218,2985.9267459609714,0.10862031584402086,3.8661633409717675
8,416,-0.38326418049393257,0.5698526703652373,-4.161375012809757,1.708419028140313,2985.4564147002093,0.5698526703652392,20.282978251367542
