save_id,timestamp_epoch_s,n_channels,rank,condition_number,residual_norm_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,status
000000,0.006570604047738,8,3,12.740637513430219,663348.8474827023,-187974.8807339634,-220976.62270329046,208925.85930498486,ok
000001,0.0952811455354094,8,3,12.740637513430219,947559.8262467597,66449.03973019517,-714582.555702386,-97680.35821969234,ok
000002,0.161812687641941,8,3,12.740637513430219,767914.3151396923,-140690.49834606904,-282179.60532886843,104403.7701294869,ok
000003,0.2373346041422337,8,3,12.740637513430219,769941.0935913777,-136529.949662415,-306922.4538801031,97782.29427901469,ok
000004,0.3043687910540029,8,3,12.740637513430219,576676.9171159151,-152955.89315790814,-221194.74319147132,130579.88167670698,ok
000005,0.385279749520123,8,3,12.740637513430219,577442.2777432397,-148620.64789379376,-246976.5150582125,123680.37778795634,ok
000006,0.4543556455755606,8,3,12.740637513430219,623226.1416671538,-192546.358777938,-191540.5124780644,181828.90205325597,ok
000007,0.5496064166072756,8,3,12.740637513430219,959617.236219113,86275.313463793,-787816.4472760923,-198476.59910881688,ok
000008,0.6405480204848573,8,3,12.740637513430219,624603.993525611,-199113.40207331625,-233912.01897831523,190085.97928527222,ok
000009,0.7105817915871739,8,3,12.740637513430219,521636.15299481753,-206109.69789728356,-198825.9491532701,216420.83317717613,ok
000010,0.7781360831577331,8,3,12.740637513430219,603980.2414844414,-86095.76619525025,-290549.2428603673,112659.14043115103,ok
000011,0.8488282915204763,8,3,12.740637513430219,595995.4937733423,-79136.90196133213,-331933.71806309855,101584.17052330352,ok
000012,0.915137916104868,8,3,12.740637513430219,319176.5562492865,-159538.45293630956,-204397.46462875794,167701.06037674038,ok
000013,0.9823657495435328,8,3,12.740637513430219,318685.387509559,-159407.78320986364,-205174.55955000845,167493.100681076,ok
000014,1.048041541595012,8,3,12.740637513430219,530202.6590479915,-187775.3099595407,-220354.009692982,226116.98488879492,ok
000015,1.1170159371104091,8,3,12.740637513430219,519451.99764857773,-179527.04080405392,-269406.59627268877,212989.9386326548,ok
000016,1.185352958040312,8,3,12.740637513430219,599087.927772591,-202920.5548446196,-206401.66435032047,240156.56569051326,ok
000017,1.2522045001387596,8,3,12.740637513430219,594268.0144504647,-191933.37070917603,-271742.6214543355,222670.56085096978,ok
000018,1.320298562059179,8,3,12.740637513430219,607355.4761933663,-156891.3625340416,-287389.1332927709,209373.1367838847,ok
000019,1.389957229141146,8,3,12.740637513430219,601270.1818603142,-149404.8622560305,-331911.4683601056,197458.43885229668,ok
000020,1.4640479165827855,8,3,12.740637513430219,593154.1410948402,-177104.96459547916,-212467.87068843594,159719.93242471325,ok
000021,1.5600336875068024,8,3,12.740637513430219,726705.663385744,-180393.75213073133,-272555.08056559163,192312.39387710718,ok
000022,1.6394004580797628,8,3,12.740637513430219,590320.9002691394,-221079.66393416512,-86317.01953991028,238692.63522802922,ok
000023,1.7124238121323287,8,3,12.740637513430219,658937.5180155145,-225245.7381348655,-196924.23581148428,220970.1249234521,ok
000024,1.7800955416169018,8,3,12.740637513430219,758678.2219293241,-176216.6266587833,-359733.7238936829,161589.32845324813,ok
000025,1.8458671665284785,8,3,12.740637513430219,756123.9450906756,-168483.51012269704,-405722.68973204924,149282.14296260476,ok
000026,1.9135259580798447,8,3,12.740637513430219,714078.5806994706,-178806.47500277314,-310312.89672896615,185188.77215120697,ok
000027,1.9817188541637736,8,3,12.740637513430219,708298.4362431426,-166535.2767650423,-383289.90592278435,165659.27040382446,ok
000028,2.053685416583903,8,3,12.740637513430219,637476.332623618,-194438.38666931362,-189650.0038204605,157881.70689736848,ok
000029,2.119082541554235,8,3,12.740637513430219,644116.927203899,-181092.17375825267,-195788.39230840365,191876.9285470414,ok
000030,2.183531312039122,8,3,12.740637513430219,636523.9538894169,-172582.07657256335,-246398.07430757437,178333.18533317154,ok
