packet,rep_index,reps_averaged,time_s,timestamp_epoch_s,peak_01,peak_01_freq_mhz,peak_01_ref,peak_02,peak_02_freq_mhz,peak_02_ref,peak_03,peak_03_freq_mhz,peak_03_ref,peak_04,peak_04_freq_mhz,peak_04_ref,peak_05,peak_05_freq_mhz,peak_05_ref,peak_06,peak_06_freq_mhz,peak_06_ref,peak_07,peak_07_freq_mhz,peak_07_ref,peak_08,peak_08_freq_mhz,peak_08_ref,peak_09,peak_09_freq_mhz,peak_09_ref,peak_10,peak_10_freq_mhz,peak_10_ref,peak_11,peak_11_freq_mhz,peak_11_ref,peak_12,peak_12_freq_mhz,peak_12_ref,peak_13,peak_13_freq_mhz,peak_13_ref,peak_14,peak_14_freq_mhz,peak_14_ref,peak_15,peak_15_freq_mhz,peak_15_ref,peak_16,peak_16_freq_mhz,peak_16_ref
1,0,1,0.0034080208333333336,1787091513.288547,1749.291545679616,2752.999979782105,1791.2695999021914,1744.7174251917963,2758.9037812114784,1797.3758596448329,1729.9527615612678,2793.9999641418462,1783.8665525567749,1737.4906317816426,2800.3997641490664,1784.7275422563193,1761.3993031145887,2822.673903726525,1788.880795916496,1754.4177491823823,2828.999950790406,1775.9812177155607,1764.0507228657884,2861.999938201905,1777.7606443133539,1757.9701836965492,2868.0452774028267,1774.8585444875753,1759.7192591007733,2884.999929428101,1785.2113732921723,1771.785585475441,2890.981848871031,1781.7520860714612,1771.615444570101,2920.999915695191,1798.7022954427362,1759.1546290919093,2927.835990574429,1780.3797414188343,1720.703181832075,2944.305061938584,1774.026377724119,1729.8106336155515,2950.999904251099,1782.9992511538344,1743.5213344744323,2979.999893188477,1785.5995506923007,1746.780068465935,2986.7866456523816,1789.7605373353304
1,1,1,0.0102240625,1787091513.288547,1750.678485191185,2752.999979782105,1788.9436072989577,1753.6760858269402,2758.9037812114784,1794.7958706482868,1715.6440382675673,2793.9999641418462,1787.1754745239477,1723.1827643121312,2800.3997641490664,1786.6472934560015,1758.1071461319802,2822.673903726525,1788.5808448207354,1760.299920530611,2828.999950790406,1788.539749977076,1771.5764128740411,2861.999938201905,1787.7133600268974,1762.614665158786,2868.0452774028267,1780.4768621817404,1774.7165846501819,2884.999929428101,1785.5737231408748,1760.0949353547085,2890.981848871031,1792.703181832075,1764.1314607085,2920.999915695191,1792.9679065929029,1777.0065409420179,2927.835990574429,1791.748372405783,1731.239370969221,2944.305061938584,1783.8544029098023,1737.7589632301251,2950.999904251099,1796.7407769661033,1749.664944829905,2979.999893188477,1780.5131582969098,1742.781352202219,2986.7866456523816,1797.754332609958
1,2,1,0.017040104166666667,1787091513.288547,1750.6315829690986,2752.999979782105,1802.5796986276248,1750.6124186202892,2758.9037812114784,1788.3528899348962,1724.6251490051043,2793.9999641418462,1788.6294434086255,1732.8025949812024,2800.3997641490664,1787.6605892960847,1769.0574013509797,2822.673903726525,1788.250756487453,1749.954030014977,2828.999950790406,1789.3560687104564,1765.4255891432588,2861.999938201905,1779.7638383714889,1764.408289268576,2868.0452774028267,1780.9901580218236,1762.0605801265397,2884.999929428101,1793.083503988752,1771.6011400800808,2890.981848871031,1784.790353638781,1764.2632881987956,2920.999915695191,1792.9487880918177,1765.2862273435828,2927.835990574429,1785.5452822691568,1728.525414921906,2944.305061938584,1780.6706910780329,1727.420240242076,2950.999904251099,1791.7034722009964,1747.9337500382064,2979.999893188477,1781.5503866491426,1734.2389889048507,2986.7866456523816,1789.2392639911973
1,3,1,0.023856145833333335,1787091513.288547,1742.4398325029802,2752.999979782105,1789.4588287434667,1740.275468410918,2758.9037812114784,1780.4817220405293,1711.7435278295686,2793.9999641418462,1782.7379496897638,1724.9385946144207,2800.3997641490664,1796.6431213130788,1754.8271540789192,2822.673903726525,1784.295534431641,1755.8235321086897,2828.999950790406,1774.9219518904545,1746.4850689244124,2861.999938201905,1771.7797780970138,1752.8153559311672,2868.0452774028267,1779.3099764648348,1759.9280037900785,2884.999929428101,1779.3468227526973,1752.2262279548859,2890.981848871031,1772.5879817831708,1753.1801051441146,2920.999915695191,1776.8013112449185,1747.932420454198,2927.835990574429,1771.6657700889446,1701.3821255005043,2944.305061938584,1775.8554726900388,1723.6052205275546,2950.999904251099,1782.7824372650305,1739.6442522236146,2979.999893188477,1774.5297093254271,1739.2314087477457,2986.7866456523816,1788.5930097502828
1,4,1,0.030672187500000003,1787091513.288547,1740.1209768621818,2752.999979782105,1785.0086193721918,1735.8054681052663,2758.9037812114784,1787.2714643763181,1708.463841428004,2793.9999641418462,1772.0703609744169,1725.1343338325642,2800.3997641490664,1776.1669621297797,1755.1146498762112,2822.673903726525,1788.6964727817342,1754.3785035302749,2828.999950790406,1776.8810098725432,1757.2499159458387,2861.999938201905,1775.092918054834,1751.754653544029,2868.0452774028267,1757.9712076290614,1737.2883363389064,2884.999929428101,1770.5375645688785,1759.0835192713268,2890.981848871031,1778.6878534095424,1771.8271999266437,2920.999915695191,1777.8873827062384,1765.9021303909283,2927.835990574429,1789.1385212580615,1726.0060060518997,2944.305061938584,1791.0204328025186,1725.575541767277,2950.999904251099,1786.902940367393,1750.6099122780206,2979.999893188477,1783.458324418498,1743.1766818473577,2986.7866456523816,1770.922624323746
1,5,1,0.03748822916666667,1787091513.288547,1735.6881437784639,2752.999979782105,1776.674420026286,1740.155530763823,2758.9037812114784,1780.5144573157686,1718.3896750924596,2793.9999641418462,1793.067885197298,1738.6538343980194,2800.3997641490664,1783.9720023229513,1759.508053916924,2822.673903726525,1796.7152245010238,1762.6412874041018,2828.999950790406,1790.3970107283676,1764.9012134364398,2861.999938201905,1774.3127120457254,1759.7312712045725,2868.0452774028267,1785.935935446404,1775.0500962802214,2884.999929428101,1790.9855426842314,1759.7167527585048,2890.981848871031,1783.8452333649172,1767.8961243390286,2920.999915695191,1788.753232264572,1771.2416939205918,2927.835990574429,1801.9611669774124,1738.6658006540943,2944.305061938584,1793.4969434850384,1739.5128832105634,2950.999904251099,1783.3259467555094,1745.9942079041477,2979.999893188477,1781.6473851514504,1746.9559861845523,2986.7866456523816,1786.3999144175812
1,6,1,0.04430427083333334,1787091513.288547,1749.1964422165847,2752.999979782105,1787.0835192713268,1740.5549561390103,2758.9037812114784,1789.571950362197,1727.858895986796,2793.9999641418462,1795.7786777516276,1720.1312161873032,2800.3997641490664,1785.10120121038,1769.9950178806125,2822.673903726525,1798.5401167588716,1753.660390622612,2828.999950790406,1787.4807439557417,1774.3693798331142,2861.999938201905,1802.900158938778,1776.3240822813827,2868.0452774028267,1780.6750160467036,1772.4963780297705,2884.999929428101,1787.4008619372191,1772.7712962679952,2890.981848871031,1790.7966347770273,1777.8223247852798,2920.999915695191,1800.688602255708,1777.5676101109516,2927.835990574429,1790.8966286639973,1739.7536754592413,2944.305061938584,1795.9372650304124,1739.6127242717853,2950.999904251099,1797.7983922731303,1757.940566066571,2979.999893188477,1787.2940061741601,1743.7736039367912,2986.7866456523816,1777.7050004584773
1,7,1,0.05112031250000001,1787091513.288547,1739.3567258611731,2752.999979782105,1787.0165968762417,1753.4395879817832,2758.9037812114784,1783.861280068466,1724.5467799614878,2793.9999641418462,1784.9018400220068,1724.144634287985,2800.3997641490664,1778.0473606993305,1751.7447962832778,2822.673903726525,1787.744460066632,1762.6349298529817,2828.999950790406,1780.7448726961518,1756.6767582602317,2861.999938201905,1774.669881101568,1757.9401992847754,2868.0452774028267,1785.5662193966439,1771.547574655378,2884.999929428101,1789.3444386710273,1776.8807042210472,2890.981848871031,1788.8193752483419,1776.9277134211573,2920.999915695191,1798.7601858361097,1770.9059051869058,2927.835990574429,1796.6206100803863,1727.2100742733135,2944.305061938584,1784.8614481767888,1736.9271938136137,2950.999904251099,1794.5811657548063,1740.892899715744,2979.999893188477,1782.2610110951493,1744.3829354769691,2986.7866456523816,1788.6339517681938
1,8,1,0.05793635416666667,1787091513.288547,1734.8225845890515,2752.999979782105,1785.0498059113,1744.6359232203442,2758.9037812114784,1791.7134822874957,1716.0371672219335,2793.9999641418462,1787.8866491426475,1719.2473484732707,2800.3997641490664,1771.8706941345479,1757.039276217257,2822.673903726525,1782.296252712657,1755.8436286945625,2828.999950790406,1780.1062444600666,1754.3261454289818,2861.999938201905,1783.3669957514442,1758.2423357887337,2868.0452774028267,1771.8965522511232,1746.7588104043768,2884.999929428101,1766.5483846318427,1751.0842986826422,2890.981848871031,1771.6322859675397,1767.3145918024268,2920.999915695191,1775.1794174282484,1763.4598832411284,2927.835990574429,1790.6911391631263,1726.3184735764282,2944.305061938584,1774.2969557110982,1713.626371611089,2950.999904251099,1785.8022893297064,1738.3151572576949,2979.999893188477,1776.792095852309,1732.1071155668308,2986.7866456523816,1785.993856404927
1,9,1,0.06475239583333334,1787091513.288547,1743.0793165632547,2752.999979782105,1776.7276033866185,1723.4821958003483,2758.9037812114784,1771.170370143962,1714.2601399883852,2793.9999641418462,1780.8672861203656,1720.4243206895499,2800.3997641490664,1774.482226365498,1764.9936882966042,2822.673903726525,1781.3265122107773,1757.9918085399029,2828.999950790406,1781.345111104319,1759.2135128526454,2861.999938201905,1787.7241953724363,1771.1248280710333,2868.0452774028267,1778.9059663172052,1763.6738087232936,2884.999929428101,1779.541278234557,1764.9807439557417,2890.981848871031,1786.3693339853899,1772.6020111868447,2920.999915695191,1795.3303634196288,1775.1430754653545,2927.835990574429,1786.9136381697588,1732.1575633462726,2944.305061938584,1788.8701286792798,1735.0034691444814,2950.999904251099,1789.8271999266437,1750.1640431579913,2979.999893188477,1784.3564354922516,1739.8519882629826,2986.7866456523816,1788.5492710211815
