file,mode,n_rows,n_batches,samples_per_batch,duration_s,period_ms_p05,period_ms_median,period_ms_p95,period_ms_max,acq_ms_median,acq_ms_p95,python_gap_ms_median,python_gap_ms_p95,python_gap_ms_max,rate_hz_slow,rate_hz_median,rate_hz_fast,stale_fraction,sigma_shift_khz,mad_shift_khz
twopoint_lockin_live_20260806_135417.csv,averaged,944,944,1.0,10.629835400002776,10.210719984024763,11.351299996023911,12.08842999767512,25.354400015203282,11.3028499908978,11.988359990937106,0.046500004828070374,0.11595998366832204,13.641700003063383,82.72372840743775,88.09563665397584,97.93628672263615,0.0,251.50645106493485,258.7071615211089
twopoint_lockin_live_20260806_135834.csv,averaged,1060,1060,1.0,12.164806450004107,10.276259994134307,11.36889998451629,11.93495001061824,219.3871999916155,11.3247000117553,11.850265008979454,0.04380001337273676,0.10883001086769714,23.06119998683979,83.7875315028822,87.95925739182644,97.31166791914572,0.0,73.36181387122008,81.76682494515465
twopoint_lockin_live_20260806_140214.csv,averaged,921,921,1.0,10.389606049997385,9.985129986307584,11.018300006981118,11.781424981018063,218.61449998687016,10.9667000069748,11.7115000030025,0.040449987865073034,0.08250498794954612,10.710800008384446,84.87937593382591,90.7581023720907,100.14892158352276,0.0,94.28041353396922,101.73727154528967
twopoint_lockin_live_20260806_142215.csv,averaged,1959,1959,1.0,22.24285650000093,10.276990002602737,11.453599989182273,12.047730002086876,42.10809999495169,11.3852999929804,11.935779993655151,0.05050000618213346,0.12612999998970612,30.678399984029888,83.00318813807934,87.30879382416731,97.30475555067595,0.0,100.90002404809505,111.29336873403
twopoint_lockin_live_20260806_142358.csv,burst,105500,211,500.0,26.974471701711852,13.79330999043304,116.8062000069785,220.46108499489492,1200.8257000124977,16.6496000019833,214.62330000940705,4.661750004743271,6.61180500028344,989.2675000010022,4.535947920346833,8.561189388407941,72.49891437904276,0.5023696682464455,263.1409585668461,234.84485165447362
twopoint_lockin_live_20260806_142443.csv,burst,33000,66,500.0,7.891875037709775,14.031919999979436,170.33649998484182,218.8166400010232,455.87189999059774,88.3420499885687,214.71465000649908,4.680099984398231,6.907339999452283,243.89660000451843,4.570036355531847,5.87073234502875,71.26608475543372,0.5,263.31786056960374,232.6941246703817
twopoint_lockin_live_20260806_143117.csv,averaged,2524,2524,1.0,28.866430199996103,10.335130000021309,11.463600007118657,12.173850004910491,41.01210000226274,11.40264999412465,12.096279997785995,0.047499983338685325,0.11950000771642148,29.250200022943343,82.14328249457945,87.23263192880253,96.75737025058594,0.0,102.5303432916315,115.41175269494856
twopoint_lockin_live_20260806_143229.csv,averaged,1576,1576,1.0,17.95791975001339,10.295029985718429,11.460000008808535,12.157340015982676,36.08559997519478,11.3912000088021,12.0551250001881,0.05849997978659083,0.12108999071898817,24.345399986486882,82.25483524235956,87.260034836943,97.13424840794342,0.0006345177664974619,93.85306114673398,93.76194246738267
twopoint_lockin_live_20260806_143310.csv,averaged,1475,1475,1.0,16.85260629998811,10.228579984686803,11.399449984310195,11.934574994666036,218.44450000208047,11.3447000039741,11.824209999758699,0.04869999247590773,0.12427000474423247,18.48299999255687,83.79016432901328,87.72353064194897,97.76528134864263,0.0,109.74525067648828,119.95081885750747
twopoint_lockin_live_20260806_144106.csv,averaged,1735,1735,1.0,19.96577100000286,10.300884992466308,11.433249994298372,12.283084989758208,217.1000000089407,11.3820999977178,12.18146000173867,0.0453999964556262,0.11449999874458153,24.700300011316465,81.4127721849855,87.46419438905721,97.07903745468118,0.0,85.13232996510692,92.17825972476133
twopoint_lockin_live_20260806_144552.csv,averaged,1541,1541,1.0,17.546642049986986,10.256760015909094,11.457349988631933,12.190620010369457,26.932100008707494,11.3939000002574,12.063900008797601,0.0501000031372687,0.12470998917708558,15.380099997855794,82.03028222923777,87.28021758890209,97.4966752121446,0.0,95.8987418625887,99.88566847511355
twopoint_lockin_live_20260806_144625.csv,averaged,2388,2388,1.0,27.31678439998359,10.155999995184928,11.431599996285513,12.160009992658159,219.78500002296465,11.3708499993663,12.078395002754359,0.045299995690665895,0.1216399949044449,33.14970000064932,82.23677452598882,87.47681867148356,98.46396223652137,0.0,80.7498865384093,87.28141917230568
twopoint_lockin_live_20260806_144936.csv,averaged,2357,2357,1.0,27.192291750005097,10.257899994030595,11.42769999569282,12.206800005512441,219.47119999094866,11.3694999890867,12.095359998056637,0.04559999797497394,0.1192999843624718,26.487299997825197,81.92155188488483,87.50667241675114,97.48584023844379,0.0,95.0080290650408,104.51268966477403
twopoint_lockin_live_20260806_145051.csv,burst,44000,44,1000.0,9.952032843688562,15.925999989849515,168.69590000715107,436.3613399880707,438.36490000830963,90.9888000169303,428.62830501107965,8.02429998293519,10.328130016569038,266.7006999836304,2.2916787266886156,5.92782634289043,62.79040566604,0.5227272727272727,258.50063723608343,252.71913233965364
twopoint_lockin_live_20260806_145144.csv,burst,14000,14,1000.0,3.142652341503883,15.829140006098541,413.61889999825513,437.6850200002082,437.9374999844008,207.83689999370836,428.5308799881022,7.480600004783128,11.6523000004236,11.708100006217137,2.284748059231098,2.4176844917004967,63.17462601346169,0.5,236.94243272998858,220.77995672166523
twopoint_lockin_live_20260806_145344.csv,averaged,1885,1885,1.0,21.603770100002293,10.311670016380925,11.419200003729202,12.083515017002355,216.74840000923723,11.363700003130301,11.985580000327879,0.04785000055652233,0.12490001972771222,20.034600020153505,82.75737635885996,87.57180885468571,96.97750203521048,0.0,90.8336105642118,96.70401948823377
