file,common_mode_ptp,common_mode_ptp_percent,difference_ptp,sigma_difference,rejection_ratio
twopoint_lockin_live_20260806_135417.csv,0.01804567803393975,1.8636302746477529,0.004077002152666525,0.0013795954557635358,4.426212535143535
twopoint_lockin_live_20260806_135834.csv,0.011515028174698516,1.0767625529198963,0.0057693466560743804,0.0021500772105106296,1.9958981252365329
twopoint_lockin_live_20260806_140214.csv,0.017989723723466966,1.8243356449926489,0.0070958286389861,0.00276315644120721,2.535253405730139
twopoint_lockin_live_20260806_142215.csv,0.05804463412261174,5.404272141834858,0.010391209737102811,0.004182418265976634,5.585936150952454
twopoint_lockin_live_20260806_142358.csv,0.00857590811956177,0.7792912557552523,0.006541057213826584,0.010907485523610864,1.311088993600895
twopoint_lockin_live_20260806_142443.csv,0.009640896761112572,0.8802754320484137,0.008411711078595908,0.01091481830846004,1.1461279008553205
twopoint_lockin_live_20260806_143117.csv,0.01864146998074334,1.5361649250054328,0.0089806307132278,0.004249996812640705,2.0757417352977052
twopoint_lockin_live_20260806_143229.csv,0.15812460476315682,13.596969868208106,0.0135809955110497,0.003890313812718391,11.643079083157364
twopoint_lockin_live_20260806_143310.csv,0.015201777488693446,1.313969095060709,0.013245811477168058,0.00454906275160789,1.1476667560078828
twopoint_lockin_live_20260806_144106.csv,0.011228857469652187,1.0343808821840628,0.005922614136890063,0.002395704349628721,1.895929265374767
twopoint_lockin_live_20260806_144552.csv,0.011944467590941477,1.1630613529718912,0.009632738636575742,0.0026986813716750315,1.2399866789272205
twopoint_lockin_live_20260806_144625.csv,0.13789615847250225,13.371139671187088,0.004238282301771073,0.0022723782432758854,32.535859731400826
twopoint_lockin_live_20260806_144936.csv,0.013329719073103874,1.3005959978553214,0.004527546574696664,0.003153627412796136,2.9441373717943335
twopoint_lockin_live_20260806_145051.csv,0.020667590676955117,1.8229029115015727,0.010996390092900609,0.00858048213225124,1.879488677861505
twopoint_lockin_live_20260806_145144.csv,0.1291652676227062,11.433278588635337,0.011405376600042656,0.007864894772213025,11.32494543163293
twopoint_lockin_live_20260806_145344.csv,0.008176470308278283,0.810853891252859,0.005383920117085989,0.0030150648013384726,1.5186834370610505
