file,timestamp,bias_v,repeat,bias_label,is_labeled_bias,n_points,freq_min_mhz,freq_max_mhz,signal_bright_p90_adc,signal_dark_p10_adc,signal_median_adc,reference_bright_p90_adc,reference_median_adc,signal_min_adc,signal_dip_depth_adc,signal_dip_depth_percent,signal_dip_transmission_percent,freq_at_signal_min_mhz,signal_ptp_adc,signal_ptp_percent_of_bright,quick_method,quick_error,quick_eta_white_nT,quick_eta_baseline_nT,quick_n_clean,robust_method,robust_error,robust_eta_white_nT,robust_eta_baseline_nT,robust_slope_adc_per_mhz,robust_noise_white_adc,robust_noise_baseline_adc,robust_n_clean,robust_f_at_slope_mhz,robust_n_lines
odmr_sweep_20260707_112045_0.44VBias_1.csv,20260707_112045,0.44,1,0.44 V,True,351,2700.0000000000005,3049.999866485596,16532.03986383226,16472.515857199625,16523.70832518263,16527.695241770336,16520.32793425436,15735.677318366597,796.3625454656612,4.8170858044438445,95.18291419555617,2866.999936294556,801.94014961641,4.850823952891885,quick_signal_default_guard_18,,12.804296551415609,18.128290714711643,288.0,signal_guard_18,,12.804296551415609,18.128290714711643,142.51489987698957,3.5009364358249146,4.9566169627134915,288.0,2864.1544631343104,2.0
odmr_sweep_20260707_112105_0.44VBias_2.csv,20260707_112105,0.44,2,0.44 V,True,351,2700.0000000000005,3049.999866485596,16517.245285325673,16461.73470672739,16508.393424672187,16511.420293731084,16505.170641409666,15723.634427820396,793.6108575052767,4.804741007329716,95.19525899267028,2866.999936294556,801.2859155790629,4.851207945013356,quick_signal_default_guard_18,,10.44102595621661,15.574467524836365,274.0,signal_guard_18,,10.44102595621661,15.574467524836365,140.2185031831169,2.8087735825400673,4.189737017159947,274.0,2864.1344598080523,2.0
odmr_sweep_20260707_112130_0.44VBias_3.csv,20260707_112130,0.44,3,0.44 V,True,351,2700.0000000000005,3049.999866485596,16494.553400372894,16444.042963902557,16488.94496744812,16491.191042882903,16485.729025430202,15703.689002659168,790.8643977137253,4.7947002778253225,95.20529972217467,2866.999936294556,795.2136488675606,4.821068079658241,quick_signal_default_guard_18,,11.227760761630682,14.674899409808022,281.0,signal_guard_18,,11.227760761630682,14.674899409808022,139.61766538878345,3.0074731000353196,3.930825224878757,281.0,2864.1544631343104,2.0
odmr_sweep_20260707_112159_0.45VBias_1.csv,20260707_112159,0.45,1,0.45 V,True,351,2700.0000000000005,3049.999866485596,16476.02957483877,16423.631521074672,16470.006341504417,16470.686409206224,16467.043361249504,15682.74358819574,793.2859866430281,4.81478855715632,95.18521144284368,2866.999936294556,796.8411299935815,4.836366227519225,quick_signal_default_guard_18,,9.027013600316275,11.025665275376975,274.0,signal_guard_18,,9.027013600316275,11.025665275376975,141.48365124546936,2.4502961940659795,2.992811006771396,274.0,2864.16446479744,2.0
odmr_sweep_20260707_112219_0.45VBias_2.csv,20260707_112219,0.45,2,0.45 V,True,351,2700.0000000000005,3049.999866485596,15674.46316364581,15621.97620579515,15668.81084680747,15668.746545373966,15665.257839960881,14905.418041079558,769.0451225662528,4.906357012276626,95.09364298772338,2866.999936294556,772.5371259589883,4.928635308868209,quick_signal_default_guard_18,,9.349199476518761,12.486223666667577,274.0,signal_guard_18,,9.349199476518761,12.486223666667577,135.58154285068602,2.4318860828180777,3.247879525748362,274.0,2864.16446479744,2.0
odmr_sweep_20260707_112234_0.45VBias_3.csv,20260707_112234,0.45,3,0.45 V,True,351,2700.0000000000005,3049.999866485596,15663.30072210166,15613.101621481186,15657.49889583397,15658.19427438335,15653.360978237612,14896.31675046612,766.98397163554,4.896694414819536,95.10330558518046,2866.999936294556,772.5315164898984,4.932111884947851,quick_signal_default_guard_18,,9.984340405541134,12.607807893283876,278.0,signal_guard_18,,9.984340405541134,12.607807893283876,135.34139316087936,2.5924969354209573,3.273696809012503,278.0,2864.1544631343104,2.0
odmr_sweep_20260707_112300_0.46VBias_1.csv,20260707_112300,0.46,1,0.46 V,True,351,2700.0000000000005,3049.999866485596,15662.730522358406,15612.58006388116,15657.78302335177,15658.197559372802,15653.92610416603,14891.4437333802,771.2867889782065,4.924344371993131,95.07565562800687,2866.999936294556,774.3890026591689,4.944150712123506,quick_signal_default_guard_18,,9.521094206659656,12.062661984235604,273.0,signal_guard_18,,9.521094206659656,12.062661984235604,135.52676742402988,2.4755982762478954,3.136436271604906,273.0,2864.1444614711813,2.0
odmr_sweep_20260707_112324_0.46VBias_2.csv,20260707_112324,0.46,2,0.46 V,True,351,2700.0000000000005,3049.999866485596,14763.61513051319,14712.125440138154,14758.16259513403,14758.368789161603,14754.945411406914,14021.57910566372,742.036024849469,5.026113308222466,94.97388669177754,2866.999936294556,746.6528463795585,5.057384927600754,quick_signal_default_guard_18,,9.396594016188702,11.629266357729616,273.0,signal_guard_18,,9.396594016188702,11.629266357729616,131.3862273866481,2.3685826052862766,2.9313683191701396,273.0,2864.174466460569,2.0
odmr_sweep_20260707_112342_0.46VBias_3.csv,20260707_112342,0.46,3,0.46 V,True,351,2700.0000000000005,3049.999866485596,14756.857749029554,14709.620597090197,14752.655104379985,14755.055927346639,14750.41966638139,14017.671229024665,739.1865200048887,5.0091051399712745,94.99089486002872,2866.999936294556,743.3901465598938,5.037591059036812,quick_signal_default_guard_18,,9.605018331548123,11.502866310070745,270.0,signal_guard_18,,9.605018331548123,11.502866310070745,130.76542121805926,2.4096798428702977,2.885806577960141,270.0,2864.174466460569,2.0
odmr_sweep_20260707_112418_0.47VBias_1.csv,20260707_112418,0.47,1,0.47 V,True,351,2700.0000000000005,3049.999866485596,14808.945957758964,14756.347936088272,14804.412686829475,14806.668093804445,14801.791446342879,14064.453965828163,744.4919919308013,5.02731250457926,94.97268749542074,2866.999936294556,748.8180838707722,5.05652519771968,quick_signal_default_guard_18,,9.84990121238561,12.568160390782422,272.0,signal_guard_18,,9.84990121238561,12.568160390782422,132.93371547576135,2.512090307456562,3.2053472638429934,272.0,2864.184468123698,2.0
