bias_label,bias_v,n_sweeps,robust_signal_eta_median_nT,signal_bright_p90_median_adc,adv_dip_depth_edge_percent_median,adv_dip_depth_edge_percent_sd,adv_linewidth_25pct_mhz_median,adv_linewidth_25pct_mhz_sd,adv_linewidth_50pct_mhz_median,adv_linewidth_50pct_mhz_sd,adv_linewidth_75pct_mhz_median,adv_linewidth_75pct_mhz_sd,adv_equivalent_width_mhz_median,adv_equivalent_width_mhz_sd,adv_lorentz_fwhm_mhz_median,adv_lorentz_fwhm_mhz_sd,adv_center_min_mhz_median,adv_center_min_mhz_sd,adv_center_half_depth_mhz_median,adv_center_half_depth_mhz_sd,adv_center_centroid_mhz_median,adv_center_centroid_mhz_sd,adv_lorentz_center_mhz_median,adv_lorentz_center_mhz_sd,adv_center_method_spread_mhz_median,adv_center_method_spread_mhz_sd,adv_hwhm50_asymmetry_median,adv_hwhm50_asymmetry_sd,adv_left_slope_percent_per_mhz_median,adv_left_slope_percent_per_mhz_sd,adv_right_slope_percent_per_mhz_median,adv_right_slope_percent_per_mhz_sd,adv_slope_balance_median,adv_slope_balance_sd,adv_residual_rms_noise_percent_median,adv_residual_rms_noise_percent_sd,adv_residual_mad_noise_percent_median,adv_residual_mad_noise_percent_sd,adv_point_to_point_noise_percent_median,adv_point_to_point_noise_percent_sd,adv_abs_edge_baseline_drift_percent_median,adv_abs_edge_baseline_drift_percent_sd,adv_dip_snr_median,adv_dip_snr_sd,adv_slope_to_noise_per_mhz_median,adv_slope_to_noise_per_mhz_sd,adv_slope_limited_freq_noise_khz_median,adv_slope_limited_freq_noise_khz_sd,adv_lorentz_rmse_percent_median,adv_lorentz_rmse_percent_sd,adv_lorentz_r2_median,adv_lorentz_r2_sd
0.44 V,0.44,3,15.574467524836365,16517.245285325673,4.49467987835672,0.02093631965163168,20.644015366923213,0.044856274814341394,15.493451274665404,0.004611724355287007,10.251988261364659,0.04051903533469491,18.440780282088863,0.29069594003299004,13.013511772793537,0.0039308458500238435,2868.9999355316168,5.569494857771083e-13,2869.4935950107665,0.010928286779029406,2867.0005487643616,0.6889751883750292,2869.5096948421296,0.017849937479177215,2.5013612213815577,0.6987140169332664,0.06372492098738587,0.00142766670302065,0.5178851336810268,0.002170555235614372,0.5068579478213522,0.0044196127635264025,-0.009045997350488558,0.005359926586643639,0.07593805598504791,0.001453789226945225,0.024079436060605364,0.0027620229160897655,0.017164418496012007,0.0027586995356920665,0.03497453566657782,0.012968784139555153,59.09621967151355,1.2640024132150152,6.821592281780612,0.15464031956429147,146.593340483107,3.4355742595808056,0.1612082519505515,0.0011382529932347848,0.9591766837110193,0.0006288664291838953
0.45 V,0.45,3,12.486223666667577,15674.46316364581,4.582153086864196,0.04164838034752055,20.649525899636956,0.02482663795429029,15.502114289398378,0.014776053850443768,10.26420808553712,0.01941159184334031,18.357075663911118,0.09776707127930553,13.011398257486759,0.029511785010180393,2868.9999355316168,5.569494857771083e-13,2869.5055047136457,0.009187669274335173,2867.5236335696623,0.43428598822642345,2869.508213063269,0.006804791349411825,1.981871143983426,0.427002571773444,0.0652258359847948,0.0011247783880755822,0.523385336259274,0.005077500388725438,0.5137215038576883,0.00550701609182026,-0.009983823295201057,0.0013407956659225175,0.07637683223460107,0.0011909119951155314,0.01655703002214436,0.0017237651216972251,0.01160094210118987,0.0014193194829184973,0.025698236008366848,0.004447382343983236,59.860761168307945,0.5314758086275628,6.831369120877808,0.07185398739719208,146.38354073765865,1.5568668685016465,0.16313951654995038,0.0015728256338923465,0.9594089712522206,0.00023273391295106218
0.46 V,0.46,3,11.629266357729616,14763.61513051319,4.704546617523647,0.062271840959890794,20.675653212183988,0.02177189983943923,15.500782381767294,0.01717273756514632,10.256801429521602,0.012112144819003391,18.230412226829415,0.04724674924441768,13.037457799298775,0.02920970860516873,2868.9999355316168,5.569494857771083e-13,2869.5388755233816,0.02087763150442412,2867.950199522543,0.901000327625631,2869.543325880263,0.028181956731639982,1.5553821577104827,0.6066139728211156,0.06941126098623848,0.0026712956641161425,0.5383738921162475,0.0075746301616420484,0.5247589897481006,0.0066908262646429755,-0.011835444119504275,0.0008820098786768506,0.07951940210144257,0.0017381793977854772,0.017841677165287395,0.0007712953174764987,0.012318312225596904,0.0006262339780583329,0.014951356040953101,0.004481922708432156,59.16224837206493,0.5264393336623602,6.77034632918198,0.05478677850919668,147.70293148664138,1.1847819955681218,0.16651796465902902,0.0020278127302197128,0.9600206338302211,0.00012536596289365804
0.47 V,0.47,3,12.982378332684373,12338.870195158483,5.192414631534859,0.278777079321683,20.855834557298294,0.049984234089713836,15.58693047043289,0.01994317547112742,10.339171155565055,0.01697319655536016,18.91704979681839,0.2559499732407405,13.103412826625922,0.04891194823490558,2868.9999355316168,5.569494857771083e-13,2869.5647826922705,0.02039521500327709,2869.4258188918852,0.7930871983331054,2869.576441261213,0.026863811245197967,1.0328670451503967,0.31575306785636564,0.0724770231990406,0.002706459407193386,0.5904377120990532,0.031054447871726037,0.5742598716146787,0.03206859726902807,-0.01758700848282223,0.002817006388535873,0.08692523244180926,0.005254889628088723,0.019783712312314083,0.0021589190086681574,0.015062372707510258,0.0017719956906036278,0.012791888531396012,0.011664803292659566,60.048413822091895,0.670409907914773,6.842897985809202,0.0877352047714737,146.1369148091641,1.9054287782489334,0.18032310885948122,0.009146093518790725,0.9614735392401282,0.0002677694718006282
0.48 V,0.48,3,13.201262181501797,11856.256323929452,5.360594055250047,0.08588881389448161,20.857053813874245,0.056305899789147386,15.577930348173595,0.014834056721219267,10.315831897244607,0.01689120036155507,18.788029433731253,0.1144219816565884,13.086266393317578,0.031970912433993984,2868.9999355316168,0.577350048947924,2869.5780852369826,0.010781560258341276,2869.13094360639,0.3512596497859328,2869.5794286634286,0.016209849683605053,0.8689915437571472,0.18232625261826607,0.07187497520256715,0.07348681150379689,0.6051950736490213,0.00836595802983246,0.5906803761012469,0.007847295831103723,-0.013370346230733994,0.0013289703276388692,0.09032935884123872,0.0017864704504217562,0.023554595749324725,0.001412698741664581,0.018920558718571314,0.0026333646605960622,0.02048043473348571,0.0032611035782556066,59.3603452675165,0.2582164663433649,6.715835663997411,0.044133242205638135,148.90179718971535,0.9704473929774309,0.18530890363940927,0.00205724619139971,0.9612149881811888,0.0005941254303042522
0.49 V,0.49,3,19.68955315323883,9102.837335330256,6.400651328729808,0.5914567543061037,20.934197683577167,0.04895024473849369,15.591170310960479,0.017792243049684634,10.328629406322761,0.033123179731514074,19.119796263857634,0.19995873634117406,13.115046580943698,0.06340541912006666,2868.9999355316168,5.569494857771083e-13,2869.603384861313,0.019034191039399746,2868.7507413543594,0.8594360591915896,2869.6144321632582,0.01560678742084517,0.8526435069534273,0.3966935968810046,0.07740911267858887,0.0023575830880107115,0.7238577336702932,0.06438894901747425,0.6994788062479955,0.06622051736615672,-0.01867396339305393,0.0038522077103316735,0.1094590952933487,0.010249056434046836,0.03915523975174792,0.006775158201744824,0.024749104221027683,0.0043110028098036135,0.03630336148546576,0.018198722406576523,58.24182221732577,0.3043447318624117,6.613043271830135,0.04152409709097629,151.2163097827808,0.9529839354168866,0.22119483449917113,0.020495724441349335,0.9609581990486035,0.0008757308968428353
0.50 V,0.5,3,20.726710081572172,7393.4298101904205,7.500832527601062,0.6299825992036766,20.9986997861115,0.04462285645226406,15.60242945355094,0.018891820983057337,10.339105533328166,0.02260645845600904,19.222152023750343,0.24068544227217917,13.158185757167445,0.041019419663974745,2869.999935150147,0.0,2869.638605051031,0.011677090086073252,2866.4255930536915,1.4576182415839982,2869.6557978902615,0.018100782870359565,3.574342096455439,1.4576182415839982,-0.046317158515819266,0.0015501995760327343,0.8531152300149714,0.06902569422301925,0.8156984424944724,0.06930085757282725,-0.023128077952964097,0.002932376598751018,0.1273803966954146,0.011162373313028775,0.0464142553758553,0.005692833004160575,0.03623384026209857,0.005959234386839759,0.042867279650195655,0.017134661275575183,58.49785573184554,0.5976318709087469,6.671718021078231,0.10055366917526429,149.8864305776502,2.3039337434005263,0.2563585230281019,0.020721380000514357,0.9620107669453418,0.0006803565021601217
0.51 V,0.51,3,21.099693189429438,5416.315347525751,9.885316254762628,0.014974616671072197,20.851251979423978,0.04457339660039999,15.588692811973942,0.0005331726508451599,10.377106899742103,0.016087759797060393,18.46840587871447,0.2993650465461246,13.121040214973023,0.015893012104089766,2868.9999355316168,5.569494857771083e-13,2869.6232169555387,0.011248530200308884,2869.1521884198987,0.11785244319293788,2869.636846053303,0.016166299327297295,0.6232814239219806,0.041197727358756674,0.07996583567846752,0.0014403449308932378,1.1295606092868766,0.0012905522117087425,1.0944387884778806,0.013317179428941745,-0.01579218989191069,0.005574806058079475,0.17346887949077305,0.0029488948524392313,0.0629187340017632,0.0027792893235814267,0.042857727122013946,0.0049343580243886775,0.03133804751021785,0.01483777406614226,56.986107731723926,0.9091844396173621,6.51160376779259,0.10638720775694564,153.57199787649185,2.440025211129617,0.35020489669187477,0.0041914756745776,0.9603628092686942,0.0007028691022801082
Best_Sensitivity (bias not in filename),nan,1,22.912774345227888,5409.401798759054,10.011373708492215,nan,20.960138949364136,nan,15.586728876783582,nan,10.359036430974356,nan,19.357097249602543,nan,13.163770151156793,nan,2869.999935150147,nan,2869.612259257484,nan,2867.7521332528227,nan,2869.6398271353605,nan,2.2478018973242797,nan,-0.049744355692329136,nan,1.1321043542585372,nan,1.1024717675115667,nan,-0.01326094307474171,nan,0.16504618323681514,nan,0.06818834770484965,nan,0.05313833073172143,nan,0.08044802771667037,nan,60.6580140912891,nan,6.859318598323154,nan,145.78707573729884,nan,0.34025289234452344,nan,0.9632618113025113,nan
