file,timestamp,bias_v,repeat,bias_label,is_labeled_bias,n_points,freq_min_mhz,freq_max_mhz,signal_bright_p90_adc,signal_dark_p10_adc,signal_median_adc,reference_bright_p90_adc,reference_median_adc,signal_min_adc,signal_dip_depth_adc,signal_dip_depth_percent,signal_dip_transmission_percent,freq_at_signal_min_mhz,signal_ptp_adc,signal_ptp_percent_of_bright,quick_method,quick_error,quick_eta_white_nT,quick_eta_baseline_nT,quick_n_clean,robust_method,robust_error,robust_eta_white_nT,robust_eta_baseline_nT,robust_slope_adc_per_mhz,robust_noise_white_adc,robust_noise_baseline_adc,robust_n_clean,robust_f_at_slope_mhz,robust_n_lines,shape_min_transmission_percent,shape_dip_depth_percent,shape_fwhm_like_mhz,shape_area_percent_mhz,shape_max_slope_percent_per_mhz,shape_freq_at_max_slope_mhz,shape_off_noise_percent,shape_half_level_percent,adv_edge_baseline_percent,adv_left_edge_baseline_percent,adv_right_edge_baseline_percent,adv_edge_baseline_drift_percent,adv_abs_edge_baseline_drift_percent,adv_min_transmission_percent,adv_dip_depth_edge_percent,adv_center_min_mhz,adv_center_half_depth_mhz,adv_center_centroid_mhz,adv_center_offset_from_2870_mhz,adv_center_method_spread_mhz,adv_left_hwhm50_mhz,adv_right_hwhm50_mhz,adv_hwhm50_asymmetry,adv_equivalent_width_mhz,adv_area_edge_percent_mhz,adv_left_slope_percent_per_mhz,adv_right_slope_percent_per_mhz,adv_left_slope_freq_mhz,adv_right_slope_freq_mhz,adv_slope_balance,adv_steepness_depth_per_width_percent_per_mhz,adv_residual_rms_noise_percent,adv_residual_sd_noise_percent,adv_residual_mad_noise_percent,adv_point_to_point_noise_percent,adv_edge_noise_percent,adv_edge_noise_adc,adv_dip_snr,adv_slope_to_noise_per_mhz,adv_slope_limited_freq_noise_mhz,adv_slope_limited_freq_noise_khz,adv_linewidth_25pct_mhz,adv_left_cross_25pct_mhz,adv_right_cross_25pct_mhz,adv_level_25pct_transmission_percent,adv_linewidth_50pct_mhz,adv_left_cross_50pct_mhz,adv_right_cross_50pct_mhz,adv_level_50pct_transmission_percent,adv_linewidth_75pct_mhz,adv_left_cross_75pct_mhz,adv_right_cross_75pct_mhz,adv_level_75pct_transmission_percent,adv_lorentz_baseline_percent,adv_lorentz_baseline_slope_percent_per_mhz,adv_lorentz_depth_percent,adv_lorentz_center_mhz,adv_lorentz_gamma_mhz,adv_lorentz_fwhm_mhz,adv_lorentz_rmse_percent,adv_lorentz_r2
odmr_sweep_20260707_112045_0.44VBias_1.csv,20260707_112045,0.44,1,0.44 V,True,351,2700.0000000000005,3049.999866485596,16532.03986383226,16472.515857199625,16523.70832518263,16527.695241770336,16520.32793425436,15735.677318366597,796.3625454656612,4.8170858044438445,95.18291419555617,2866.999936294556,801.94014961641,4.850823952891885,quick_signal_default_guard_18,,12.804296551415609,18.128290714711643,288.0,signal_guard_18,,12.804296551415609,18.128290714711643,142.51489987698957,3.5009364358249146,4.9566169627134915,288.0,2864.1544631343104,2.0,95.44784255705832,4.552157442941677,15.534145823013205,92.76133253874634,0.5178851336810268,2861.9999382019046,0.022653236161058656,97.72392127852916,99.97475687929585,99.96831713259812,99.98119662599359,0.012879493395473673,0.012879493395473673,95.44784255705832,4.5269143222375305,2868.9999355316168,2869.501909985743,2867.0005487643616,-1.0000644683832434,2.5013612213815577,7.241219379880022,8.245168288132845,0.06482783007728006,18.836708566021272,85.27216579133608,0.5178851336810268,0.5003129665354251,2861.9999382019046,2876.9999324798587,-0.017258102467355003,0.29231570455826,0.07549584379787846,0.07558725388290403,0.02825299754196979,0.018986154517812614,0.02672447976766135,4.418101648591717,59.96243096980582,6.859783368572405,0.14577719823944102,145.77719823944102,20.689907318902442,2859.2791021154035,2879.969009434306,98.84302829873647,15.486387668012867,2861.7587161517367,2877.2451038197496,97.71129971817709,10.182824425909075,2864.3659670203597,2874.5487914462688,96.5795711376177,100.01204348001228,7.564097008822176e-05,4.863795257337231,2869.513441714355,6.5067558863967685,13.013511772793537,0.1612082519505515,0.9593058903023254
odmr_sweep_20260707_112105_0.44VBias_2.csv,20260707_112105,0.44,2,0.44 V,True,351,2700.0000000000005,3049.999866485596,16517.245285325673,16461.73470672739,16508.393424672187,16511.420293731084,16505.170641409666,15723.634427820396,793.6108575052767,4.804741007329716,95.19525899267028,2866.999936294556,801.2859155790629,4.851207945013356,quick_signal_default_guard_18,,10.44102595621661,15.574467524836365,274.0,signal_guard_18,,10.44102595621661,15.574467524836365,140.2185031831169,2.8087735825400673,4.189737017159947,274.0,2864.1344598080523,2.0,95.46980759054442,4.53019240945558,15.573077471950455,93.53165561603521,0.5180184566010269,2861.9999382019046,0.021595517369459933,97.7349037952722,99.9574596284645,99.93961341526435,99.97530584166465,0.03569242640030268,0.03569242640030268,95.46980759054442,4.4876520379200855,2868.9999355316168,2869.4935950107665,2866.8846268214297,-1.0000644683832434,2.6089681893367924,7.253066158182719,8.240385116482685,0.06372492098738587,18.27003995684353,81.98958204521026,0.5180184566010269,0.508730488365245,2861.9999382019046,2876.9999324798587,-0.009045997350488558,0.28964831388202117,0.07593805598504791,0.07603449197531943,0.024079436060605364,0.017164418496012007,0.026883186443542876,4.4403618453912275,59.09621967151355,6.821592281780612,0.146593340483107,146.593340483107,20.600202802423155,2859.2804397444065,2879.8806425468297,98.83554661898448,15.493451274665404,2861.746869373434,2877.2403206480994,97.71363360950446,10.253980235584095,2864.350871198405,2874.604851433989,96.59172060002444,100.00898675545831,0.0001413884631090404,4.842164741131567,2869.5096948421296,6.508515407158163,13.017030814316326,0.1629022145770661,0.9581578211789529
odmr_sweep_20260707_112130_0.44VBias_3.csv,20260707_112130,0.44,3,0.44 V,True,351,2700.0000000000005,3049.999866485596,16494.553400372894,16444.042963902557,16488.94496744812,16491.191042882903,16485.729025430202,15703.689002659168,790.8643977137253,4.7947002778253225,95.20529972217467,2866.999936294556,795.2136488675606,4.821068079658241,quick_signal_default_guard_18,,11.227760761630682,14.674899409808022,281.0,signal_guard_18,,11.227760761630682,14.674899409808022,139.61766538878345,3.0074731000353196,3.930825224878757,281.0,2864.1544631343104,2.0,95.48511527625352,4.514884723746476,15.53324924411072,88.67770731179513,0.5141940566134267,2861.9999382019046,0.02243149329083747,97.74255763812675,99.97979515461024,99.96230788677696,99.99728242244353,0.03497453566657782,0.03497453566657782,95.48511527625352,4.49467987835672,2868.9999355316168,2869.4802474061635,2868.1316975472705,-1.0000644683832434,1.3485498588929659,7.267216085235759,8.227839834329643,0.06199550063455511,18.440780282088863,82.88540407510217,0.5141940566134267,0.5068579478213522,2861.9999382019046,2876.9999324798587,-0.0071848532300130006,0.2900718720660664,0.07820569367805214,0.07830243520140437,0.023032153912963794,0.013565050616757734,0.02388900535772865,3.9403847455487173,57.47254025851215,6.5748928553744355,0.15209373323590847,152.09373323590847,20.644015366923213,2859.2333803557285,2879.8773957226517,98.85612518502106,15.495055919565402,2861.732719446381,2877.2277753659464,97.73245521543188,10.251988261364659,2864.325230678844,2874.5772189402087,96.60878524584271,100.02262384477565,4.935354434919599e-05,4.8427485770096865,2869.4808220343184,6.504591516878767,13.009183033757534,0.16073814268423478,0.9591766837110193
odmr_sweep_20260707_112159_0.45VBias_1.csv,20260707_112159,0.45,1,0.45 V,True,351,2700.0000000000005,3049.999866485596,16476.02957483877,16423.631521074672,16470.006341504417,16470.686409206224,16467.043361249504,15682.74358819574,793.2859866430281,4.81478855715632,95.18521144284368,2866.999936294556,796.8411299935815,4.836366227519225,quick_signal_default_guard_18,,9.027013600316275,11.025665275376975,274.0,signal_guard_18,,9.027013600316275,11.025665275376975,141.48365124546936,2.4502961940659795,2.992811006771396,274.0,2864.16446479744,2.0,95.4629700678102,4.537029932189796,15.533936663045097,89.31038965598978,0.5151950742087834,2861.9999382019046,0.015264216810675205,97.7314850339051,99.97743396905784,99.96320139398294,99.99166654413274,0.028465150149799,0.028465150149799,95.4629700678102,4.5144639012476375,2868.9999355316168,2869.5040121065235,2866.9441818301093,-1.0000644683832434,2.5598302764142318,7.241537997876094,8.249691147689646,0.06507896438302502,18.457008887731202,83.32350034866933,0.5151950742087834,0.5050095316984553,2861.9999382019046,2876.9999324798587,-0.009983823295201057,0.29142063930671847,0.07541607913328252,0.07550367873716333,0.01641388079830152,0.01078537967058509,0.019436486894263926,3.202361329008645,59.860761168307945,6.831369120877808,0.14638354073765866,146.38354073765865,20.649525899636956,2859.268258463209,2879.917784362846,98.84881799374594,15.49122914556574,2861.7583975337407,2877.2496266793064,97.72020201843402,10.233161090289741,2864.3600285478637,2874.5931896381535,96.5915860431221,100.02159717997111,0.00010524985255328598,4.862407477275694,2869.5043524605203,6.505699128743379,13.011398257486759,0.16095667877022263,0.9594089712522206
odmr_sweep_20260707_112219_0.45VBias_2.csv,20260707_112219,0.45,2,0.45 V,True,351,2700.0000000000005,3049.999866485596,15674.46316364581,15621.97620579515,15668.81084680747,15668.746545373966,15665.257839960881,14905.418041079558,769.0451225662528,4.906357012276626,95.09364298772338,2866.999936294556,772.5371259589883,4.928635308868209,quick_signal_default_guard_18,,9.349199476518761,12.486223666667577,274.0,signal_guard_18,,9.349199476518761,12.486223666667577,135.58154285068602,2.4318860828180777,3.247879525748362,274.0,2864.16446479744,2.0,95.38879677344242,4.611203226557578,15.57435825346738,91.21995864834439,0.5244895067496884,2861.9999382019046,0.016355312368590443,97.69439838672122,99.97094986030662,99.95810074230243,99.9837989783108,0.025698236008366848,0.025698236008366848,95.38879677344242,4.582153086864196,2868.9999355316168,2869.5206193335466,2867.794255556004,-1.0000644683832434,1.7263637775427014,7.23954880568408,8.280916409543806,0.06709641685469514,18.26149086304103,83.67694672882575,0.5244895067496884,0.5137215038576883,2861.9999382019046,2876.9999324798587,-0.010371690130410541,0.29523297293746203,0.07637683223460107,0.07646433142755675,0.01655703002214436,0.01160094210118987,0.01903874478047654,2.9842210374364257,59.994018510607184,6.867128308472559,0.14562127793159407,145.62127793159408,20.683141446084846,2859.259404227061,2879.942545673146,98.82541158859057,15.520465215227887,2861.7603867259327,2877.2808519411606,97.67987331687452,10.26420808553712,2864.363144856122,2874.627352941659,96.53433504515847,100.02162648388321,9.731151489442239e-05,4.9426757105062995,2869.5175848575295,6.527523593726175,13.05504718745235,0.16313951654995038,0.9597454875170546
odmr_sweep_20260707_112234_0.45VBias_3.csv,20260707_112234,0.45,3,0.45 V,True,351,2700.0000000000005,3049.999866485596,15663.30072210166,15613.101621481186,15657.49889583397,15658.19427438335,15653.360978237612,14896.31675046612,766.98397163554,4.896694414819536,95.10330558518046,2866.999936294556,772.5315164898984,4.932111884947851,quick_signal_default_guard_18,,9.984340405541134,12.607807893283876,278.0,signal_guard_18,,9.984340405541134,12.607807893283876,135.34139316087936,2.5924969354209573,3.273696809012503,278.0,2864.1544631343104,2.0,95.38532703531295,4.6146729646870455,15.547319149967734,90.97763684538992,0.523385336259274,2861.9999382019046,0.017135174005433476,97.69266351765648,99.97567590721732,99.965795517232,99.98555629720265,0.019760779970653175,0.019760779970653175,95.38532703531295,4.590348871904368,2868.9999355316168,2869.5055047136457,2867.5236335696623,-1.0000644683832434,1.981871143983426,7.245487962670268,8.25662632672811,0.0652258359847948,18.357075663911118,84.26538156529753,0.523385336259274,0.5152014268357306,2861.9999382019046,2876.9999324798587,-0.00787985146195705,0.296111148854297,0.07778392204100892,0.07787569377733573,0.019468529296187625,0.013547847027417941,0.020544328317930863,3.2179199257732347,59.01410923306571,6.728708485326015,0.14861693030405504,148.61693030405505,20.6346858904094,2859.261440979198,2879.8961268696075,98.82808868924123,15.502114289398378,2861.7544475689465,2877.256561858345,97.68050147126513,10.268871037781082,2864.3558612450474,2874.6247322828285,96.53291425328905,100.0218191576298,8.546762682580404e-05,4.950170321296267,2869.508213063269,6.499407331560705,12.99881466312141,0.16400966739997125,0.9592987283517146
odmr_sweep_20260707_112300_0.46VBias_1.csv,20260707_112300,0.46,1,0.46 V,True,351,2700.0000000000005,3049.999866485596,15662.730522358406,15612.58006388116,15657.78302335177,15658.197559372802,15653.92610416603,14891.4437333802,771.2867889782065,4.924344371993131,95.07565562800687,2866.999936294556,774.3890026591689,4.944150712123506,quick_signal_default_guard_18,,9.521094206659656,12.062661984235604,273.0,signal_guard_18,,9.521094206659656,12.062661984235604,135.52676742402988,2.4755982762478954,3.136436271604906,273.0,2864.1444614711813,2.0,95.3680607627918,4.631939237208201,15.552404924799248,91.1828978529251,0.5257548064753195,2861.9999382019046,0.016166412170719974,97.6840303813959,99.97221473142403,99.96273361680576,99.98169584604231,0.018962229236549888,0.018962229236549888,95.3680607627918,4.604153968632232,2868.9999355316168,2869.5055816802533,2867.950199522543,-1.0000644683832434,1.5553821577104827,7.244745042247359,8.256037339519935,0.06524137120085644,18.219506694336665,83.88541405325168,0.5257548064753195,0.5142672683181004,2861.9999382019046,2876.9999324798587,-0.011045475317916506,0.29702719870758537,0.0767542939214355,0.0768454253764677,0.017078603649021716,0.012318312225596904,0.017352679013576237,2.717903352306237,59.98562078292288,6.849842264375123,0.14598876315748638,145.98876315748637,20.675653212183988,2859.250045557135,2879.925698769319,98.82117623926598,15.500782381767294,2861.7551904893694,2877.2559728711367,97.67013774710792,10.256801429521602,2864.3458469108273,2874.602648340349,96.51909925494985,100.02289355474177,7.594039806394644e-05,4.96843867722506,2869.499967776642,6.518728899649387,13.037457799298775,0.16329472189124578,0.9600206338302211
odmr_sweep_20260707_112324_0.46VBias_2.csv,20260707_112324,0.46,2,0.46 V,True,351,2700.0000000000005,3049.999866485596,14763.61513051319,14712.125440138154,14758.16259513403,14758.368789161603,14754.945411406914,14021.57910566372,742.036024849469,5.026113308222466,94.97388669177754,2866.999936294556,746.6528463795585,5.057384927600754,quick_signal_default_guard_18,,9.396594016188702,11.629266357729616,273.0,signal_guard_18,,9.396594016188702,11.629266357729616,131.3862273866481,2.3685826052862766,2.9313683191701396,273.0,2864.174466460569,2.0,95.26558354937254,4.734416450627464,15.582925163163054,93.79489236786821,0.5383738921162475,2861.9999382019046,0.015574672319319395,97.63279177468627,99.97013016689618,99.9626544888757,99.97760584491665,0.014951356040953101,0.014951356040953101,95.26558354937254,4.704546617523647,2868.9999355316168,2869.5388755233816,2867.90865390822,-1.0000644683832434,1.6302216151616449,7.225506066518847,8.303386050049085,0.06941126098623848,18.230412226829415,85.76582417779207,0.5383738921162475,0.5247589897481006,2861.9999382019046,2876.9999324798587,-0.012806397582465235,0.3029544272835999,0.07951940210144257,0.07960912293149097,0.018621165172981697,0.01164151732690745,0.017364735224713792,2.563662677009354,59.16224837206493,6.77034632918198,0.14770293148664138,147.70293148664138,20.696100579225913,2859.286693202977,2879.982793782203,98.79399351251527,15.528892116567931,2861.774429465098,2877.303321581666,97.61785685813436,10.27275150763171,2864.38124175238,2874.6539932600117,96.44172020375345,100.02208113784344,9.214273427359726e-05,5.078074265534319,2869.543325880263,6.5216134572792654,13.043226914558531,0.1670380334382411,0.9599751150352552
odmr_sweep_20260707_112342_0.46VBias_3.csv,20260707_112342,0.46,3,0.46 V,True,351,2700.0000000000005,3049.999866485596,14756.857749029554,14709.620597090197,14752.655104379985,14755.055927346639,14750.41966638139,14017.671229024665,739.1865200048887,5.0091051399712745,94.99089486002872,2866.999936294556,743.3901465598938,5.037591059036812,quick_signal_default_guard_18,,9.605018331548123,11.502866310070745,270.0,signal_guard_18,,9.605018331548123,11.502866310070745,130.76542121805926,2.4096798428702977,2.885806577960141,270.0,2864.174466460569,2.0,95.26517869688647,4.734821303113534,15.527851971938162,91.41548427183687,0.5393234177241126,2861.9999382019046,0.01634602624596787,97.63258934844323,99.98335949651124,99.97835232352269,99.9883666694998,0.010014345977111816,0.010014345977111816,95.26517869688647,4.7181807996247755,2868.9999355316168,2869.544052132673,2869.4895902461026,-1.0000644683832434,0.5441166010564302,7.204756690685372,8.292989892798232,0.07021880221429237,18.306246408879073,86.37218031957323,0.5393234177241126,0.5267064804347328,2861.9999382019046,2876.9999324798587,-0.011835444119504275,0.3044430217134326,0.07996152207036056,0.08005617434435158,0.017841677165287395,0.012892585847698644,0.01641643633485904,2.4225501573950785,59.00564018119997,6.744786789445374,0.14826265547264694,148.26265547264694,20.652583116201185,2859.311417329012,2879.964000445213,98.80381429660505,15.497746583483604,2861.7951788409314,2877.292925424415,97.62426909669885,10.248986965336826,2864.4011428908248,2874.6501298561616,96.44472389679265,100.02851031493596,8.614445878951748e-07,5.088454814303896,2869.552835355084,6.494998478905894,12.989996957811789,0.16651796465902902,0.9602114064056027
odmr_sweep_20260707_112418_0.47VBias_1.csv,20260707_112418,0.47,1,0.47 V,True,351,2700.0000000000005,3049.999866485596,14808.945957758964,14756.347936088272,14804.412686829475,14806.668093804445,14801.791446342879,14064.453965828163,744.4919919308013,5.02731250457926,94.97268749542074,2866.999936294556,748.8180838707722,5.05652519771968,quick_signal_default_guard_18,,9.84990121238561,12.568160390782422,272.0,signal_guard_18,,9.84990121238561,12.568160390782422,132.93371547576135,2.512090307456562,3.2053472638429934,272.0,2864.184468123698,2.0,95.26700508285928,4.732994917140715,15.630084181653274,93.89437689717866,0.5389753112494446,2861.9999382019046,0.017615125992797714,97.63350254142964,99.99079698585973,99.98440104159404,99.99719293012544,0.012791888531396012,0.012791888531396012,95.26700508285928,4.723791903000446,2868.9999355316168,2869.545175933039,2869.4258188918852,-1.0000644683832434,0.5452404014222338,7.26140746135934,8.351888264204263,0.06984308899366336,19.268229134163725,91.0191047691199,0.5389753112494446,0.5189163912729171,2861.9999382019046,2876.9999324798587,-0.018961222522778532,0.30254931348454484,0.07841792157086735,0.0785042725461816,0.018951294665859864,0.012209959010756843,0.014908354765090427,2.207770200353222,60.23867769476,6.873113957277805,0.14549445945692777,145.49445945692776,20.93668471156934,2859.207531493348,2880.1442162049175,98.80984901010962,15.613295725563603,2861.7385280702574,2877.351823795821,97.6289010343595,10.343666078114893,2864.343549031033,2874.687215109148,96.4479530586094,100.02472147856638,-4.015538223021197e-06,5.069697322526985,2869.5434021570018,6.592766601342601,13.185533202685201,0.1651192975087667,0.9610664747401515
