bias_label,bias_v,n_sweeps,signal_bright_p90_median_adc,signal_bright_p90_sd_adc,signal_dip_transmission_median_percent,signal_dip_transmission_sd_percent,signal_dip_depth_median_percent,signal_dip_depth_sd_percent,robust_signal_eta_median_nT,robust_signal_eta_sd_nT,robust_signal_eta_best_nT,best_repeat_file,quick_signal_eta_median_nT,median_signal_slope_adc_per_mhz,median_signal_noise_baseline_adc,median_signal_freq_at_slope_mhz
0.44 V,0.44,3,16517.245285325673,18.88136708763435,95.19525899267028,0.011212508392838836,4.804741007329716,0.011212508392846722,15.574467524836365,1.7915145912283417,14.674899409808022,odmr_sweep_20260707_112130_0.44VBias_3.csv,15.574467524836365,140.2185031831169,4.189737017159947,2864.1544631343104
0.45 V,0.45,3,15674.46316364581,466.0403236712039,95.10330558518046,0.050310233025171215,4.896694414819536,0.05031023302517449,12.486223666667577,0.8804533682454532,11.025665275376975,odmr_sweep_20260707_112159_0.45VBias_1.csv,12.486223666667577,135.58154285068602,3.247879525748362,2864.16446479744
0.46 V,0.46,3,14763.61513051319,521.0661556712352,94.99089486002872,0.05451388501528308,5.0091051399712745,0.054513885015281385,11.629266357729616,0.2935926707578519,11.502866310070745,odmr_sweep_20260707_112342_0.46VBias_3.csv,11.629266357729616,131.3862273866481,2.9313683191701396,2864.174466460569
0.47 V,0.47,3,12338.870195158483,1428.380061453364,94.48786522793874,0.294991483732175,5.512134772061259,0.2949914837321718,12.982378332684373,1.4307451313130872,12.568160390782422,odmr_sweep_20260707_112418_0.47VBias_1.csv,12.982378332684373,120.0910084972441,3.2053472638429934,2864.184468123698
0.48 V,0.48,3,11856.256323929452,283.3485126639177,94.3175277103795,0.08035933250996867,5.682472289620513,0.08035933250996513,13.201262181501797,1.2677527678465221,13.033014715117469,odmr_sweep_20260707_112528_0.48VBias_1.csv,13.201262181501797,118.00278103948634,3.0125901353729083,2864.184468123698
0.49 V,0.49,3,9102.837335330256,1599.2513377327248,93.20540174298569,0.6275388937618964,6.794598257014315,0.6275388937619023,19.68955315323883,2.215166531823894,16.128128215957133,odmr_sweep_20260707_112700_0.49VBias_1.csv,19.68955315323883,108.7578874678975,4.108325573331039,2864.2144731130857
0.50 V,0.5,3,7393.4298101904205,990.9146614115903,92.03792564936494,0.6701881222616286,7.962074350635064,0.6701881222616238,20.726710081572172,1.2311033654309018,18.895008491476194,odmr_sweep_20260707_112814_0.50VBias_1.csv,20.726710081572172,103.76856414541129,4.1263342975899775,2864.234476439344
0.51 V,0.51,3,5416.315347525751,3.3512366697601146,89.35148782127808,0.13729441368973977,10.64851217872191,0.1372944136897367,21.099693189429438,0.4639505072897799,21.099693189429438,odmr_sweep_20260707_113249_0.51VBias_1.csv,21.099693189429438,101.5092959626332,4.109132879627077,2864.2244747762147
Best_Sensitivity (bias not in filename),nan,1,5409.401798759054,nan,89.41337427241848,nan,10.586625727581518,nan,22.912774345227888,nan,22.912774345227888,odmr_sweep_20260707_113412_Best_Sensitivity.csv,22.912774345227888,99.60319947219158,4.378437923585889,2864.2144731130857
