frequency_MHz,photoluminescence_mw_on_ADC,photoluminescence_mw_off_ADC,contrast_ADC,contrast_percent
2700.0000000000005,1084.2327685546875,1084.8125276692708,-0.5797591145833394,-0.0458105958546061
2700.9999996185306,1086.6219986979168,1080.2029720052085,6.419026692708291,0.5976260943547913
2701.999999237061,1081.5874772135417,1086.6449218750001,-5.057444661458339,-0.4521637692938792
2702.9999988555915,1082.8028857421873,1084.5822509765626,-1.7793652343749726,-0.14559939407544933
2703.9999984741216,1079.196984049479,1091.4968912760419,-12.299907226562516,-1.1155137730118183
2704.999998092652,1087.1764029947917,1089.265751953125,-2.089348958333346,-0.17564284931461221
2705.999997711182,1089.2919466145834,1081.0999772135417,8.191969401041684,0.770358234045864
2706.999997329712,1086.5790315755212,1087.948671875,-1.3696402994791357,-0.10576574458636942
2707.999996948243,1090.2938492838543,1086.8063525390623,3.4874967447916787,0.3312210027884589
2708.999996566773,1089.5578808593748,1084.8261669921874,4.731713867187489,0.4551440236475874
2709.999996185303,1088.1862190755207,1082.607999674479,5.578219401041645,0.5300332860760898
2710.9999958038334,1087.7069986979168,1088.5154475911456,-0.8084488932291493,-0.06881103654177681
2711.9999954223636,1088.53775390625,1091.8852783203124,-3.3475244140624683,-0.2884372394866606
2712.999995040894,1092.2332438151038,1089.192394205729,3.0408496093750044,0.30179550661495524
2713.9999946594244,1093.4500260416667,1090.9307096354164,2.519316406249993,0.2411957572997545
2714.9999942779546,1087.76455078125,1088.4159781901044,-0.6514274088541697,-0.05695223823254362
2715.9999938964847,1089.8498193359374,1084.145633138021,5.704186197916681,0.5351722697523547
2716.999993515015,1087.5690087890625,1088.413447265625,-0.8444384765625159,-0.06362966633774117
2717.9999931335456,1089.4745247395836,1088.6249479166668,0.8495768229166856,0.09077497841379449
2718.9999927520757,1091.9864388020835,1083.3072412109373,8.67919759114584,0.8135398704523314
2719.999992370606,1094.7914713541666,1092.5106917317707,2.2807796223958006,0.21524265758709665
