frequency_MHz,photoluminescence_mw_on_ADC,photoluminescence_mw_off_ADC,contrast_ADC,contrast_percent
2700.0000000000005,-660.6879825472995,-645.067782039918,-15.620200507381497,2.435230456849238
2700.9999996185306,-646.1338593086164,-626.8541813124677,-19.27967799614877,3.241295797514355
2701.999999237061,-655.7133241128464,-629.8966584650183,-25.81666564782834,4.113693367607597
2702.9999988555915,-651.516251490051,-633.5068137359783,-18.009437754072803,2.9743004726267053
2703.9999984741216,-654.5194340862548,-634.7599879267659,-19.75944615948895,3.2060571485357565
2704.999998092652,-653.0287572210166,-631.8666702326008,-21.16208698841581,3.583033635108948
2705.999997711182,-659.7846776904973,-638.4151045328117,-21.3695731576856,3.374588194439012
2706.999997329712,-647.157830027203,-637.895284561543,-9.262545465660054,1.5181601997333092
2707.999996948243,-655.969501329584,-645.0474508665218,-10.922050463062032,1.7465597630566454
2708.999996566773,-663.2487361310633,-645.1881430143351,-18.060593116728292,2.916374468846913
2709.999996185303,-669.4831547819177,-650.9657028456153,-18.517451936302223,2.903569078112013
2710.9999958038334,-676.305772228505,-664.0709684567657,-12.234803771739468,1.9495428915397486
2711.9999954223636,-684.2203044288902,-668.4789612433902,-15.74134318549988,2.4191919680679197
2712.999995040894,-700.3904216462389,-691.0753599046368,-9.31506174160224,1.386787409778678
2713.9999946594244,-728.2845951645934,-698.0441062750252,-30.240488889568105,4.407879055896606
2714.9999942779546,-735.4729230980836,-711.7026247822233,-23.77029831586028,3.45303537519423
2715.9999938964847,-742.2173739951708,-713.7292225754195,-28.488151419751198,4.054047778436549
2716.999993515015,-743.9803343827368,-716.8907295901214,-27.08960479261546,3.8453146821880195
2717.9999931335456,-735.9530228932972,-720.8254347892533,-15.12758810404377,2.1056078167710774
2718.9999927520757,-759.9464567350308,-744.0902902160957,-15.856166518935122,2.1694507523563313
2719.999992370606,-764.7539986856985,-740.8231148943975,-23.93088379130117,3.2975807590355464
2720.999991989136,-756.9038527371092,-729.1699009689153,-27.73395176819391,3.9795244617415877
2721.9999916076663,-744.0925994131492,-720.2158319833725,-23.87676742977659,3.3837958677301936
2722.999991226197,-728.3579599290888,-701.2709852675978,-27.086974661490963,3.9246886653371362
2723.999990844727,-717.1922333954826,-694.1145329645138,-23.077700430968612,3.324712619932029
2724.9999904632573,-716.2256647920042,-693.4120113396705,-22.813653452333643,3.3584948678218405
