frequency_MHz,photoluminescence_mw_on_ADC,photoluminescence_mw_off_ADC,contrast_ADC,contrast_percent
2700.0000000000005,-5416.072106507972,-5417.781246662089,1.7091401541160849,-0.03153129561455993
2700.9999996185306,-5414.6902189669645,-5416.302496375982,1.6122774090180427,-0.029754701942133133
2701.999999237061,-5414.078860151065,-5418.48807049668,4.409210345617066,-0.08137333029922081
2702.9999988555915,-5416.675396353094,-5417.591294728007,0.9158983749141043,-0.016858027562540467
2703.9999984741216,-5417.251131456474,-5418.1045380331125,0.8534065766385538,-0.015702862634327505
2704.999998092652,-5415.776253910125,-5419.019546807049,3.2432928969253227,-0.059821178781785646
2705.999997711182,-5413.4385900663765,-5417.439165331502,4.0005752651254625,-0.07379123971678124
2706.999997329712,-5413.740782787823,-5416.124646372167,2.3838635843442715,-0.04397054911529966
2707.999996948243,-5413.096171511406,-5416.541339742123,3.445168230716445,-0.06358639406418169
2708.999996566773,-5413.661533531701,-5415.562589456016,1.9010559243153693,-0.035074170741868874
2709.999996185303,-5414.741251239795,-5415.958757915617,1.2175066758221873,-0.022470342492223173
2710.9999958038334,-5415.2211062790875,-5417.3756618600755,2.1545555809872896,-0.03974824124728626
2711.9999954223636,-5414.3746684977505,-5418.347403677423,3.9727351796749644,-0.0732832304824914
2712.999995040894,-5415.247972838942,-5418.232440680553,2.984467841611422,-0.055029539098854795
2713.9999946594244,-5416.461150530251,-5417.302420080873,0.841269550621746,-0.015494980791201258
2714.9999942779546,-5415.086063935302,-5418.8298954757,3.7438315403984235,-0.06906706623184372
2715.9999938964847,-5414.102664225223,-5416.836182192722,2.733517967498301,-0.050438147008941704
2716.999993515015,-5414.720877393759,-5417.312947280079,2.592069886320405,-0.04784501922265126
2717.9999931335456,-5412.574024567025,-5416.889111161974,4.315086594949389,-0.07962840264978481
2718.9999927520757,-5415.363120469978,-5418.383884946974,3.020764476997101,-0.055714805176547776
2719.999992370606,-5417.33868314641,-5418.9861264972915,1.6474433508811672,-0.030383144259717033
2720.999991989136,-5415.371032272831,-5416.563895628291,1.1928633554591215,-0.02199515418363949
2721.9999916076663,-5416.364321355001,-5420.413197528038,4.048876173037206,-0.07467268871754866
2722.999991226197,-5416.043474479286,-5418.006865033952,1.9633905546656023,-0.03621833088777345
2723.999990844727,-5415.310249485008,-5418.769633020523,3.4593835355153715,-0.06382687843656627
2724.9999904632573,-5414.6636026550705,-5417.047835507744,2.3842328526741765,-0.04398333465952685
2725.9999900817875,-5416.836758983749,-5418.648480964371,1.8117219806209506,-0.033370105255666714
2726.9999897003177,-5416.637526512551,-5419.815085069046,3.1775585564963875,-0.05861581056705236
2727.9999893188483,-5416.9323262378875,-5419.445577172503,2.513250934615189,-0.04636757327739676
2728.9999889373785,-5416.747945372701,-5418.936868848707,2.1889234760053116,-0.04038598328690174
2729.9999885559087,-5414.841004043641,-5417.391076523994,2.5500724803540833,-0.047066351846024215
2730.999988174439,-5412.8740764477,-5416.621168841077,3.7470923933777156,-0.06914426576169308
2731.999987792969,-5414.406674296178,-5418.336275272755,3.9296009765774214,-0.0724851865407568
2732.9999874114997,-5415.612655832761,-5420.179084458686,4.566428625924982,-0.08422194265547787
2733.99998703003,-5415.733582055391,-5419.363605706874,3.6300236514839526,-0.06694901556689306
2734.99998664856,-5416.437644007019,-5420.118744182498,3.681100175478696,-0.06788491945846553
2735.99998626709,-5416.37764400702,-5418.517590600442,2.1399465934232467,-0.03944818811082311
2736.9999858856204,-5415.523669794766,-5418.666074616617,3.1424048218507776,-0.05793880976257722
2737.999985504151,-5414.995541313802,-5419.988964675364,4.993423361562509,-0.09210619183912747
2738.999985122681,-5416.658834210727,-5419.735753414206,3.076919203478974,-0.05673468774811345
2739.9999847412114,-5415.976902418554,-5418.403176928359,2.4262745098038976,-0.04476029451668389
2740.9999843597416,-5413.480946059358,-5417.323967345694,3.843021286335625,-0.07090081800378678
2741.9999839782718,-5414.284406805523,-5418.2077393759055,3.923332570382354,-0.07240085584430461
2742.9999835968024,-5416.248284122988,-5420.7350423437865,4.486758220798038,-0.08272992754063987
2743.9999832153326,-5414.860495918211,-5417.33208361944,2.4715877012282363,-0.045610476240043794
2744.9999828338628,-5413.330870527199,-5418.641681544213,5.310811017013657,-0.0979439028907398
2745.999982452393,-5414.48315709163,-5416.464194705119,1.9810376134889338,-0.03658819030243622
2746.999982070923,-5413.456525520714,-5417.052695506218,3.596169985504093,-0.06636229369421853
2747.9999816894538,-5414.834984359502,-5416.490037384604,1.655053025100915,-0.03052825336202026
2748.999981307984,-5414.418319981689,-5418.015884641794,3.5975646601053084,-0.06636329439281843
2749.999980926514,-5414.813347066453,-5418.2061326009,3.3927855344472846,-0.06259092620119014
2750.9999805450443,-5414.576594186313,-5418.699250782026,4.122656595712215,-0.07603798947714024
2751.9999801635745,-5417.609306477455,-5418.931409170673,1.3221026932172208,-0.02438740385574719
2752.999979782105,-5416.832048523689,-5419.321126115816,2.4890775921264323,-0.04590261590134751
2753.9999794006353,-5417.05309376669,-5420.5622690165565,3.509175249866621,-0.06472320976119411
