tau_us,n_sweeps,contrast,fwhm_mhz,sigma_z,max_slope_per_mhz,sigma_df_khz,t_rep_us,eta_relative,eta_nt_rthz,eta_nt_rthz_std,rate_hz_23reps,sigma_z_x_sqrt_tau
50,5,0.5411388923927231,16.905657860995376,0.0030132177508489064,0.04163284350682138,51.285606540726064,109.32,19.134414751784124,186.43843065980738,13.582810252390836,397.7155220413943,0.021306667048169387
60,5,0.5313468270736956,16.723995020086118,0.0028274313855161685,0.041496981310206155,48.00585751932842,129.32,19.4803589697286,189.8091790169469,16.02506550739336,336.20678061835156,0.021901189337296567
70,5,0.5027915754075479,16.735794207299456,0.0024212075030215184,0.038945456028372044,43.86744986341194,149.32,19.128074504945662,186.3766537157047,7.0384243786651215,291.17506609674,0.020257275337224864
80,5,0.5038753756016582,16.82662356557271,0.0024115201638951864,0.03918277228524285,43.762171220899,169.32,20.319960836673708,197.98993899747856,11.783064819266952,256.7816021117719,0.021569292062324285
90,5,0.5164773701991172,16.716808952359415,0.002125211490811116,0.04002088831963387,36.97455139752617,189.32,18.153945909398608,176.8851166621504,13.79014293685706,229.65487465436942,0.020161526461575385
100,7,0.5145280134285564,16.72699719320469,0.002067131895914862,0.039996956050931384,36.730264970095625,209.32,18.962661826368485,184.7649357402548,8.182313610215463,207.7119284806288,0.020671318959148623
110,5,0.5146724728018498,16.697329010750234,0.0019000956429070146,0.03997194183186275,33.72607649402796,229.32,18.224543680475374,177.57299438500604,7.63553358777158,189.59646288838837,0.019928371226504295
120,5,0.5135425513257234,16.689283401869588,0.0019825769972208885,0.04001963774943035,34.90803865211047,249.32,19.668619691059206,191.64351959621592,17.053404445823947,174.38737714409282,0.021718042867374755
130,5,0.5066688050136245,16.662196583623814,0.001699465135998651,0.039356324013135574,30.615424858861978,269.32,17.928521205949714,174.6886644325861,14.694451988991908,161.43717833642216,0.019376883838784262
140,5,0.5062002918798719,16.699771416132677,0.0017073774105662058,0.039454658625343565,30.599634799034565,289.32,18.57271297702956,180.96542305844844,6.6217021593068095,150.27741210274166,0.020201961961543405
150,5,0.512266825384428,16.736175069178778,0.0018820990055372119,0.03978300327381661,33.34045113418908,309.32,20.924030695894093,203.87576503516485,14.017859222348502,140.56078129304674,0.023050911044829103
160,7,0.4932358880302638,16.702361166700506,0.0018697058044427357,0.03840929335480875,35.24462414859266,329.32,22.82295177740897,222.37812693005623,13.771171870276802,132.0243558531678,0.023650115585905646
170,5,0.5125019068854618,16.66470885374945,0.0020069623746639485,0.03995026328506026,35.6319913269136,349.32,23.764117738835708,231.54848866387766,5.455780200001871,124.46542101673313,0.026167587880120868
180,5,0.4996739892368087,16.746919373558928,0.0019429210372942035,0.03902073255214682,35.49441490498657,369.32,24.34060175264513,237.16552875783057,11.668780295642177,117.72517293827904,0.02606702108582546
190,5,0.49520152572762405,16.693356488389473,0.0020918057039457246,0.03821526059341499,38.43942403268429,389.32,27.064506016397907,263.7062117517682,22.465584544261247,111.67743981702768,0.028833551803088272
200,5,0.5011984398998467,16.57761445610373,0.0018522588601468056,0.03927440064790942,33.3485623947361,409.32,24.075675177381545,234.5841853735175,21.105602076483407,106.22070963931695,0.026194896010453425
213,5,0.5313934653344959,16.707073445858285,0.0015231462060483593,0.04135887501787586,25.884296671177832,435.32,19.27127970129358,187.77199046447805,13.906198823670712,99.87655258100986,0.022229587034960765
