file,block,n_points,sigma,sigma_white_model,excess
twopoint_lockin_live_20260806_142358.csv,1.0,52395.0,252.2923628462893,252.2923628462893,1.0
twopoint_lockin_live_20260806_142358.csv,2.0,26145.0,185.52105100276654,178.39764061018812,1.0399299585365234
twopoint_lockin_live_20260806_142358.csv,4.0,13020.0,135.42662070330246,126.14618142314465,1.073568927536756
twopoint_lockin_live_20260806_142358.csv,8.0,6510.0,98.25667050902096,89.19882030509406,1.101546748857727
twopoint_lockin_live_20260806_142358.csv,16.0,3255.0,76.33829328863486,63.07309071157233,1.210314770172325
twopoint_lockin_live_20260806_142358.csv,23.0,2205.0,70.09473299314423,52.60659420996892,1.3324324458902401
twopoint_lockin_live_20260806_142358.csv,32.0,1575.0,64.61373810486079,44.59941015254703,1.4487576827553796
twopoint_lockin_live_20260806_142358.csv,64.0,735.0,56.99694148728097,31.536545355786163,1.8073299039022188
twopoint_lockin_live_20260806_142358.csv,128.0,315.0,52.78608343976111,22.299705076273515,2.367120249313277
twopoint_lockin_live_20260806_142443.csv,1.0,16467.0,252.21436085958595,252.21436085958595,1.0
twopoint_lockin_live_20260806_142443.csv,2.0,8217.0,184.61076289406452,178.34248487644416,1.0351474188663627
twopoint_lockin_live_20260806_142443.csv,4.0,4092.0,133.76626417271592,126.10718042979298,1.0607347156349034
twopoint_lockin_live_20260806_142443.csv,8.0,2046.0,96.18310913988438,89.17124243822208,1.0786337221500544
twopoint_lockin_live_20260806_142443.csv,16.0,1023.0,73.46487593766034,63.05359021489649,1.1651180477952257
twopoint_lockin_live_20260806_142443.csv,23.0,693.0,65.38016993501338,52.59032967141618,1.2431975677564295
twopoint_lockin_live_20260806_142443.csv,32.0,495.0,61.0062487049939,44.58562121911104,1.3682942400911164
twopoint_lockin_live_20260806_142443.csv,64.0,231.0,51.74859860767381,31.526795107448244,1.641416402501634
twopoint_lockin_live_20260806_142443.csv,128.0,99.0,46.81520508427938,22.29281060955552,2.100013583043345
twopoint_lockin_live_20260806_145051.csv,1.0,20979.0,256.0708260258971,256.0708260258971,1.0
twopoint_lockin_live_20260806_145051.csv,2.0,10479.0,197.89449581519597,181.06941754695248,1.0929205963998898
twopoint_lockin_live_20260806_145051.csv,4.0,5229.0,158.93850780618655,128.03541301294854,1.2413636513994195
twopoint_lockin_live_20260806_145051.csv,8.0,2604.0,137.91608376869434,90.53470877347624,1.5233503883440924
twopoint_lockin_live_20260806_145051.csv,16.0,1302.0,125.92211600856352,64.01770650647427,1.9669888673039029
twopoint_lockin_live_20260806_145051.csv,23.0,903.0,120.85196854304714,53.39445824590106,2.2633803677992104
twopoint_lockin_live_20260806_145051.csv,32.0,651.0,117.95954782756874,45.26735438673812,2.605841437513457
twopoint_lockin_live_20260806_145051.csv,64.0,315.0,116.4625070975369,32.008853253237135,3.6384467189794987
twopoint_lockin_live_20260806_145051.csv,128.0,147.0,113.52575937386312,22.63367719336906,5.015789454093766
twopoint_lockin_live_20260806_145144.csv,1.0,6993.0,233.72505745989397,233.72505745989397,1.0
twopoint_lockin_live_20260806_145144.csv,2.0,3493.0,175.60583848236587,165.2685730631065,1.062548282638782
twopoint_lockin_live_20260806_145144.csv,4.0,1743.0,135.77514256861383,116.86252872994699,1.1618364247651294
twopoint_lockin_live_20260806_145144.csv,8.0,868.0,110.71106043034438,82.63428653155324,1.3397714807892755
twopoint_lockin_live_20260806_145144.csv,16.0,434.0,95.65285323972768,58.431264364973494,1.637014948748338
twopoint_lockin_live_20260806_145144.csv,23.0,301.0,90.52530480157877,48.73504340670593,1.8574992135766215
twopoint_lockin_live_20260806_145144.csv,32.0,217.0,87.4558460759174,41.31714326577662,2.116696343533458
twopoint_lockin_live_20260806_145144.csv,64.0,105.0,80.8386518237124,29.215632182486747,2.7669656887373795
twopoint_lockin_live_20260806_145144.csv,128.0,49.0,75.95920618621132,20.65857163288831,3.676885679031398
